experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,0,32000,cross_workspace,1,1,0,0,0,0.30747833642459466,1.95,1.95,39,0.033831342945190315,1,1,28,28,0,0.717948717948718,0,0,0.0,0.0,278.0017256342227,success,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,1,32001,cross_workspace,0,0,1,1,1,-0.0001814064095860407,,6.4,128,0.33413904768369457,1,0,114,114,0,0.890625,47,43,2.15,132.04780079171155,-98.75702478862908,human_collision,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,2,32002,cross_workspace,0,0,1,1,1,-1.8463374734378757e-06,,5.6,112,0.3607806841940025,0,0,76,76,0,0.6785714285714286,33,19,0.95,146.90032136730557,-145.0541460633411,human_collision,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,3,32003,cross_workspace,1,1,0,1,1,0.029876512983206108,3.35,3.35,67,0.04335330813543965,1,0,52,52,0,0.7761194029850746,12,12,0.6,4.88361949228374,256.62250673038517,success,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,4,32004,cross_workspace,1,1,0,0,0,0.09293955851612727,2.9,2.9,58,0.04399738680569907,1,1,48,48,0,0.8275862068965517,5,0,0.0,0.24614179187027502,273.7607597315994,success,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,5,32005,cross_workspace,0,0,1,1,1,-6.023601286083563e-05,,3.65,73,0.05868060827124532,1,0,64,64,0,0.8767123287671232,20,15,0.75,117.54597342343015,-75.8243425663611,human_collision,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,6,32006,cross_workspace,0,0,1,1,1,-0.000230793092360973,,6.4,128,0.21986245031269205,1,0,108,108,0,0.84375,44,44,2.2,121.02763433407026,-121.77702251139152,human_collision,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,7,32007,cross_workspace,0,0,1,1,1,-0.00022950351679794367,,6.35,127,0.35278752147788206,1,0,119,119,0,0.937007874015748,44,44,2.2,125.2216218819409,-91.87079332971825,human_collision,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,8,32008,cross_workspace,0,0,0,0,0,0.5392848214366768,,1.5,30,0.405088675645044,1,0,23,23,0,0.7666666666666667,0,0,0.0,0.0,-14.178386603898671,unsafe,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,9,32009,cross_workspace,0,0,1,1,1,-0.00010724866717203019,,6.25,125,0.36373440643839,1,0,106,106,0,0.848,44,44,2.2,130.43306611306554,-98.35796431807277,human_collision,curriculum_hold,3,f98f00e9d56fa6e61f1dab87e6ed128a46f2ed9d765a78f198428997bc2c8b8c,callback_best
