experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
randomized-id,evaluation_id,0,40000,reach_object,0,0,1,1,1,-4.902570537546752e-05,,3.15,63,0.05488626014940086,1,0,49,49,0,0.7777777777777778,16,16,0.8,114.44137126078834,-72.57592846044072,human_collision,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,1,40001,reverse,1,1,0,0,0,0.2970911958813499,3.0,3.0,60,0.022411522512511883,1,1,43,43,0,0.7166666666666667,0,0,0.0,0.0,287.2761470256736,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,2,40002,reverse,0,0,0,0,0,0.12316658677221984,,10.0,200,0.48991705892816245,1,0,179,179,0,0.895,0,0,0.0,0.0,26.54760949681742,timeout,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,3,40003,cross_workspace,1,1,0,0,0,0.18408142705426386,3.1,3.1,62,0.03232110394944427,1,1,43,43,0,0.6935483870967742,0,0,0.0,0.0,271.525341004576,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,4,40004,reverse,1,1,0,0,0,0.3609012109642985,2.0,2.0,40,0.02007345230516144,1,1,33,33,0,0.825,0,0,0.0,0.0,275.65810448546347,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,5,40005,reverse,1,1,0,0,0,0.35707500131001957,2.4,2.4,48,0.02240267997013839,1,1,36,36,0,0.75,0,0,0.0,0.0,281.1903023139867,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,6,40006,reach_object,1,1,0,0,0,0.37179800375351313,2.7,2.7,54,0.033790772992893625,1,1,40,40,0,0.7407407407407407,0,0,0.0,0.0,270.1160343802635,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,7,40007,pause_and_continue,1,1,0,0,0,0.27855726227541633,2.85,2.85,57,0.01466282240249328,1,1,40,40,0,0.7017543859649122,0,0,0.0,0.0,286.6092480820632,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,8,40008,pause_and_continue,1,1,0,0,0,0.18968087465692798,2.55,2.55,51,0.012228208382882145,1,1,36,36,0,0.7058823529411765,0,0,0.0,0.0,283.0858592607127,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,9,40009,reverse,1,1,0,0,0,0.43485829940924003,2.25,2.25,45,0.03426212993502115,1,1,45,45,0,1.0,0,0,0.0,0.0,275.28388108889925,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,10,40010,reach_target,1,1,0,0,0,0.11807731049550482,3.15,3.15,63,0.04250251270065678,1,1,51,51,0,0.8095238095238095,1,0,0.0,0.0005134354070410966,292.5000220875735,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,11,40011,cross_workspace,1,1,0,0,0,0.28709960397803413,2.8,2.8,56,0.00740721807669914,1,1,48,48,0,0.8571428571428571,0,0,0.0,0.0,284.7953687427406,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,12,40012,pause_and_continue,0,0,1,1,2,-0.00020561945907650314,,7.9,158,0.31245604305886565,0,0,130,130,0,0.8227848101265823,63,27,1.35,129.28652846275187,-130.19886434970468,human_collision,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,13,40013,cross_workspace,0,0,1,1,1,-7.826734805371771e-06,,5.65,113,0.3664456308053022,1,0,90,90,0,0.7964601769911505,33,29,1.45,127.92253188741111,-95.33511258634417,human_collision,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,14,40014,pause_and_continue,1,1,0,0,0,0.31758574563978126,3.05,3.05,61,0.020615826595018098,1,1,50,50,0,0.819672131147541,0,0,0.0,0.0,278.99468739530363,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,15,40015,reverse,0,0,0,1,1,0.007865019589401091,,10.0,200,0.17380734519373414,1,0,172,172,0,0.86,36,0,0.0,24.155462862497405,-15.314457133396365,timeout,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,16,40016,reach_target,1,1,0,0,0,0.23494318758861035,2.85,2.85,57,0.024096607316330412,1,1,36,36,0,0.631578947368421,0,0,0.0,0.0,285.16006170367234,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,17,40017,reverse,1,1,0,0,0,0.3986584245351546,2.6,2.6,52,0.017978184329701063,1,1,36,36,0,0.6923076923076923,0,0,0.0,0.0,285.24390938955554,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,18,40018,reach_target,1,1,0,0,0,0.3546392038057199,3.0,3.0,60,0.02079142427706428,1,1,41,41,0,0.6833333333333333,0,0,0.0,0.0,287.23697142578425,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,19,40019,reach_target,1,1,0,1,1,-0.032766417207994405,4.35,4.35,87,0.02872596249131559,1,1,71,71,0,0.8160919540229885,17,13,0.65,29.170847357710453,246.74423434979565,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,20,40020,reach_object,1,1,0,0,0,0.1839745543227932,2.5,2.5,50,0.017558057129512465,1,1,26,26,0,0.52,0,0,0.0,0.0,279.5060648674685,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,21,40021,pause_and_continue,1,1,0,0,0,0.3021381370583186,3.0,3.0,60,0.02903725551923449,1,1,50,50,0,0.8333333333333334,0,0,0.0,0.0,287.44992650821655,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,22,40022,reverse,1,1,0,0,0,0.3226615792811409,3.05,3.05,61,0.029252417118410402,1,1,52,52,0,0.8524590163934426,0,0,0.0,0.0,269.2330078425904,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,23,40023,reach_target,1,1,0,0,0,0.27848610931303197,3.2,3.2,64,0.021179607770045027,1,1,57,57,0,0.890625,0,0,0.0,0.0,289.6141273863555,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,24,40024,pause_and_continue,1,1,0,0,0,0.3599964048891662,2.15,2.15,43,0.01847449639507309,1,1,26,26,0,0.6046511627906976,0,0,0.0,0.0,280.9791510307527,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,25,40025,reach_object,1,1,0,0,0,0.12392813013996748,2.8,2.8,56,0.016498305257383324,1,1,40,40,0,0.7142857142857143,0,0,0.0,0.0,289.55995499622,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,26,40026,reach_object,1,1,0,0,0,0.380491056283189,2.65,2.65,53,0.014397319860711556,1,1,40,40,0,0.7547169811320755,0,0,0.0,0.0,280.0448282017089,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,27,40027,reach_object,1,1,0,0,0,0.3842012418465752,2.15,2.15,43,0.0184837170990037,1,1,35,35,0,0.813953488372093,0,0,0.0,0.0,279.68585840412,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,28,40028,reach_target,0,0,1,1,1,-0.03295989209287246,,3.45,69,0.3495603545562662,1,0,51,51,0,0.7391304347826086,14,9,0.45,125.43302204858956,-95.42456259052734,human_collision,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,29,40029,reverse,1,1,0,0,0,0.15197490651764978,4.15,4.15,83,0.03556525084013891,1,0,76,76,0,0.9156626506024096,0,0,0.0,0.0,245.12605045287302,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,30,40030,reach_object,1,1,0,0,0,0.31951321144367095,2.75,2.75,55,0.01889260226396506,1,1,41,41,0,0.7454545454545455,0,0,0.0,0.0,283.0233081964198,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,31,40031,reach_object,1,1,0,0,0,0.257141663513353,2.6,2.6,52,0.010723354796921067,1,1,38,38,0,0.7307692307692307,0,0,0.0,0.0,279.5216074843986,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,32,40032,pause_and_continue,1,1,0,0,0,0.3605568872611816,2.85,2.85,57,0.026171538737928286,1,1,49,49,0,0.8596491228070176,0,0,0.0,0.0,289.0807521608662,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,33,40033,cross_workspace,0,0,1,1,1,-5.229361972304558e-05,,8.55,171,0.3979409646588618,0,0,166,166,0,0.9707602339181286,19,19,0.95,112.63977410607679,-117.72340455936832,human_collision,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,34,40034,reverse,1,1,0,0,0,0.36283617672611346,2.7,2.7,54,0.008394215170802634,1,1,41,41,0,0.7592592592592593,0,0,0.0,0.0,283.5092066722881,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,35,40035,reach_object,1,1,0,0,0,0.29404130005192386,2.6,2.6,52,0.021886476181377772,1,1,36,36,0,0.6923076923076923,0,0,0.0,0.0,269.46904705415994,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,36,40036,cross_workspace,1,1,0,0,0,0.3037835402192677,2.65,2.65,53,0.024369515815646694,1,1,36,36,0,0.6792452830188679,0,0,0.0,0.0,280.69247943454127,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,37,40037,cross_workspace,0,0,0,1,1,0.03356454057613098,,10.0,200,0.2869702463969611,0,0,184,184,0,0.92,30,30,1.5,7.052623802851,-7.566448381596434,timeout,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,38,40038,reverse,1,1,0,0,0,0.4380962908451952,2.35,2.35,47,0.008094135062676663,1,1,40,40,0,0.851063829787234,0,0,0.0,0.0,278.9465761348006,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
randomized-id,evaluation_id,39,40039,cross_workspace,1,1,0,0,0,0.14323021808856826,3.35,3.35,67,0.038469184844754666,1,1,58,58,0,0.8656716417910447,0,0,0.0,0.0,292.5290763755397,success,curriculum_hold,4,8c1d7353708555aaa75347450f2f54a3b49aa3a1b25ddd631d5c5f3bdec1051a,step_2000000
