experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed,constrained_fixed_height_randomized,0,31000,cross_workspace,1,1,0,0,0,0.22258737970962447,2.55,2.55,51,0.010991549109667776,1,1,38,38,0,0.7450980392156863,0,0,0.0,0.0,272.4341669626926,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,1,31001,cross_workspace,1,1,0,0,0,0.18018670355073219,2.9,2.9,58,0.015339078190426557,1,1,47,47,0,0.8103448275862069,0,0,0.0,0.0,280.953818024577,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,2,31002,cross_workspace,1,1,0,0,0,0.17677021708877197,2.6,2.6,52,0.006706402514113241,1,1,39,39,0,0.75,0,0,0.0,0.0,282.67509470700793,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,3,31003,cross_workspace,1,1,0,0,0,0.1589240108214492,2.9,2.9,58,0.01607633060720069,1,1,50,50,0,0.8620689655172413,0,0,0.0,0.0,279.28918796991525,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,4,31004,cross_workspace,1,1,0,0,0,0.2571869750007598,2.3,2.3,46,0.014678499470461855,1,1,34,34,0,0.7391304347826086,0,0,0.0,0.0,281.0144146809035,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,5,31005,cross_workspace,1,1,0,0,0,0.18608557143399462,2.6,2.6,52,0.008518392047739208,1,1,42,42,0,0.8076923076923077,0,0,0.0,0.0,283.99599279896483,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,6,31006,cross_workspace,0,0,1,1,1,-6.67942621009332e-05,,7.2,144,0.28388010674524544,1,0,124,124,0,0.8611111111111112,47,47,2.35,116.17461288579517,-118.9885740521354,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,7,31007,cross_workspace,1,1,0,0,0,0.15421466476594997,2.8,2.8,56,0.015189586417900698,1,1,46,46,0,0.8214285714285714,0,0,0.0,0.0,284.4753163423886,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,8,31008,cross_workspace,1,1,0,0,0,0.10901707194994323,2.9,2.9,58,0.016544783706666386,1,1,38,38,0,0.6551724137931034,2,0,0.0,0.016804049847039374,286.16859641746004,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed,constrained_fixed_height_randomized,9,31009,cross_workspace,1,1,0,0,0,0.24901681640795156,2.45,2.45,49,0.014614696762430664,1,1,41,41,0,0.8367346938775511,0,0,0.0,0.0,285.4045970523294,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
