experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.2165411006454825,2.65,2.65,53,0.012354254405714395,1,1,40,40,0,0.7547169811320755,0,0,0.0,0.0,272.9164435521687,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.19827382120418952,2.7,2.7,54,0.020593701164706303,1,1,42,42,0,0.7777777777777778,0,0,0.0,0.0,282.0612842580882,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.19550061574817465,2.6,2.6,52,0.006416562261986871,1,1,39,39,0,0.75,0,0,0.0,0.0,283.32468849657846,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,1,1,0,0,0,0.19004441132348976,2.7,2.7,54,0.00844624058679784,1,1,45,45,0,0.8333333333333334,0,0,0.0,0.0,277.20882368242997,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.23339047858113118,2.45,2.45,49,0.014821595506704179,1,1,37,37,0,0.7551020408163265,0,0,0.0,0.0,281.1149274382563,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,1,1,0,0,0,0.16851145016961872,2.7,2.7,54,0.008032611062025314,1,1,44,44,0,0.8148148148148148,0,0,0.0,0.0,280.51060072900725,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,0,0,1,1,1,-6.268722743266175e-05,,7.2,144,0.38857100064916766,1,0,131,131,0,0.9097222222222222,49,42,2.1,119.51726009940559,-120.75947863689179,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.1728294911311678,2.7,2.7,54,0.018155113381059504,1,1,45,45,0,0.8333333333333334,0,0,0.0,0.0,271.56906653364695,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,1,1,0,0,0,0.1062403075153335,2.95,2.95,59,0.015060251123514565,1,1,36,36,0,0.6101694915254238,2,0,0.0,0.0313982958953091,286.15269150009027,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.23454102821663028,2.45,2.45,49,0.01684600179067093,1,1,40,40,0,0.8163265306122449,0,0,0.0,0.0,285.6665920093036,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,10,31010,cross_workspace,1,1,0,0,0,0.19494803948343542,2.55,2.55,51,0.017070328890335412,1,1,39,39,0,0.7647058823529411,0,0,0.0,0.0,271.82180122833535,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,11,31011,cross_workspace,1,1,0,0,0,0.29371197136822635,2.15,2.15,43,0.01982836902714693,1,0,37,37,0,0.8604651162790697,0,0,0.0,0.0,240.6455552149593,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,12,31012,cross_workspace,1,1,0,0,0,0.12292430097847788,2.95,2.95,59,0.013085431397106396,1,1,40,40,0,0.6779661016949152,0,0,0.0,0.0,282.1211142420915,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,13,31013,cross_workspace,1,1,0,0,0,0.18364284675830675,2.85,2.85,57,0.02145458448548541,1,1,44,44,0,0.7719298245614035,0,0,0.0,0.0,274.2858213312778,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,14,31014,cross_workspace,1,1,0,0,0,0.2236168313407327,2.4,2.4,48,0.010723502579142985,1,1,35,35,0,0.7291666666666666,0,0,0.0,0.0,281.2656389446561,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,15,31015,cross_workspace,1,1,0,0,0,0.09169672308414888,3.1,3.1,62,0.016536292496254587,1,1,51,51,0,0.8225806451612904,3,1,0.05,0.16098587604929213,291.03727467576323,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,16,31016,cross_workspace,1,1,0,0,0,0.18595861378042344,2.75,2.75,55,0.009223166886394372,1,1,38,38,0,0.6909090909090909,0,0,0.0,0.0,267.614286272826,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,17,31017,cross_workspace,1,1,0,0,0,0.1676809424776473,2.65,2.65,53,0.026018763970601887,1,1,41,41,0,0.7735849056603774,0,0,0.0,0.0,271.4657186756392,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,18,31018,cross_workspace,1,1,0,0,0,0.26074574595651734,2.2,2.2,44,0.0071521987903153976,1,1,31,31,0,0.7045454545454546,0,0,0.0,0.0,278.4304590900141,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,19,31019,cross_workspace,1,1,0,0,0,0.23285842411039123,2.45,2.45,49,0.009549216413920519,1,1,44,44,0,0.8979591836734694,0,0,0.0,0.0,285.40844919693615,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,20,31020,cross_workspace,1,1,0,0,0,0.12715638603406915,2.9,2.9,58,0.026803818872721166,1,1,45,45,0,0.7758620689655172,0,0,0.0,0.0,275.5687850099022,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,21,31021,cross_workspace,1,1,0,0,0,0.17806355242673003,2.6,2.6,52,0.01233766930648203,1,1,42,42,0,0.8076923076923077,0,0,0.0,0.0,280.8239638571232,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,22,31022,cross_workspace,0,0,1,1,1,-9.692946757314247e-05,,6.95,139,0.37150471294281917,0,0,128,128,0,0.920863309352518,48,48,2.4,127.66323542102694,-129.45147114677533,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,23,31023,cross_workspace,1,1,0,0,0,0.21571139695197442,2.5,2.5,50,0.0019401163344259752,1,1,39,39,0,0.78,0,0,0.0,0.0,283.823778953188,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,24,31024,cross_workspace,1,1,0,0,0,0.09683884993921169,3.05,3.05,61,0.018707654007454447,1,1,48,48,0,0.7868852459016393,3,1,0.05,0.1319287225344452,276.90404781375213,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,25,31025,cross_workspace,1,1,0,0,0,0.3126738842072443,2.25,2.25,45,0.019240138674361862,1,1,31,31,0,0.6888888888888889,0,0,0.0,0.0,278.7683549068121,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,26,31026,cross_workspace,1,1,0,0,0,0.19017051011614453,2.6,2.6,52,0.015982088887224244,1,1,45,45,0,0.8653846153846154,0,0,0.0,0.0,271.9346484312408,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,27,31027,cross_workspace,1,1,0,0,0,0.14117761755327884,2.65,2.65,53,0.00927649475773337,1,1,45,45,0,0.8490566037735849,0,0,0.0,0.0,281.1979003409744,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,28,31028,cross_workspace,1,1,0,0,0,0.24562261491449686,2.4,2.4,48,0.021389522236580766,1,1,37,37,0,0.7708333333333334,0,0,0.0,0.0,269.4933122646372,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,29,31029,cross_workspace,1,1,0,0,0,0.24640928824036432,2.25,2.25,45,0.005311918577394845,1,1,28,28,0,0.6222222222222222,0,0,0.0,0.0,280.3581774864001,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,30,31030,cross_workspace,0,0,0,0,0,0.5160335023496359,,1.2,24,0.32981967861995215,1,0,9,9,0,0.375,0,0,0.0,0.0,-40.00552805904529,unsafe,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,31,31031,cross_workspace,1,1,0,0,0,0.09316508788661292,3.15,3.15,63,0.016028292383136997,1,1,52,52,0,0.8253968253968254,4,4,0.2,0.1632024451195339,273.2465057812429,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,32,31032,cross_workspace,1,1,0,0,0,0.15692319785730918,2.9,2.9,58,0.02794700821510085,1,1,50,50,0,0.8620689655172413,0,0,0.0,0.0,277.80037055650837,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,33,31033,cross_workspace,1,1,0,0,0,0.2098929002393364,2.4,2.4,48,0.005537367446924591,1,1,37,37,0,0.7708333333333334,0,0,0.0,0.0,278.60114404548585,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,34,31034,cross_workspace,1,1,0,0,0,0.18257186130638328,2.55,2.55,51,0.013737108093616803,1,1,43,43,0,0.8431372549019608,0,0,0.0,0.0,285.52201961104174,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,35,31035,cross_workspace,1,1,0,0,0,0.07367818003262115,3.2,3.2,64,0.02492473813706933,1,1,53,53,0,0.828125,6,0,0.0,0.7059609575318844,270.8245032377423,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,36,31036,cross_workspace,0,0,0,0,0,0.5460069940813526,,1.2,24,0.39595098442922094,0,0,14,14,0,0.5833333333333334,0,0,0.0,0.0,-39.67890949800962,unsafe,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,37,31037,cross_workspace,1,1,0,0,0,0.16813615304997961,2.6,2.6,52,0.018756638743135354,1,1,45,45,0,0.8653846153846154,0,0,0.0,0.0,285.18011060986026,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,38,31038,cross_workspace,1,1,0,0,0,0.2959470679943391,2.3,2.3,46,0.007499032722478242,1,1,37,37,0,0.8043478260869565,0,0,0.0,0.0,279.43744791874224,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,39,31039,cross_workspace,0,0,1,1,1,-0.00015477029845090834,,4.25,85,0.04994791954736198,1,0,78,78,0,0.9176470588235294,18,14,0.7,114.82846465657576,-83.86658423786297,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,40,31040,cross_workspace,1,1,0,0,0,0.23585858849744992,2.45,2.45,49,0.005881178162673371,1,1,38,38,0,0.7755102040816326,0,0,0.0,0.0,282.883259477244,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,41,31041,cross_workspace,1,1,0,0,0,0.23144197229197802,2.45,2.45,49,0.016187072605996708,1,1,41,41,0,0.8367346938775511,0,0,0.0,0.0,271.8574676580962,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,42,31042,cross_workspace,1,1,0,0,0,0.2140905944200393,2.5,2.5,50,0.020700709028589264,1,1,43,43,0,0.86,0,0,0.0,0.0,285.9920321613775,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,43,31043,cross_workspace,1,1,0,0,0,0.20471381598610094,2.55,2.55,51,0.006737558424875397,1,1,38,38,0,0.7450980392156863,0,0,0.0,0.0,285.53954252636197,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,44,31044,cross_workspace,1,1,0,0,0,0.3020062880510139,2.25,2.25,45,0.013539773569161908,1,0,40,40,0,0.8888888888888888,0,0,0.0,0.0,251.69304121623617,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,45,31045,cross_workspace,1,1,0,0,0,0.13198952527554386,2.9,2.9,58,0.009479033350243334,1,1,43,43,0,0.7413793103448276,0,0,0.0,0.0,288.5015087051062,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,46,31046,cross_workspace,1,1,0,0,0,0.13602003907316507,2.75,2.75,55,0.015059467518401903,1,1,50,50,0,0.9090909090909091,0,0,0.0,0.0,288.3013039029659,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,47,31047,cross_workspace,1,1,0,1,1,0.057093456673801155,3.25,3.25,65,0.027008101650229977,1,1,58,58,0,0.8923076923076924,6,2,0.1,1.7756314858867315,289.08628020456854,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,48,31048,cross_workspace,1,1,0,0,0,0.29697324780878864,2.15,2.15,43,0.02211664259465756,1,1,33,33,0,0.7674418604651163,0,0,0.0,0.0,270.29976582678387,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,49,31049,cross_workspace,1,1,0,0,0,0.10805979917180772,2.9,2.9,58,0.013936107793417356,1,1,53,53,0,0.9137931034482759,3,2,0.1,0.025760447618119978,280.0409102790202,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,50,31050,cross_workspace,1,1,0,0,0,0.1724305477642881,3.0,3.0,60,0.0037805320007303508,1,1,47,47,0,0.7833333333333333,0,0,0.0,0.0,268.0331402980887,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,51,31051,cross_workspace,1,1,0,0,0,0.20332295149424504,2.6,2.6,52,0.009310862855435077,1,1,40,40,0,0.7692307692307693,0,0,0.0,0.0,284.2997943585358,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,52,31052,cross_workspace,1,1,0,0,0,0.16847090350057362,2.85,2.85,57,0.03829776733405823,1,0,49,49,0,0.8596491228070176,0,0,0.0,0.0,274.2105161899235,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,53,31053,cross_workspace,1,1,0,0,0,0.1370612418014497,2.9,2.9,58,0.020192756293527438,1,1,50,50,0,0.8620689655172413,0,0,0.0,0.0,288.97291604426675,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,54,31054,cross_workspace,1,1,0,0,0,0.3207445936121961,2.0,2.0,40,0.010057879411087456,1,0,35,35,0,0.875,0,0,0.0,0.0,242.51686195001236,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,55,31055,cross_workspace,1,1,0,0,0,0.2280318457247568,2.45,2.45,49,0.009741392355620068,1,1,40,40,0,0.8163265306122449,0,0,0.0,0.0,282.659764198793,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,56,31056,cross_workspace,0,0,1,1,1,-0.00013823076536781387,,7.05,141,0.3448870521000296,0,0,129,129,0,0.9148936170212766,49,46,2.3,122.83963696330684,-142.35586531554836,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,57,31057,cross_workspace,1,1,0,0,0,0.09297603268489395,3.1,3.1,62,0.02363060409844549,1,1,53,53,0,0.8548387096774194,2,0,0.0,0.12842068411433674,290.1454737336212,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,58,31058,cross_workspace,1,1,0,0,0,0.23513110346390423,2.6,2.6,52,0.015686030487040963,1,1,40,40,0,0.7692307692307693,0,0,0.0,0.0,271.5927874834955,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,59,31059,cross_workspace,0,0,0,0,0,0.5598326405194949,,1.8,36,0.4201571878280444,0,0,22,22,0,0.6111111111111112,0,0,0.0,0.0,-40.20177326493861,unsafe,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,60,31060,cross_workspace,1,1,0,0,0,0.17406683220055358,2.55,2.55,51,0.005425759862169797,1,1,40,40,0,0.7843137254901961,0,0,0.0,0.0,280.9544977478404,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,61,31061,cross_workspace,1,1,0,0,0,0.17668102010108916,2.6,2.6,52,0.005621738893767687,1,1,43,43,0,0.8269230769230769,0,0,0.0,0.0,285.3976339306957,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,62,31062,cross_workspace,0,0,0,0,0,0.5680898240008968,,1.4,28,0.3451952494747742,0,0,16,16,0,0.5714285714285714,0,0,0.0,0.0,-40.68798130264417,unsafe,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,63,31063,cross_workspace,1,1,0,0,0,0.16616898723489454,2.75,2.75,55,0.011819454828102602,1,1,44,44,0,0.8,0,0,0.0,0.0,271.5373912044224,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,64,31064,cross_workspace,1,1,0,0,0,0.16413248282049892,2.5,2.5,50,0.015521665941739912,1,1,43,43,0,0.86,0,0,0.0,0.0,283.6181005923397,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,65,31065,cross_workspace,1,1,0,0,0,0.12441857113790536,2.6,2.6,52,0.018476408637813083,1,1,45,45,0,0.8653846153846154,0,0,0.0,0.0,269.5523807220833,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,66,31066,cross_workspace,0,0,1,1,1,-2.913088437822564e-05,,7.2,144,0.3852500611280185,1,0,132,132,0,0.9166666666666666,49,49,2.45,118.8305007717561,-120.71472738395639,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,67,31067,cross_workspace,1,1,0,0,0,0.15451693463772545,2.5,2.5,50,0.01351260664920568,1,1,44,44,0,0.88,0,0,0.0,0.0,282.36062402238247,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,68,31068,cross_workspace,1,1,0,0,0,0.23801668750856966,2.45,2.45,49,0.00317708946927442,1,1,42,42,0,0.8571428571428571,0,0,0.0,0.0,282.8753696574578,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,69,31069,cross_workspace,1,1,0,0,0,0.1616414991548606,2.65,2.65,53,0.02074215910954976,1,1,37,37,0,0.6981132075471698,0,0,0.0,0.0,272.68423536631025,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,70,31070,cross_workspace,1,1,0,0,0,0.17707732618301097,2.75,2.75,55,0.016784424462452607,1,1,45,45,0,0.8181818181818182,0,0,0.0,0.0,287.0261064275781,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,71,31071,cross_workspace,1,1,0,0,0,0.25044112472524904,2.55,2.55,51,0.020159553824184554,1,1,44,44,0,0.8627450980392157,0,0,0.0,0.0,285.1215189629292,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,72,31072,cross_workspace,0,0,1,1,1,-7.554427245539536e-05,,3.6,72,0.06548381433308818,1,0,55,55,0,0.7638888888888888,10,0,0.0,107.40024080754142,-117.45182146991681,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,73,31073,cross_workspace,1,1,0,0,0,0.2958010741443501,2.3,2.3,46,0.010478128949462486,1,1,40,40,0,0.8695652173913043,0,0,0.0,0.0,281.6131149892789,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,74,31074,cross_workspace,1,1,0,0,0,0.12003097052410783,2.9,2.9,58,0.016393815500358164,1,1,48,48,0,0.8275862068965517,0,0,0.0,0.0,271.77283100154955,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
