experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
no-human,no_human,0,30000,reach_object,1,1,0,0,0,0.4043322413483876,2.4,2.4,48,0.01603137113204492,1,1,30,30,0,0.625,0,0,0.0,0.0,280.3620112678468,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,1,30001,reverse,0,0,0,0,0,0.3869987747517072,,10.0,200,0.36099978434017904,0,0,185,185,0,0.925,0,0,0.0,0.0,-7.396832785932759,timeout,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.3256029595769341,2.5,2.5,50,0.021994953908217204,1,1,42,42,0,0.84,0,0,0.0,0.0,281.38957578004573,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,3,30003,cross_workspace,1,1,0,0,0,0.2312131050068815,2.95,2.95,59,0.024131198785946134,1,1,46,46,0,0.7796610169491526,0,0,0.0,0.0,285.0188000437656,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,4,30004,reach_target,0,0,0,0,0,0.3620294700718879,,2.0,40,0.288751745577839,0,0,31,31,0,0.775,0,0,0.0,0.0,-44.46768384882625,unsafe,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,5,30005,reach_object,0,0,0,0,0,0.40333150889380526,,10.0,200,0.27019381332072945,1,0,188,188,0,0.94,0,0,0.0,0.0,17.625756064462863,timeout,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,6,30006,pause_and_continue,1,1,0,0,0,0.3362535793389233,3.0,3.0,60,0.03558016596280869,1,1,45,45,0,0.75,0,0,0.0,0.0,282.0304526695139,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,7,30007,pause_and_continue,1,1,0,0,0,0.2782621290842855,7.0,7.0,140,0.01752993874693424,1,1,130,130,0,0.9285714285714286,0,0,0.0,0.0,272.23722785938116,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,8,30008,reach_target,1,1,0,0,0,0.4083321777668577,2.6,2.6,52,0.016856812580434973,1,1,34,34,0,0.6538461538461539,0,0,0.0,0.0,269.8254318871154,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,9,30009,reverse,1,1,0,0,0,0.3938096587838663,2.9,2.9,58,0.024593213913119125,1,1,42,42,0,0.7241379310344828,0,0,0.0,0.0,272.47073338320325,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
no-human,no_human,10,30010,pause_and_continue,1,1,0,0,0,0.3460103844498834,3.25,3.25,65,0.01665204018111355,1,1,55,55,0,0.8461538461538461,0,0,0.0,0.0,280.1248883958219,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
