experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
ood,evaluation_ood,0,50000,pause_and_continue,0,0,1,1,1,-0.0004346856470235638,,2.3,46,0.4554144656502602,0,0,40,40,0,0.8695652173913043,14,14,0.7,109.8317635675033,-103.16627928801175,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,1,50001,pause_and_continue,1,1,0,0,0,0.12731146057265483,2.9,2.9,58,0.03902248340606552,1,1,48,48,0,0.8275862068965517,0,0,0.0,0.0,271.5109887739833,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,2,50002,pause_and_continue,0,0,1,1,1,-0.0002113727888361297,,1.65,33,0.4059042454232126,1,0,25,25,0,0.7575757575757576,9,0,0.0,106.98373807876334,-74.01798363896275,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,3,50003,cross_workspace,1,1,0,0,0,0.22508280282109402,3.5,3.5,70,0.025779104121191016,1,1,53,53,0,0.7571428571428571,0,0,0.0,0.0,277.80034571856,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,4,50004,cross_workspace,1,1,0,0,0,0.40805849757335744,2.7,2.7,54,0.01115028787163141,1,1,40,40,0,0.7407407407407407,0,0,0.0,0.0,280.0980115821429,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,5,50005,reverse,1,1,0,0,0,0.35044343057652416,2.6,2.6,52,0.01779303087960567,1,1,32,32,0,0.6153846153846154,0,0,0.0,0.0,279.1835131990635,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,6,50006,reverse,0,0,0,0,0,0.08907530302487704,,10.0,200,0.2327080928793535,0,0,182,182,0,0.91,51,51,2.55,5.295063876539585,-31.145774370375783,timeout,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,7,50007,cross_workspace,1,1,0,0,0,0.3318461660566754,3.0,3.0,60,0.016197727801267915,1,1,46,46,0,0.7666666666666667,0,0,0.0,0.0,283.64831905671906,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,8,50008,cross_workspace,1,1,0,0,0,0.10987783095229006,3.55,3.55,71,0.022720893411213437,1,1,66,66,0,0.9295774647887324,2,2,0.1,0.014368676125456495,299.75575228283884,success,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
ood,evaluation_ood,9,50009,reverse,0,0,1,1,1,-0.008515167390866208,,5.55,111,0.382984415137607,1,0,103,103,0,0.9279279279279279,14,14,0.7,114.32261658565726,-101.16647129996258,human_collision,curriculum_hold,5,e7d4f6615c4a3c35c6d51c222d152cc6d307f084ce6be9f88f22a79b88fbcebb,step_2000000
