experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.22394724045611678,2.55,2.55,51,0.009472936979925907,1,1,42,42,0,0.8235294117647058,0,0,0.0,0.0,283.3605152838752,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.25953170051565355,2.4,2.4,48,0.002952568691809533,1,1,39,39,0,0.8125,0,0,0.0,0.0,283.38715094057727,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.2016447299247546,2.65,2.65,53,0.007552638439252129,1,1,46,46,0,0.8679245283018868,0,0,0.0,0.0,283.21492719662,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,1,1,0,0,0,0.17373308706950785,2.85,2.85,57,0.019528680199643107,1,1,50,50,0,0.8771929824561403,0,0,0.0,0.0,279.41550601645326,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.25674860569353086,2.3,2.3,46,0.01747466328381141,1,1,41,41,0,0.8913043478260869,0,0,0.0,0.0,280.2402547255279,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,1,1,0,0,0,0.21129563984165242,2.45,2.45,49,0.012996277401711645,1,1,39,39,0,0.7959183673469388,0,0,0.0,0.0,281.4342593854078,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,1,1,0,0,0,0.1701492321633197,2.8,2.8,56,0.020077000090626178,1,1,49,49,0,0.875,0,0,0.0,0.0,287.0234409469214,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.17321611562604666,2.7,2.7,54,0.010076764728027295,1,1,46,46,0,0.8518518518518519,0,0,0.0,0.0,281.96487540742976,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,1,1,0,0,0,0.1546112533393537,2.8,2.8,56,0.02131384056587203,1,1,41,41,0,0.7321428571428571,0,0,0.0,0.0,285.6190673328909,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.23875052184185477,2.45,2.45,49,0.024092546752731633,1,1,42,42,0,0.8571428571428571,0,0,0.0,0.0,272.52749746928873,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,10,31010,cross_workspace,1,1,0,0,0,0.18413916449385914,2.55,2.55,51,0.009481993073152643,1,1,38,38,0,0.7450980392156863,0,0,0.0,0.0,284.6554761905553,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,11,31011,cross_workspace,1,1,0,0,0,0.2741653828866836,2.15,2.15,43,0.013618466476866365,1,1,33,33,0,0.7674418604651163,0,0,0.0,0.0,276.54408439813085,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,12,31012,cross_workspace,0,0,1,1,1,-0.00013510527853086846,,6.9,138,0.2958494535950594,0,0,120,120,0,0.8695652173913043,54,54,2.7,147.86044851048018,-143.43802938614465,human_collision,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,13,31013,cross_workspace,1,1,0,0,0,0.20625309638278874,2.75,2.75,55,0.03500881297145789,1,1,48,48,0,0.8727272727272727,0,0,0.0,0.0,270.92654910383214,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,14,31014,cross_workspace,1,1,0,0,0,0.22978352788982828,2.35,2.35,47,0.024827440968309494,1,1,45,45,0,0.9574468085106383,0,0,0.0,0.0,265.1730518329054,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,15,31015,cross_workspace,1,1,0,0,0,0.12129865212631068,3.1,3.1,62,0.015538085605170879,1,1,58,58,0,0.9354838709677419,0,0,0.0,0.0,291.5773210813682,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,16,31016,cross_workspace,1,1,0,0,0,0.23997488320411456,2.45,2.45,49,0.01040151694291812,1,1,42,42,0,0.8571428571428571,0,0,0.0,0.0,269.34451013595975,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,17,31017,cross_workspace,1,1,0,0,0,0.18131994488231795,2.55,2.55,51,0.03260606163262147,1,1,46,46,0,0.9019607843137255,0,0,0.0,0.0,268.83364900604715,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,18,31018,cross_workspace,1,1,0,0,0,0.22982502588390988,2.5,2.5,50,0.013291529977493482,1,1,40,40,0,0.8,0,0,0.0,0.0,281.4056007881818,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,19,31019,cross_workspace,1,1,0,0,0,0.24621347686945586,2.45,2.45,49,0.02294957116522559,1,1,39,39,0,0.7959183673469388,0,0,0.0,0.0,286.0814882673404,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,20,31020,cross_workspace,0,0,1,1,1,-0.00023289675532696397,,7.1,142,0.5249695680378184,1,0,129,129,0,0.9084507042253521,50,32,1.6,119.9711895980555,-95.21757933763178,human_collision,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,21,31021,cross_workspace,1,1,0,0,0,0.15468349374467025,2.95,2.95,59,0.024695555212561764,1,1,56,56,0,0.9491525423728814,0,0,0.0,0.0,279.198661299866,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,22,31022,cross_workspace,1,1,0,0,0,0.22326685071500105,2.4,2.4,48,0.013406147253029535,1,1,46,46,0,0.9583333333333334,0,0,0.0,0.0,281.77631992809006,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,23,31023,cross_workspace,1,1,0,0,0,0.21023560457161908,2.55,2.55,51,0.013175251188167168,1,1,42,42,0,0.8235294117647058,0,0,0.0,0.0,282.22327874709816,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,24,31024,cross_workspace,1,1,0,0,0,0.1003131433663341,3.1,3.1,62,0.02995531064681919,1,1,54,54,0,0.8709677419354839,2,0,0.0,0.06315608186824923,278.07300928758264,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,25,31025,cross_workspace,1,1,0,0,0,0.33333228437301,2.15,2.15,43,0.008914130360359663,1,1,36,36,0,0.8372093023255814,0,0,0.0,0.0,279.68932925237993,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,26,31026,cross_workspace,1,1,0,0,0,0.2235098465806933,2.4,2.4,48,0.01162796477192547,1,1,40,40,0,0.8333333333333334,0,0,0.0,0.0,271.95153938950773,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,27,31027,cross_workspace,1,1,0,0,0,0.10442064435113702,2.85,2.85,57,0.016870731047591736,1,1,49,49,0,0.8596491228070176,3,3,0.15,0.045006556881058465,268.2605110417824,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,28,31028,cross_workspace,1,1,0,0,0,0.21678590261342215,2.45,2.45,49,0.01562239909818195,1,1,41,41,0,0.8367346938775511,0,0,0.0,0.0,282.50320368592764,success,curriculum,1,ae3cb0ae4c31f4b191f5601245adfa99d308d60e4597349ca7376d15a539ff31,step_2000000
