experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed,constrained_fixed_height_randomized,0,31000,cross_workspace,1,1,0,0,0,0.23586223220602995,2.6,2.6,52,0.007374178392588611,1,1,40,40,0,0.7692307692307693,0,0,0.0,0.0,284.77375803296036,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,1,31001,cross_workspace,1,1,0,0,0,0.24509641802834062,2.5,2.5,50,0.015696833037998778,1,1,47,47,0,0.94,0,0,0.0,0.0,284.23600089550854,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,2,31002,cross_workspace,1,1,0,0,0,0.23340536751797622,2.5,2.5,50,0.03697801335454567,1,1,42,42,0,0.84,0,0,0.0,0.0,271.08039295613764,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,3,31003,cross_workspace,0,0,1,1,1,-0.00023838757492394835,,7.0,140,0.30942000523695884,0,0,137,137,0,0.9785714285714285,47,47,2.35,123.59728126001247,-126.52326274738998,human_collision,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,4,31004,cross_workspace,1,1,0,0,0,0.25912397782328933,2.35,2.35,47,0.020402778800940324,1,1,42,42,0,0.8936170212765957,0,0,0.0,0.0,281.0471504562075,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,5,31005,cross_workspace,1,1,0,0,0,0.24562992986360624,2.35,2.35,47,0.012637534756631149,1,1,42,42,0,0.8936170212765957,0,0,0.0,0.0,280.81975115055826,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,6,31006,cross_workspace,1,1,0,0,0,0.17450521077267905,2.75,2.75,55,0.02430936771888283,1,1,50,50,0,0.9090909090909091,0,0,0.0,0.0,286.8949251567527,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,7,31007,cross_workspace,1,1,0,0,0,0.18598978115986906,2.7,2.7,54,0.030514591981941182,1,1,46,46,0,0.8518518518518519,0,0,0.0,0.0,270.548512494595,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,8,31008,cross_workspace,1,1,0,0,0,0.16562862027624756,2.65,2.65,53,0.03534692073466054,1,1,33,33,0,0.6226415094339622,0,0,0.0,0.0,272.0499861268753,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
fixed,constrained_fixed_height_randomized,9,31009,cross_workspace,1,1,0,0,0,0.23812240384988145,2.45,2.45,49,0.006485271615856796,1,1,42,42,0,0.8571428571428571,0,0,0.0,0.0,284.23184463205695,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
