experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
no-human,no_human,0,30000,reach_object,1,1,0,0,0,0.4140278770644481,2.3,2.3,46,0.006802532451426025,1,1,38,38,0,0.8260869565217391,0,0,0.0,0.0,279.8703751365199,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,1,30001,reverse,1,1,0,0,0,0.44391949406523756,2.55,2.55,51,0.026734785447813603,1,1,43,43,0,0.8431372549019608,0,0,0.0,0.0,282.1031532882463,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.3325586283728581,2.5,2.5,50,0.027684457271822033,1,1,38,38,0,0.76,0,0,0.0,0.0,280.31718794592916,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,3,30003,cross_workspace,1,1,0,0,0,0.23106300812389027,2.8,2.8,56,0.0056878412687301665,1,1,45,45,0,0.8035714285714286,0,0,0.0,0.0,284.7665660786483,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,4,30004,reach_target,1,1,0,0,0,0.37951841474236825,2.55,2.55,51,0.025499230209663156,1,1,35,35,0,0.6862745098039216,0,0,0.0,0.0,282.1076824365523,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,5,30005,reach_object,1,1,0,0,0,0.4295655399492473,2.85,2.85,57,0.012364411756617743,1,1,44,44,0,0.7719298245614035,0,0,0.0,0.0,284.09600870040595,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,6,30006,pause_and_continue,1,1,0,0,0,0.32270714820128266,2.7,2.7,54,0.005577205797948846,1,1,46,46,0,0.8518518518518519,0,0,0.0,0.0,286.18404016739726,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,7,30007,pause_and_continue,1,1,0,0,0,0.27286462477223106,3.3,3.3,66,0.02720060825465906,1,1,45,45,0,0.6818181818181818,0,0,0.0,0.0,289.51587968455726,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,8,30008,reach_target,1,1,0,0,0,0.4226376197025752,2.85,2.85,57,0.02138546242125708,1,1,43,43,0,0.7543859649122807,0,0,0.0,0.0,282.9394548310171,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,9,30009,reverse,1,1,0,0,0,0.39493227470114967,3.0,3.0,60,0.03586528262358188,1,1,43,43,0,0.7166666666666667,0,0,0.0,0.0,286.0308521273638,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,10,30010,pause_and_continue,1,1,0,0,0,0.3410922953639077,2.7,2.7,54,0.010622114450209644,1,1,45,45,0,0.8333333333333334,0,0,0.0,0.0,278.6844178378291,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,11,30011,reach_target,1,1,0,0,0,0.33888484028827937,2.5,2.5,50,0.01837748771839106,1,1,35,35,0,0.7,0,0,0.0,0.0,283.4976249629935,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,12,30012,reverse,1,1,0,0,0,0.4213595134693048,2.35,2.35,47,0.03139639611600429,1,1,38,38,0,0.8085106382978723,0,0,0.0,0.0,279.4111492420771,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,13,30013,reverse,1,1,0,0,0,0.39241801723243264,2.4,2.4,48,0.02940328758343638,1,1,42,42,0,0.875,0,0,0.0,0.0,280.77337109550075,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,14,30014,pause_and_continue,1,1,0,0,0,0.33567466606125973,3.1,3.1,62,0.01129851649967759,1,1,43,43,0,0.6935483870967742,0,0,0.0,0.0,285.27650698011075,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,15,30015,pause_and_continue,1,1,0,0,0,0.260634386323054,2.9,2.9,58,0.03679304794871825,1,1,41,41,0,0.7068965517241379,0,0,0.0,0.0,285.8787967404759,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,16,30016,cross_workspace,1,1,0,0,0,0.3008017069836676,2.5,2.5,50,0.005790512548331423,1,1,41,41,0,0.82,0,0,0.0,0.0,284.7798641808606,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,17,30017,reverse,1,1,0,0,0,0.2993100874997344,3.15,3.15,63,0.0162874413534889,1,1,47,47,0,0.746031746031746,0,0,0.0,0.0,286.8126642837088,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,18,30018,reverse,0,0,0,0,0,0.25451039868855485,,7.8,156,0.5130033093930872,1,0,144,144,0,0.9230769230769231,0,0,0.0,0.0,-190.23615553316887,object_lost,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,19,30019,reverse,1,1,0,0,0,0.2897992614962437,2.6,2.6,52,0.018667535788206062,1,1,44,44,0,0.8461538461538461,0,0,0.0,0.0,282.1087109293338,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,20,30020,reach_target,1,1,0,0,0,0.4383025084532996,2.75,2.75,55,0.011032292425957995,1,1,43,43,0,0.7818181818181819,0,0,0.0,0.0,283.78139489971625,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,21,30021,cross_workspace,1,1,0,0,0,0.3861302574647344,2.75,2.75,55,0.022248753977405777,1,1,49,49,0,0.8909090909090909,0,0,0.0,0.0,278.30733034733373,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,22,30022,reach_target,1,1,0,0,0,0.3875190428775983,2.4,2.4,48,0.02151276903236386,1,1,42,42,0,0.875,0,0,0.0,0.0,278.02151985079325,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,23,30023,reverse,1,1,0,0,0,0.3204668145115861,3.55,3.55,71,0.02251640720156725,1,1,63,63,0,0.8873239436619719,0,0,0.0,0.0,289.4315313853866,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,24,30024,reach_target,1,1,0,0,0,0.3401186374276563,2.6,2.6,52,0.01906587158534861,1,1,38,38,0,0.7307692307692307,0,0,0.0,0.0,283.7985675589154,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,25,30025,reverse,1,1,0,0,0,0.3700770482735023,2.25,2.25,45,0.030265928289801052,1,1,39,39,0,0.8666666666666667,0,0,0.0,0.0,277.7785739763297,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,26,30026,reverse,1,1,0,0,0,0.2275328762160949,3.75,3.75,75,0.006636728709636398,1,1,54,54,0,0.72,0,0,0.0,0.0,289.72887529089394,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,27,30027,cross_workspace,1,1,0,0,0,0.3664451968991784,2.85,2.85,57,0.014528664593553823,1,1,36,36,0,0.631578947368421,0,0,0.0,0.0,286.4192576110946,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,28,30028,reach_object,1,1,0,0,0,0.33892670450047035,2.0,2.0,40,0.044458151099301346,1,1,36,36,0,0.9,0,0,0.0,0.0,281.4305233411309,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,29,30029,pause_and_continue,1,1,0,0,0,0.3304179229093537,2.85,2.85,57,0.017124773892090505,1,1,49,49,0,0.8596491228070176,0,0,0.0,0.0,280.23035860038334,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,30,30030,cross_workspace,1,1,0,0,0,0.38577985886549226,2.9,2.9,58,0.024797524920327923,1,1,48,48,0,0.8275862068965517,0,0,0.0,0.0,281.98802425443375,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
no-human,no_human,31,30031,cross_workspace,0,0,0,0,0,0.29700571899705974,,1.1,22,0.27980920003083803,0,0,17,17,0,0.7727272727272727,0,0,0.0,0.0,-39.322184608170765,unsafe,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
