experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
ood,evaluation_ood,0,50000,pause_and_continue,0,0,1,1,1,-4.6349086077902835e-05,,2.3,46,0.4143595541262509,1,0,42,42,0,0.9130434782608695,14,0,0.0,106.82494050202705,-70.93528385086499,human_collision,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,1,50001,pause_and_continue,1,1,0,0,0,0.18895417279996338,2.8,2.8,56,0.026227878794662162,1,1,45,45,0,0.8035714285714286,0,0,0.0,0.0,270.55917148224387,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,2,50002,pause_and_continue,0,0,1,1,1,-0.008017036160756118,,1.65,33,0.35927064044498086,0,0,31,31,0,0.9393939393939394,12,2,0.1,110.68478956736514,-105.70919553481686,human_collision,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,3,50003,cross_workspace,1,1,0,0,0,0.35738717557138566,3.2,3.2,64,0.012580054367259091,1,1,49,49,0,0.765625,0,0,0.0,0.0,273.40044784839364,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,4,50004,cross_workspace,1,1,0,0,0,0.396054953905695,2.35,2.35,47,0.016816835287157144,1,1,43,43,0,0.9148936170212766,0,0,0.0,0.0,277.23951521326103,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,5,50005,reverse,1,1,0,0,0,0.32614989470713796,2.5,2.5,50,0.010505550527785425,1,1,44,44,0,0.88,0,0,0.0,0.0,278.252438704581,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,6,50006,reverse,1,1,0,0,0,0.40927160573494503,2.65,2.65,53,0.018019139651043525,1,1,47,47,0,0.8867924528301887,0,0,0.0,0.0,283.1578843286031,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,7,50007,cross_workspace,1,1,0,0,0,0.33212779157273997,3.15,3.15,63,0.012230892963405201,1,1,48,48,0,0.7619047619047619,0,0,0.0,0.0,287.55407142574336,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,8,50008,cross_workspace,0,0,1,1,1,-0.00013090642396013097,,7.4,148,0.05168793625359112,1,0,136,136,0,0.918918918918919,79,79,3.95,158.446302332732,-113.88398229243623,human_collision,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
ood,evaluation_ood,9,50009,reverse,1,1,0,0,0,0.31317190716404364,3.3,3.3,66,0.009681032716315496,1,1,53,53,0,0.803030303030303,0,0,0.0,0.0,285.04538488129026,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
