experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
randomized-id,evaluation_id,0,40000,reach_object,1,1,0,0,0,0.07621470241421587,2.5,2.5,50,0.029619433005478223,1,1,48,48,0,0.96,5,1,0.05,0.5484367428267688,277.1025891939844,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,1,40001,reverse,1,1,0,0,0,0.2928233050123611,2.95,2.95,59,0.0015890399128938152,1,1,44,44,0,0.7457627118644068,0,0,0.0,0.0,287.2301720532858,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,2,40002,reverse,0,0,1,1,1,-0.0001071332602838107,,3.2,64,0.06849113074700487,1,0,55,55,0,0.859375,10,4,0.2,109.66240799560335,-61.93683443772628,human_collision,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,3,40003,cross_workspace,1,1,0,0,0,0.20851908989452994,3.0,3.0,60,0.035865755458204675,1,1,47,47,0,0.7833333333333333,0,0,0.0,0.0,285.7146238343627,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,4,40004,reverse,1,1,0,0,0,0.3685243643149767,1.75,1.75,35,0.019224512023525812,1,1,30,30,0,0.8571428571428571,0,0,0.0,0.0,277.66418821074126,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,5,40005,reverse,1,1,0,0,0,0.33843823679942,2.85,2.85,57,0.023248809939604303,1,1,44,44,0,0.7719298245614035,0,0,0.0,0.0,284.3554441803859,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,6,40006,reach_object,0,0,1,1,1,-0.03318412307930994,,8.05,161,0.32000805515193487,1,0,151,151,0,0.937888198757764,42,42,2.1,194.5796546444049,-173.93662861731357,human_collision,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,7,40007,pause_and_continue,0,0,1,1,1,-0.0003585023818013372,,7.1,142,0.3316233028756369,0,0,132,132,0,0.9295774647887324,16,16,0.8,110.4354352293814,-113.1781581315668,human_collision,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,8,40008,pause_and_continue,1,1,0,0,0,0.21699128913682073,2.45,2.45,49,0.022127240403346952,1,1,42,42,0,0.8571428571428571,0,0,0.0,0.0,273.13573722152097,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
randomized-id,evaluation_id,9,40009,reverse,1,1,0,0,0,0.4355410924329961,2.05,2.05,41,0.008505646006378247,1,1,38,38,0,0.926829268292683,0,0,0.0,0.0,279.0804756911324,success,curriculum,2,d43140cb5a9442351790ff083d85562c2a4972956052f59c942274a25eea4a3f,step_2000000
