experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed,constrained_fixed_height_randomized,0,31000,cross_workspace,1,1,0,0,0,0.22527787487696602,2.65,2.65,53,0.02379799519709445,1,1,35,35,0,0.660377358490566,0,0,0.0,0.0,283.11834881760865,success
fixed,constrained_fixed_height_randomized,1,31001,cross_workspace,1,1,0,0,0,0.24401112386359977,2.35,2.35,47,0.031190257098092634,1,1,36,36,0,0.7659574468085106,0,0,0.0,0.0,277.30663650911015,success
fixed,constrained_fixed_height_randomized,2,31002,cross_workspace,1,1,0,0,0,0.18024227305563253,2.6,2.6,52,0.027521169367087536,1,1,32,32,0,0.6153846153846154,0,0,0.0,0.0,281.39464670480004,success
fixed,constrained_fixed_height_randomized,3,31003,cross_workspace,1,1,0,0,0,0.22116846833328377,2.6,2.6,52,0.012622851016273544,1,1,33,33,0,0.6346153846153846,0,0,0.0,0.0,266.47985446338595,success
fixed,constrained_fixed_height_randomized,4,31004,cross_workspace,1,1,0,0,0,0.2385570006690362,2.4,2.4,48,0.013921032590840062,1,1,30,30,0,0.625,0,0,0.0,0.0,281.4683694978613,success
fixed,constrained_fixed_height_randomized,5,31005,cross_workspace,1,1,0,0,0,0.19058810102546997,2.6,2.6,52,0.01348167743089389,1,1,35,35,0,0.6730769230769231,0,0,0.0,0.0,280.16747969303594,success
fixed,constrained_fixed_height_randomized,6,31006,cross_workspace,1,1,0,0,0,0.1845927800447811,2.65,2.65,53,0.016983544859727577,1,1,41,41,0,0.7735849056603774,0,0,0.0,0.0,271.74097422467213,success
fixed,constrained_fixed_height_randomized,7,31007,cross_workspace,1,1,0,0,0,0.17299662043216138,2.75,2.75,55,0.029552381886681835,1,1,44,44,0,0.8,0,0,0.0,0.0,266.8773503674263,success
fixed,constrained_fixed_height_randomized,8,31008,cross_workspace,1,1,0,0,0,0.11769779950554987,2.8,2.8,56,0.03174069653523419,1,1,27,27,0,0.48214285714285715,1,0,0.0,0.0007361287662008884,282.19772114883904,success
fixed,constrained_fixed_height_randomized,9,31009,cross_workspace,1,1,0,0,0,0.2101912760997303,2.55,2.55,51,0.0270443376075459,1,1,35,35,0,0.6862745098039216,0,0,0.0,0.0,281.4237007055904,success
