experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.21790735633774427,2.75,2.75,55,0.019031428871978357,1,1,37,37,0,0.6727272727272727,0,0,0.0,0.0,283.009597319039,success
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.21707318551948046,2.5,2.5,50,0.04388731839572834,1,1,40,40,0,0.8,0,0,0.0,0.0,274.60920591916084,success
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.21163307260859449,2.55,2.55,51,0.022211004374373764,1,1,33,33,0,0.6470588235294118,0,0,0.0,0.0,282.6616092331114,success
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,1,1,0,0,0,0.23083102430876792,2.5,2.5,50,0.01884422042905608,1,1,34,34,0,0.68,0,0,0.0,0.0,279.9774898366869,success
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.24458530784241753,2.35,2.35,47,0.015741211718307495,1,1,31,31,0,0.6595744680851063,0,0,0.0,0.0,282.238216950022,success
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,1,1,0,0,0,0.19139103858187484,2.65,2.65,53,0.017623805717025095,1,1,36,36,0,0.6792452830188679,0,0,0.0,0.0,281.3920212805416,success
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,1,1,0,0,0,0.1728861131340293,2.75,2.75,55,0.012822735109334508,1,1,43,43,0,0.7818181818181819,0,0,0.0,0.0,271.5872941493846,success
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.1947755388959164,2.6,2.6,52,0.0250220595075255,1,1,41,41,0,0.7884615384615384,0,0,0.0,0.0,268.0583806478766,success
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,1,1,0,0,0,0.11871486458358205,3.0,3.0,60,0.03441903147806775,1,1,32,32,0,0.5333333333333333,1,1,0.05,0.00022938514424051864,283.56608149605006,success
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.24018998817322215,2.45,2.45,49,0.019355830400262133,1,1,26,26,0,0.5306122448979592,0,0,0.0,0.0,285.26508715966173,success
fixed-exact-h036-v1,fixed_exact_h036_v1,10,31010,cross_workspace,1,1,0,0,0,0.1789451509664469,2.6,2.6,52,0.01327055719592857,1,1,29,29,0,0.5576923076923077,0,0,0.0,0.0,282.52988710080604,success
fixed-exact-h036-v1,fixed_exact_h036_v1,11,31011,cross_workspace,1,1,0,0,0,0.25496140959173763,2.25,2.25,45,0.009568611549892947,1,1,30,30,0,0.6666666666666666,0,0,0.0,0.0,263.8144424911834,success
fixed-exact-h036-v1,fixed_exact_h036_v1,12,31012,cross_workspace,1,1,0,0,0,0.14587525729959555,2.95,2.95,59,0.019215185792534388,1,1,31,31,0,0.5254237288135594,0,0,0.0,0.0,283.22240571158636,success
fixed-exact-h036-v1,fixed_exact_h036_v1,13,31013,cross_workspace,1,1,0,0,0,0.20186126388826647,2.75,2.75,55,0.029236614402569878,1,1,33,33,0,0.6,0,0,0.0,0.0,287.20432394679625,success
fixed-exact-h036-v1,fixed_exact_h036_v1,14,31014,cross_workspace,1,1,0,0,0,0.3089385916854045,2.05,2.05,41,0.013201761247429751,1,1,35,35,0,0.8536585365853658,0,0,0.0,0.0,283.14344661817347,success
fixed-exact-h036-v1,fixed_exact_h036_v1,15,31015,cross_workspace,1,1,0,0,0,0.1745002480319753,2.75,2.75,55,0.027276427425152693,1,1,40,40,0,0.7272727272727273,0,0,0.0,0.0,273.3035926961964,success
fixed-exact-h036-v1,fixed_exact_h036_v1,16,31016,cross_workspace,1,1,0,0,0,0.20596890363849385,2.65,2.65,53,0.005544456423147826,1,1,45,45,0,0.8490566037735849,0,0,0.0,0.0,282.67960445110316,success
fixed-exact-h036-v1,fixed_exact_h036_v1,17,31017,cross_workspace,0,0,1,1,1,-6.194654843853092e-05,,3.8,76,0.0564688999328815,1,0,61,61,0,0.8026315789473685,17,17,0.85,114.26168844776905,-74.78579915495013,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,18,31018,cross_workspace,0,0,1,1,1,-2.3455496954476185e-05,,6.4,128,0.2603404083185596,0,0,118,118,0,0.921875,47,47,2.35,158.75091382039903,-161.45591423276446,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,19,31019,cross_workspace,0,0,1,1,1,-0.000336043031048526,,3.95,79,0.04535321776645114,1,1,60,60,0,0.759493670886076,11,6,0.3,106.63927863939861,-24.727843670552588,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,20,31020,cross_workspace,1,1,0,0,0,0.17418510006457824,2.7,2.7,54,0.03802347327334081,1,1,40,40,0,0.7407407407407407,0,0,0.0,0.0,273.617991443287,success
fixed-exact-h036-v1,fixed_exact_h036_v1,21,31021,cross_workspace,1,1,0,0,0,0.1402403095542878,3.0,3.0,60,0.032656230236073586,1,1,48,48,0,0.8,0,0,0.0,0.0,279.45514996425305,success
fixed-exact-h036-v1,fixed_exact_h036_v1,22,31022,cross_workspace,1,1,0,0,0,0.17693192719121587,2.8,2.8,56,0.026846863732573126,1,1,43,43,0,0.7678571428571429,0,0,0.0,0.0,266.07911149717694,success
fixed-exact-h036-v1,fixed_exact_h036_v1,23,31023,cross_workspace,1,1,0,0,0,0.24407059716359011,2.5,2.5,50,0.02011869497733455,1,1,39,39,0,0.78,0,0,0.0,0.0,271.83886718657476,success
fixed-exact-h036-v1,fixed_exact_h036_v1,24,31024,cross_workspace,0,0,1,1,1,-0.00020837964250770835,,6.9,138,0.4175209059197984,1,0,118,118,0,0.855072463768116,47,47,2.35,130.359471951572,-100.84958323900645,human_collision
