experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
randomized-id,evaluation_id,0,40000,reach_object,1,0,1,1,1,-8.331643909752218e-06,2.75,2.75,55,0.030402388128087248,1,1,37,37,0,0.6727272727272727,10,3,0.15,108.80238423426732,171.47542310327142,human_collision
randomized-id,evaluation_id,1,40001,reverse,1,1,0,0,0,0.2784826599237895,2.9,2.9,58,0.013910550429487802,1,1,55,55,0,0.9482758620689655,0,0,0.0,0.0,288.6224607040888,success
randomized-id,evaluation_id,2,40002,reverse,0,0,1,1,1,-0.00039365007972454874,,3.15,63,0.03757902863785275,1,1,44,44,0,0.6984126984126984,7,0,0.0,107.00610326257184,-29.491911090755337,human_collision
randomized-id,evaluation_id,3,40003,cross_workspace,1,1,0,0,0,0.18816820090415426,3.0,3.0,60,0.029326421203094,1,1,46,46,0,0.7666666666666667,0,0,0.0,0.0,272.2103075291225,success
randomized-id,evaluation_id,4,40004,reverse,1,1,0,0,0,0.3580541322468239,1.95,1.95,39,0.006769111725052647,1,1,29,29,0,0.7435897435897436,0,0,0.0,0.0,276.06804309688744,success
randomized-id,evaluation_id,5,40005,reverse,1,1,0,0,0,0.34153257530319003,2.45,2.45,49,0.02181542521221724,1,1,37,37,0,0.7551020408163265,0,0,0.0,0.0,280.7210202699098,success
randomized-id,evaluation_id,6,40006,reach_object,0,0,1,1,1,-0.0010027719343655359,,8.2,164,0.3064652726389952,1,0,153,153,0,0.9329268292682927,41,41,2.05,140.84397082169883,-115.40949914038407,human_collision
randomized-id,evaluation_id,7,40007,pause_and_continue,1,1,0,0,0,0.3020956112155049,2.7,2.7,54,0.019759796732519302,1,1,44,44,0,0.8148148148148148,0,0,0.0,0.0,283.3535364611877,success
randomized-id,evaluation_id,8,40008,pause_and_continue,1,1,0,0,0,0.15997739372201092,2.75,2.75,55,0.027638870914139795,1,1,28,28,0,0.509090909090909,0,0,0.0,0.0,284.76951777572054,success
randomized-id,evaluation_id,9,40009,reverse,0,0,1,1,1,-0.033220752846784,,9.05,181,0.1521745841400559,0,0,174,174,0,0.9613259668508287,86,65,3.25,318.58287000829694,-326.68184892297313,human_collision
randomized-id,evaluation_id,10,40010,reach_target,1,1,0,0,0,0.1509283505465447,2.95,2.95,59,0.04009885706261481,1,1,54,54,0,0.9152542372881356,0,0,0.0,0.0,276.47728206685423,success
randomized-id,evaluation_id,11,40011,cross_workspace,1,1,0,0,0,0.26719367055501975,2.65,2.65,53,0.013278009657556862,1,1,43,43,0,0.8113207547169812,0,0,0.0,0.0,286.6259395802191,success
randomized-id,evaluation_id,12,40012,pause_and_continue,1,1,0,0,0,0.13033215985387084,2.85,2.85,57,0.02658007449452343,1,1,36,36,0,0.631578947368421,0,0,0.0,0.0,283.7107922785633,success
randomized-id,evaluation_id,13,40013,cross_workspace,0,0,1,1,1,-5.91387967915219e-05,,5.3,106,0.43810009478862344,1,0,91,91,0,0.8584905660377359,27,8,0.4,123.46695219208237,-88.90725619329505,human_collision
randomized-id,evaluation_id,14,40014,pause_and_continue,1,1,0,0,0,0.3246362436568315,2.4,2.4,48,0.031185436031920352,1,1,33,33,0,0.6875,0,0,0.0,0.0,265.98455577659786,success
randomized-id,evaluation_id,15,40015,reverse,0,0,0,0,0,0.1494165607334128,,10.0,200,0.3584252402350117,0,0,183,183,0,0.915,0,0,0.0,0.0,-26.714591988327655,timeout
randomized-id,evaluation_id,16,40016,reach_target,1,1,0,0,0,0.2705917574850998,2.75,2.75,55,0.023751840981220063,1,1,36,36,0,0.6545454545454545,0,0,0.0,0.0,274.16894974913293,success
randomized-id,evaluation_id,17,40017,reverse,1,1,0,0,0,0.3875719277889625,2.5,2.5,50,0.01799142476737291,1,1,34,34,0,0.68,0,0,0.0,0.0,272.280316433816,success
randomized-id,evaluation_id,18,40018,reach_target,1,1,0,0,0,0.32221998686434666,3.1,3.1,62,0.014052887510214962,1,1,38,38,0,0.6129032258064516,0,0,0.0,0.0,287.00387070193324,success
randomized-id,evaluation_id,19,40019,reach_target,1,1,0,0,0,0.31573668729176574,2.8,2.8,56,0.018731048370516055,1,1,42,42,0,0.75,0,0,0.0,0.0,282.5218713192486,success
randomized-id,evaluation_id,20,40020,reach_object,1,1,0,0,0,0.07209512001924734,2.85,2.85,57,0.02760147115870751,1,1,44,44,0,0.7719298245614035,4,0,0.0,0.6018901076446299,277.7053154441307,success
randomized-id,evaluation_id,21,40021,pause_and_continue,1,1,0,0,0,0.26628205153059004,3.85,3.85,77,0.022973942938186206,1,1,73,73,0,0.948051948051948,0,0,0.0,0.0,283.0251206919793,success
randomized-id,evaluation_id,22,40022,reverse,1,1,0,0,0,0.17373081689121542,5.3,5.3,106,0.044905628362371997,1,0,90,90,0,0.8490566037735849,0,0,0.0,0.0,238.80796163686605,success
randomized-id,evaluation_id,23,40023,reach_target,1,1,0,0,0,0.27673215969909737,3.0,3.0,60,0.014206746460775863,1,1,40,40,0,0.6666666666666666,0,0,0.0,0.0,288.6741070949237,success
randomized-id,evaluation_id,24,40024,pause_and_continue,0,0,1,1,1,-0.0001231338106862448,,8.7,174,0.25953213503241834,0,0,155,155,0,0.8908045977011494,79,79,3.95,159.40820518241586,-164.920174471077,human_collision
randomized-id,evaluation_id,25,40025,reach_object,1,1,0,0,0,0.11407839466791261,2.8,2.8,56,0.023570064064800392,1,1,40,40,0,0.7142857142857143,1,1,0.05,0.004870195792917461,276.4552201148255,success
randomized-id,evaluation_id,26,40026,reach_object,1,1,0,0,0,0.37701384647674485,2.45,2.45,49,0.03864338365381007,1,1,39,39,0,0.7959183673469388,0,0,0.0,0.0,264.39630749318565,success
randomized-id,evaluation_id,27,40027,reach_object,1,1,0,0,0,0.37104628674939755,2.25,2.25,45,0.02584552141401515,1,1,41,41,0,0.9111111111111111,0,0,0.0,0.0,276.84113234808035,success
randomized-id,evaluation_id,28,40028,reach_target,0,0,1,1,1,-0.009402552477498577,,3.5,70,0.43542427969023945,1,0,66,66,0,0.9428571428571428,15,15,0.75,116.40274177783938,-70.09624039502899,human_collision
randomized-id,evaluation_id,29,40029,reverse,1,1,0,0,0,0.332492251624847,3.0,3.0,60,0.014074972494037422,1,1,49,49,0,0.8166666666666667,0,0,0.0,0.0,286.52190200518965,success
randomized-id,evaluation_id,30,40030,reach_object,1,1,0,0,0,0.3199737202464684,2.7,2.7,54,0.007772653424854975,1,1,39,39,0,0.7222222222222222,0,0,0.0,0.0,281.65555865105983,success
randomized-id,evaluation_id,31,40031,reach_object,1,1,0,0,0,0.27553713884220177,2.5,2.5,50,0.013502456819353241,1,1,34,34,0,0.68,0,0,0.0,0.0,265.89704708994486,success
randomized-id,evaluation_id,32,40032,pause_and_continue,1,1,0,0,0,0.362558198486869,2.55,2.55,51,0.025505016587910375,1,1,44,44,0,0.8627450980392157,0,0,0.0,0.0,273.70364232643533,success
randomized-id,evaluation_id,33,40033,cross_workspace,1,1,0,0,0,0.1560576018821973,3.0,3.0,60,0.04427970022174468,1,0,46,46,0,0.7666666666666667,0,0,0.0,0.0,248.43008815651282,success
randomized-id,evaluation_id,34,40034,reverse,1,1,0,0,0,0.36140030394747813,2.6,2.6,52,0.0146747219944551,1,1,35,35,0,0.6730769230769231,0,0,0.0,0.0,285.1426006665374,success
randomized-id,evaluation_id,35,40035,reach_object,1,1,0,0,0,0.24468597092929575,2.8,2.8,56,0.008511086564853183,1,1,41,41,0,0.7321428571428571,0,0,0.0,0.0,283.94108157619803,success
randomized-id,evaluation_id,36,40036,cross_workspace,1,1,0,0,0,0.2718252815023958,2.7,2.7,54,0.02859538673970262,1,1,33,33,0,0.6111111111111112,0,0,0.0,0.0,266.96742762272623,success
randomized-id,evaluation_id,37,40037,cross_workspace,1,1,0,0,0,0.40225616249426,2.5,2.5,50,0.040702990108826845,1,1,32,32,0,0.64,0,0,0.0,0.0,272.00694488437375,success
randomized-id,evaluation_id,38,40038,reverse,0,0,0,0,0,0.09829879582436285,,10.0,200,0.13691454393154356,1,0,187,187,0,0.935,27,27,1.35,1.1149900960523023,17.078610695251886,timeout
randomized-id,evaluation_id,39,40039,cross_workspace,1,1,0,0,0,0.16524612553008192,3.15,3.15,63,0.02917882770375697,1,1,56,56,0,0.8888888888888888,0,0,0.0,0.0,279.2856589231198,success
randomized-id,evaluation_id,40,40040,reverse,1,1,0,0,0,0.25245727738370194,2.4,2.4,48,0.015915165372040057,1,1,32,32,0,0.6666666666666666,0,0,0.0,0.0,279.91501529672655,success
randomized-id,evaluation_id,41,40041,reach_object,1,1,0,0,0,0.20524590499371081,3.15,3.15,63,0.03022923444868318,1,1,40,40,0,0.6349206349206349,0,0,0.0,0.0,274.52018690636237,success
randomized-id,evaluation_id,42,40042,reach_object,0,0,1,1,1,-6.547640796119442e-05,,3.4,68,0.02051102821575883,1,1,34,34,0,0.5,9,0,0.0,110.76010505289983,-68.85793661642512,human_collision
randomized-id,evaluation_id,43,40043,pause_and_continue,0,0,1,1,1,-0.0002850926997131492,,6.4,128,0.11296825352554586,1,0,112,112,0,0.875,50,50,2.5,129.9928558257991,-103.73029578828287,human_collision
randomized-id,evaluation_id,44,40044,reach_object,1,1,0,0,0,0.3876607530466342,2.45,2.45,49,0.017196055006003276,1,1,32,32,0,0.6530612244897959,0,0,0.0,0.0,280.3580244265503,success
randomized-id,evaluation_id,45,40045,reach_target,1,1,0,0,0,0.3107437900445138,2.4,2.4,48,0.024984250504086054,1,1,42,42,0,0.875,0,0,0.0,0.0,276.1696193874966,success
randomized-id,evaluation_id,46,40046,reach_target,1,1,0,0,0,0.400482725428699,2.35,2.35,47,0.01633369512362231,1,1,33,33,0,0.7021276595744681,0,0,0.0,0.0,280.32823650412706,success
randomized-id,evaluation_id,47,40047,reach_object,1,1,0,0,0,0.3264016152528316,2.45,2.45,49,0.014745712938767636,1,1,32,32,0,0.6530612244897959,0,0,0.0,0.0,282.68935558042716,success
randomized-id,evaluation_id,48,40048,cross_workspace,1,1,0,0,0,0.25584434033393244,1.95,1.95,39,0.015615082859176309,1,1,20,20,0,0.5128205128205128,0,0,0.0,0.0,278.66598136182336,success
randomized-id,evaluation_id,49,40049,reverse,1,1,0,0,0,0.08188222581415631,3.4,3.4,68,0.02923048626617752,1,0,56,56,0,0.8235294117647058,9,5,0.25,0.766444578677232,243.4498389692336,success
randomized-id,evaluation_id,50,40050,reverse,0,0,0,1,1,0.04355784305862463,,10.0,200,0.1883346350608923,1,1,177,177,0,0.885,34,2,0.1,6.530583934161096,51.05474381335599,timeout
randomized-id,evaluation_id,51,40051,cross_workspace,1,1,0,0,0,0.376803086189071,2.5,2.5,50,0.005505953274384173,1,1,33,33,0,0.66,0,0,0.0,0.0,266.70705436974436,success
randomized-id,evaluation_id,52,40052,cross_workspace,1,1,0,0,0,0.21466795413141332,2.6,2.6,52,0.04308878011252004,1,0,35,35,0,0.6730769230769231,0,0,0.0,0.0,245.94759120524412,success
randomized-id,evaluation_id,53,40053,reverse,1,1,0,0,0,0.37634180256469496,2.25,2.25,45,0.025063043568833293,1,1,31,31,0,0.6888888888888889,0,0,0.0,0.0,280.08902185229937,success
randomized-id,evaluation_id,54,40054,reach_target,0,0,0,0,0,0.45465535198749973,,2.15,43,0.39202899443931005,1,0,28,28,0,0.6511627906976745,0,0,0.0,0.0,-40.274017217092855,unsafe
randomized-id,evaluation_id,55,40055,reach_object,1,1,0,0,0,0.27893609399766384,2.65,2.65,53,0.02227659373105196,1,1,40,40,0,0.7547169811320755,0,0,0.0,0.0,271.9913433328393,success
randomized-id,evaluation_id,56,40056,reverse,1,1,0,0,0,0.2235106668284629,2.5,2.5,50,0.01784013625080297,1,1,40,40,0,0.8,0,0,0.0,0.0,282.4159422660764,success
randomized-id,evaluation_id,57,40057,reverse,1,1,0,0,0,0.12382735800256262,3.0,3.0,60,0.043143741797938805,1,1,45,45,0,0.75,0,0,0.0,0.0,271.5201877282717,success
randomized-id,evaluation_id,58,40058,reach_target,1,1,0,0,0,0.3167540460963292,2.45,2.45,49,0.01866779561907022,1,1,43,43,0,0.8775510204081632,0,0,0.0,0.0,271.6975020964876,success
randomized-id,evaluation_id,59,40059,cross_workspace,1,1,0,0,0,0.2920620341948258,2.75,2.75,55,0.017013379436146874,1,1,51,51,0,0.9272727272727272,0,0,0.0,0.0,285.62398088379354,success
randomized-id,evaluation_id,60,40060,reverse,1,1,0,0,0,0.3436808676725044,2.25,2.25,45,0.003077898184861384,1,1,38,38,0,0.8444444444444444,0,0,0.0,0.0,278.98370651510834,success
randomized-id,evaluation_id,61,40061,reverse,1,1,0,0,0,0.3540960098452434,2.65,2.65,53,0.00503522587957412,1,1,39,39,0,0.7358490566037735,0,0,0.0,0.0,283.8202250281508,success
randomized-id,evaluation_id,62,40062,pause_and_continue,1,1,0,0,0,0.413810443074087,2.25,2.25,45,0.01570067166225516,1,1,29,29,0,0.6444444444444445,0,0,0.0,0.0,279.77597247048186,success
randomized-id,evaluation_id,63,40063,pause_and_continue,0,0,1,1,1,-3.3685906576000346e-05,,7.6,152,0.2001989669549331,1,0,127,127,0,0.8355263157894737,74,74,3.7,140.5828484118785,-112.40300964047502,human_collision
randomized-id,evaluation_id,64,40064,pause_and_continue,0,0,1,1,1,-0.0003273874101741847,,6.1,122,0.05387032197630567,1,0,116,116,0,0.9508196721311475,48,46,2.3,130.03409376669578,-148.05526323755822,human_collision
randomized-id,evaluation_id,65,40065,cross_workspace,1,1,0,0,0,0.13270899442788486,3.15,3.15,63,0.04242837787224611,1,1,42,42,0,0.6666666666666666,0,0,0.0,0.0,270.560150162862,success
randomized-id,evaluation_id,66,40066,reach_object,1,1,0,0,0,0.19535381958391623,2.95,2.95,59,0.016788914909055385,1,1,50,50,0,0.847457627118644,0,0,0.0,0.0,272.0726034380679,success
randomized-id,evaluation_id,67,40067,reach_object,0,0,0,1,2,-0.021349709528478113,,10.0,200,0.23434688589590363,0,0,189,189,0,0.945,107,92,4.6,128.88332482035247,-141.00904569936736,timeout
randomized-id,evaluation_id,68,40068,reverse,1,1,0,0,0,0.24456460845530933,3.25,3.25,65,0.019545521473985406,1,1,48,48,0,0.7384615384615385,0,0,0.0,0.0,289.2876117966492,success
randomized-id,evaluation_id,69,40069,pause_and_continue,1,1,0,0,0,0.3200581827171848,2.95,2.95,59,0.040743651481068864,1,0,39,39,0,0.6610169491525424,0,0,0.0,0.0,242.09557223512004,success
randomized-id,evaluation_id,70,40070,reach_target,1,1,0,0,0,0.2766904971542874,2.7,2.7,54,0.012409235428050683,1,1,49,49,0,0.9074074074074074,0,0,0.0,0.0,283.3936943783861,success
randomized-id,evaluation_id,71,40071,cross_workspace,1,1,0,0,0,0.14371006889530738,3.05,3.05,61,0.0054283533578054445,1,1,42,42,0,0.6885245901639344,0,0,0.0,0.0,270.27652580000336,success
randomized-id,evaluation_id,72,40072,reverse,1,1,0,0,0,0.20090234740826318,2.8,2.8,56,0.027551559481951714,1,1,40,40,0,0.7142857142857143,0,0,0.0,0.0,273.7285680018373,success
randomized-id,evaluation_id,73,40073,reach_object,1,1,0,0,0,0.0786934745723214,3.3,3.3,66,0.03490210261574324,1,1,52,52,0,0.7878787878787878,4,4,0.2,0.4472965828696391,277.08706560518925,success
randomized-id,evaluation_id,74,40074,pause_and_continue,1,1,0,0,0,0.3323522132116501,2.35,2.35,47,0.019616369368509565,1,1,27,27,0,0.574468085106383,0,0,0.0,0.0,278.0681460340181,success
randomized-id,evaluation_id,75,40075,pause_and_continue,1,1,0,0,0,0.33671965500263246,3.05,3.05,61,0.028107034387171194,1,1,47,47,0,0.7704918032786885,0,0,0.0,0.0,290.6602512278352,success
randomized-id,evaluation_id,76,40076,reach_target,1,1,0,0,0,0.33127213716618537,3.0,3.0,60,0.01237543015973455,1,1,51,51,0,0.85,0,0,0.0,0.0,286.2952442344157,success
randomized-id,evaluation_id,77,40077,cross_workspace,0,0,1,1,1,-5.5637747796516424e-05,,5.95,119,0.3741848042235979,1,0,112,112,0,0.9411764705882353,41,41,2.05,115.08234917446322,-113.62305101605894,human_collision
randomized-id,evaluation_id,78,40078,cross_workspace,1,1,0,0,0,0.31432737000396327,2.7,2.7,54,0.01248374177854016,1,1,39,39,0,0.7222222222222222,0,0,0.0,0.0,283.6062088879764,success
randomized-id,evaluation_id,79,40079,reach_target,1,1,0,0,0,0.42863222570631343,2.45,2.45,49,0.016808485336250966,1,1,37,37,0,0.7551020408163265,0,0,0.0,0.0,267.4372164556331,success
