experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
no-human,no_human,0,30000,reach_object,1,1,0,0,0,0.39968665878463594,2.9,2.9,58,0.01952939677646846,1,1,48,48,0,0.8275862068965517,0,0,0.0,0.0,276.5760790240264,success
no-human,no_human,1,30001,reverse,1,1,0,0,0,0.4264789024884029,2.5,2.5,50,0.0094784068033019,1,1,33,33,0,0.66,0,0,0.0,0.0,280.0628876780002,success
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.2933944879998356,2.6,2.6,52,0.006148814110696299,1,1,45,45,0,0.8653846153846154,0,0,0.0,0.0,266.61848772681657,success
no-human,no_human,3,30003,cross_workspace,0,0,0,0,0,0.21450301399710806,,10.0,200,0.2998833162362631,1,0,193,193,0,0.965,0,0,0.0,0.0,17.66977264999877,timeout
no-human,no_human,4,30004,reach_target,1,1,0,0,0,0.36055855118906366,2.85,2.85,57,0.020456236601690818,1,1,46,46,0,0.8070175438596491,0,0,0.0,0.0,268.2502555674141,success
no-human,no_human,5,30005,reach_object,1,1,0,0,0,0.42314645282343144,3.1,3.1,62,0.008446933814582027,1,1,51,51,0,0.8225806451612904,0,0,0.0,0.0,279.73041342475165,success
no-human,no_human,6,30006,pause_and_continue,0,0,0,0,0,0.3158951885083834,,10.0,200,0.03802907396357292,1,1,176,176,0,0.88,0,0,0.0,0.0,75.78490475809099,timeout
no-human,no_human,7,30007,pause_and_continue,0,0,0,0,0,0.4881253817022618,,10.0,200,0.39906712320881826,0,0,184,184,0,0.92,0,0,0.0,0.0,-6.038728215280588,timeout
no-human,no_human,8,30008,reach_target,1,1,0,0,0,0.41744818659939775,3.1,3.1,62,0.031608294396210934,1,1,52,52,0,0.8387096774193549,0,0,0.0,0.0,263.4507287582399,success
no-human,no_human,9,30009,reverse,0,0,0,0,0,0.3590634804314934,,10.0,200,0.04924393392359511,1,0,185,185,0,0.925,0,0,0.0,0.0,49.36344569824031,timeout
no-human,no_human,10,30010,pause_and_continue,1,1,0,0,0,0.33763706330739884,2.65,2.65,53,0.015444546826853419,1,1,42,42,0,0.7924528301886793,0,0,0.0,0.0,279.84750852219236,success
no-human,no_human,11,30011,reach_target,1,1,0,0,0,0.33321092588996615,2.65,2.65,53,0.005154206350092167,1,1,39,39,0,0.7358490566037735,0,0,0.0,0.0,276.442358554413,success
