experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
ood,evaluation_ood,0,50000,pause_and_continue,1,1,0,1,1,0.01843168948199822,3.55,3.55,71,0.01911675672876406,1,1,53,53,0,0.7464788732394366,34,2,0.1,19.449275953689607,257.77670319576964,success
ood,evaluation_ood,1,50001,pause_and_continue,0,0,1,1,1,-0.00011159304350356891,,6.05,121,0.06680610011307109,1,0,112,112,0,0.9256198347107438,63,61,3.05,184.78619652027984,-147.25107833900523,human_collision
ood,evaluation_ood,2,50002,pause_and_continue,0,0,0,0,0,0.10917093472336646,,1.95,39,0.35910667508161453,0,0,22,22,0,0.5641025641025641,8,0,0.0,0.029640953754395204,-54.25519237008567,unsafe
ood,evaluation_ood,3,50003,cross_workspace,0,0,1,1,1,-0.0002699657623173729,,5.2,104,0.07058619140419126,1,0,83,83,0,0.7980769230769231,28,28,1.4,118.68874065751629,-44.51878723099989,human_collision
ood,evaluation_ood,4,50004,cross_workspace,0,0,1,1,1,-0.0004939441168122574,,5.85,117,0.21876632907036672,1,0,110,110,0,0.9401709401709402,9,9,0.45,107.38853566110521,-90.35797893545188,human_collision
ood,evaluation_ood,5,50005,reverse,1,1,0,0,0,0.3159575392838845,2.6,2.6,52,0.023058485020099145,1,1,36,36,0,0.6923076923076923,0,0,0.0,0.0,276.17001089956494,success
ood,evaluation_ood,6,50006,reverse,0,0,1,1,1,-2.115724702176497e-05,,4.35,87,0.19933931899073415,1,0,72,72,0,0.8275862068965517,20,7,0.35,124.20173348668034,-99.39720251862144,human_collision
ood,evaluation_ood,7,50007,cross_workspace,1,1,0,0,0,0.33067969525308893,3.15,3.15,63,0.010568527882020198,1,1,52,52,0,0.8253968253968254,0,0,0.0,0.0,282.92041587741926,success
ood,evaluation_ood,8,50008,cross_workspace,1,1,0,0,0,0.24058473996731486,2.9,2.9,58,0.03261543113943547,1,1,41,41,0,0.7068965517241379,0,0,0.0,0.0,288.25937872053055,success
ood,evaluation_ood,9,50009,reverse,0,0,0,1,1,0.025866123237549887,,10.0,200,0.05482531686431336,1,0,186,186,0,0.93,80,80,4.0,85.24974914057435,-14.023409224330555,timeout
ood,evaluation_ood,10,50010,reverse,1,1,0,0,0,0.43095361344523675,2.6,2.6,52,0.03344446351174865,1,1,39,39,0,0.75,0,0,0.0,0.0,278.36767158506075,success
ood,evaluation_ood,11,50011,reverse,1,1,0,0,0,0.0800214328219006,2.45,2.45,49,0.015869854448465386,1,1,43,43,0,0.8775510204081632,4,2,0.1,0.4322848434794522,271.40945435381514,success
ood,evaluation_ood,12,50012,cross_workspace,1,1,0,0,0,0.33953962476689326,3.6,3.6,72,0.00968274578098572,1,1,53,53,0,0.7361111111111112,0,0,0.0,0.0,284.96119559128823,success
ood,evaluation_ood,13,50013,cross_workspace,0,0,1,1,1,-0.00012478193909184337,,4.7,94,0.3906805638134658,1,0,86,86,0,0.9148936170212766,16,10,0.5,112.53036344285,-84.87564822493556,human_collision
ood,evaluation_ood,14,50014,cross_workspace,1,1,0,0,0,0.3048620727599276,3.05,3.05,61,0.00924372966504104,1,1,49,49,0,0.8032786885245902,0,0,0.0,0.0,285.3268048653267,success
ood,evaluation_ood,15,50015,reverse,1,1,0,0,0,0.3406477945642843,2.65,2.65,53,0.03993046378850138,1,1,42,42,0,0.7924528301886793,0,0,0.0,0.0,278.09374377340623,success
ood,evaluation_ood,16,50016,reverse,1,1,0,0,0,0.26326278937741804,3.45,3.45,69,0.03322518566610288,1,1,38,38,0,0.5507246376811594,0,0,0.0,0.0,290.8369141552152,success
ood,evaluation_ood,17,50017,pause_and_continue,1,1,0,0,0,0.3945163029652139,2.4,2.4,48,0.024821076877763616,1,1,38,38,0,0.7916666666666666,0,0,0.0,0.0,263.37880206395374,success
ood,evaluation_ood,18,50018,reverse,1,1,0,0,0,0.26817136950136045,2.7,2.7,54,0.03960716633898304,1,1,48,48,0,0.8888888888888888,0,0,0.0,0.0,279.5209324209945,success
ood,evaluation_ood,19,50019,reverse,1,1,0,0,0,0.25343969493406737,3.1,3.1,62,0.013196969136648754,1,1,45,45,0,0.7258064516129032,0,0,0.0,0.0,289.22873292626616,success
ood,evaluation_ood,20,50020,cross_workspace,1,1,0,0,0,0.31177052846915565,3.15,3.15,63,0.008772654748645928,1,1,48,48,0,0.7619047619047619,0,0,0.0,0.0,288.5017414144138,success
ood,evaluation_ood,21,50021,reverse,1,1,0,0,0,0.18365576065692504,2.8,2.8,56,0.028324637198301562,1,1,39,39,0,0.6964285714285714,0,0,0.0,0.0,272.93460582216164,success
ood,evaluation_ood,22,50022,reverse,1,1,0,0,0,0.3114090090636433,3.25,3.25,65,0.020932960215270024,1,1,42,42,0,0.6461538461538462,0,0,0.0,0.0,284.7607229550177,success
ood,evaluation_ood,23,50023,reverse,1,1,0,0,0,0.22100174155864646,3.15,3.15,63,0.017129802558954257,1,1,44,44,0,0.6984126984126984,0,0,0.0,0.0,284.8578652760992,success
ood,evaluation_ood,24,50024,cross_workspace,1,1,0,0,0,0.15016861745454518,2.55,2.55,51,0.02484268755226468,1,1,47,47,0,0.9215686274509803,0,0,0.0,0.0,274.6069274818083,success
ood,evaluation_ood,25,50025,reverse,1,1,0,0,0,0.34813012000226073,3.0,3.0,60,0.01565452275196517,1,1,47,47,0,0.7833333333333333,0,0,0.0,0.0,279.3244465193082,success
ood,evaluation_ood,26,50026,reverse,1,1,0,0,0,0.3059955753643636,3.0,3.0,60,0.012016905842635562,1,1,45,45,0,0.75,0,0,0.0,0.0,284.5476573639976,success
