experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed,constrained_fixed_height_randomized,0,31000,cross_workspace,1,1,0,0,0,0.261007662586344,2.45,2.45,49,0.009686721366573534,1,1,45,45,0,0.9183673469387755,0,0,0.0,0.0,284.3631486334192,success
fixed,constrained_fixed_height_randomized,1,31001,cross_workspace,1,1,0,0,0,0.2577660704428649,2.4,2.4,48,0.002855482584128684,1,1,41,41,0,0.8541666666666666,0,0,0.0,0.0,281.92074126814214,success
fixed,constrained_fixed_height_randomized,2,31002,cross_workspace,1,1,0,0,0,0.21056966242341846,2.65,2.65,53,0.019739021985507147,1,1,41,41,0,0.7735849056603774,0,0,0.0,0.0,282.04559233077765,success
fixed,constrained_fixed_height_randomized,3,31003,cross_workspace,1,1,0,0,0,0.2114014609824059,2.65,2.65,53,0.012260988005300844,1,1,46,46,0,0.8679245283018868,0,0,0.0,0.0,279.8888257204042,success
fixed,constrained_fixed_height_randomized,4,31004,cross_workspace,1,1,0,0,0,0.22706392551529733,2.35,2.35,47,0.01698178795365736,1,1,36,36,0,0.7659574468085106,0,0,0.0,0.0,280.5913814808644,success
fixed,constrained_fixed_height_randomized,5,31005,cross_workspace,1,1,0,0,0,0.19647620460464246,2.55,2.55,51,0.0024313939871946533,1,1,33,33,0,0.6470588235294118,0,0,0.0,0.0,281.12534355292246,success
fixed,constrained_fixed_height_randomized,6,31006,cross_workspace,1,1,0,0,0,0.16605610450886918,2.75,2.75,55,0.02049748779784926,1,1,44,44,0,0.8,0,0,0.0,0.0,285.6170822126474,success
fixed,constrained_fixed_height_randomized,7,31007,cross_workspace,1,1,0,0,0,0.14751614783674977,2.75,2.75,55,0.005094262436828959,1,1,44,44,0,0.8,0,0,0.0,0.0,281.2068041471912,success
fixed,constrained_fixed_height_randomized,8,31008,cross_workspace,0,0,1,1,1,-0.00021493323485943794,,6.75,135,0.30341493528051355,0,0,120,120,0,0.8888888888888888,45,44,2.2,134.8476744224466,-136.1263574404062,human_collision
fixed,constrained_fixed_height_randomized,9,31009,cross_workspace,1,1,0,0,0,0.23380505244824598,2.5,2.5,50,0.015256140508471676,1,1,41,41,0,0.82,0,0,0.0,0.0,282.2451306350275,success
fixed,constrained_fixed_height_randomized,10,31010,cross_workspace,0,0,1,1,1,-0.00019885567250159386,,6.85,137,0.2615503404429393,0,0,123,123,0,0.8978102189781022,47,47,2.35,133.40607252430067,-135.0351075027921,human_collision
fixed,constrained_fixed_height_randomized,11,31011,cross_workspace,1,1,0,0,0,0.22960089307769463,2.2,2.2,44,0.008725603543442222,1,1,39,39,0,0.8863636363636364,0,0,0.0,0.0,274.8576945197462,success
