experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
no-human,no_human,0,30000,reach_object,1,1,0,0,0,0.40545883409637606,2.75,2.75,55,0.017748550829568895,1,1,43,43,0,0.7818181818181819,0,0,0.0,0.0,279.9884302430435,success
no-human,no_human,1,30001,reverse,1,1,0,0,0,0.4356744302276764,2.9,2.9,58,0.00954084199088745,1,1,44,44,0,0.7586206896551724,0,0,0.0,0.0,283.2572087396369,success
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.29608574755926553,2.95,2.95,59,0.0054982563509918215,1,1,41,41,0,0.6949152542372882,0,0,0.0,0.0,281.20722697783657,success
no-human,no_human,3,30003,cross_workspace,1,1,0,0,0,0.2150042856751056,3.75,3.75,75,0.021909474572852534,1,1,46,46,0,0.6133333333333333,0,0,0.0,0.0,275.95753334232757,success
no-human,no_human,4,30004,reach_target,1,1,0,0,0,0.3717476208776641,2.9,2.9,58,0.012924562743004025,1,1,42,42,0,0.7241379310344828,0,0,0.0,0.0,288.40412924595364,success
no-human,no_human,5,30005,reach_object,1,1,0,0,0,0.42813282293080357,3.05,3.05,61,0.012522924938925989,1,1,37,37,0,0.6065573770491803,0,0,0.0,0.0,284.2394699118356,success
no-human,no_human,6,30006,pause_and_continue,1,1,0,0,0,0.30672301657850953,3.3,3.3,66,0.0013562363032095033,1,1,54,54,0,0.8181818181818182,0,0,0.0,0.0,282.89978786508715,success
no-human,no_human,7,30007,pause_and_continue,1,1,0,0,0,0.23422761702385067,3.8,3.8,76,0.041738416910622265,1,1,66,66,0,0.868421052631579,0,0,0.0,0.0,292.5081082333597,success
no-human,no_human,8,30008,reach_target,1,1,0,0,0,0.39338723706285134,3.4,3.4,68,0.0354427597554775,1,0,49,49,0,0.7205882352941176,0,0,0.0,0.0,253.5056037866284,success
no-human,no_human,9,30009,reverse,1,1,0,0,0,0.36426451474053656,3.5,3.5,70,0.01330790716181533,1,1,57,57,0,0.8142857142857143,0,0,0.0,0.0,288.69004079680184,success
no-human,no_human,10,30010,pause_and_continue,1,1,0,0,0,0.33229210436123313,3.05,3.05,61,0.0034072194086160012,1,1,35,35,0,0.5737704918032787,0,0,0.0,0.0,277.153207387048,success
no-human,no_human,11,30011,reach_target,1,1,0,0,0,0.3346549377358151,2.5,2.5,50,0.007480981886897208,1,1,38,38,0,0.76,0,0,0.0,0.0,283.23048793742566,success
no-human,no_human,12,30012,reverse,1,1,0,0,0,0.3970564487896321,2.9,2.9,58,0.010680135851189357,1,1,42,42,0,0.7241379310344828,0,0,0.0,0.0,279.7062083794215,success
