experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
ood,evaluation_ood,0,50000,pause_and_continue,0,0,1,1,2,-0.0002832158748472535,,5.3,106,0.02836534554260461,1,0,96,96,0,0.9056603773584906,63,40,2.0,137.9194085509958,-70.6160683973238,human_collision
ood,evaluation_ood,1,50001,pause_and_continue,1,1,0,0,0,0.1563911610594578,2.9,2.9,58,0.029082337956017914,1,1,54,54,0,0.9310344827586207,0,0,0.0,0.0,283.21382324839215,success
ood,evaluation_ood,2,50002,pause_and_continue,0,0,1,1,1,-0.0001332993673232724,,2.65,53,0.2488327591907661,1,0,34,34,0,0.6415094339622641,13,0,0.0,110.34361730236125,-75.64316896281477,human_collision
ood,evaluation_ood,3,50003,cross_workspace,1,1,0,0,0,0.10977328271585116,3.9,3.9,78,0.029417294765062826,1,1,64,64,0,0.8205128205128205,1,0,0.0,0.014525798112487309,262.37373512116557,success
ood,evaluation_ood,4,50004,cross_workspace,1,1,0,0,0,0.3965921866981318,3.6,3.6,72,0.01933370763706487,1,1,62,62,0,0.8611111111111112,0,0,0.0,0.0,274.1375323600945,success
ood,evaluation_ood,5,50005,reverse,1,1,0,0,0,0.32531317918670943,3.0,3.0,60,0.018603127669405337,1,1,43,43,0,0.7166666666666667,0,0,0.0,0.0,279.4979654930827,success
ood,evaluation_ood,6,50006,reverse,1,1,0,0,0,0.32321646820965466,2.9,2.9,58,0.022867326345680186,1,1,47,47,0,0.8103448275862069,0,0,0.0,0.0,279.7585941504497,success
ood,evaluation_ood,7,50007,cross_workspace,1,1,0,0,0,0.30400807962765064,4.1,4.1,82,0.0038231733782263613,1,1,57,57,0,0.6951219512195121,0,0,0.0,0.0,285.70616059976743,success
ood,evaluation_ood,8,50008,cross_workspace,1,1,0,0,0,0.24438237596025555,2.95,2.95,59,0.025538065974324092,1,1,48,48,0,0.8135593220338984,0,0,0.0,0.0,292.1168536402789,success
ood,evaluation_ood,9,50009,reverse,1,1,0,0,0,0.29935082684006764,3.1,3.1,62,0.010434137936624921,1,1,37,37,0,0.5967741935483871,0,0,0.0,0.0,286.114028285462,success
