experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,0,32000,cross_workspace,1,1,0,0,0,0.3189053588972456,1.95,1.95,39,0.01380808875376752,1,1,33,33,0,0.8461538461538461,0,0,0.0,0.0,278.3506972768188,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,1,32001,cross_workspace,0,0,1,1,1,-5.398443140999798e-06,,6.2,124,0.35276098606424283,1,0,118,118,0,0.9516129032258065,43,43,2.15,129.2946129986467,-100.76436268038843,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,2,32002,cross_workspace,0,0,1,1,1,-0.0002114705976790504,,6.1,122,0.3812588506973271,0,0,111,111,0,0.9098360655737705,42,42,2.1,135.83228754263308,-129.03054395240883,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,3,32003,cross_workspace,1,1,0,1,1,0.048657667582697586,3.2,3.2,64,0.017403703969225977,1,1,55,55,0,0.859375,12,7,0.35,3.2357809817001564,264.1371778655273,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,4,32004,cross_workspace,1,1,0,0,0,0.08132538458634807,2.65,2.65,53,0.019009005990501412,1,1,47,47,0,0.8867924528301887,3,0,0.0,0.3295468436573503,282.16190586462056,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,5,32005,cross_workspace,1,1,0,0,0,0.11909385425832693,2.7,2.7,54,0.02636885695036985,1,0,46,46,0,0.8518518518518519,1,1,0.05,0.00011404168127114352,246.3820678610901,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,6,32006,cross_workspace,1,1,0,0,0,0.3282229776182507,1.95,1.95,39,0.016537830167252413,1,0,28,28,0,0.717948717948718,0,0,0.0,0.0,251.47551260155348,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,7,32007,cross_workspace,0,0,1,1,1,-0.0001592513188827943,,6.15,123,0.3319641571240232,1,0,117,117,0,0.9512195121951219,43,43,2.15,133.47934030004686,-104.23500118839016,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,8,32008,cross_workspace,0,0,1,1,1,-0.00027432840156130234,,6.3,126,0.41969510688119815,0,0,115,115,0,0.9126984126984127,44,44,2.2,127.12016052757079,-121.04555717696255,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,9,32009,cross_workspace,0,0,1,1,1,-8.023751605300278e-05,,6.4,128,0.3342792171037258,0,0,113,113,0,0.8828125,43,32,1.6,120.41527236432204,-116.55901954062017,human_collision
