experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,0,32000,cross_workspace,1,1,0,0,0,0.21606299574696453,2.3,2.3,46,0.019487094839733664,1,1,38,38,0,0.8260869565217391,0,0,0.0,0.0,275.85141283415044,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,1,32001,cross_workspace,0,0,1,1,1,-0.00016623424871270442,,6.1,122,0.3103476512199623,1,0,105,105,0,0.860655737704918,43,38,1.9,136.09659954416173,-108.38025338526526,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,2,32002,cross_workspace,1,1,0,0,0,0.06799911621287623,3.1,3.1,62,0.041413230618780404,1,0,48,48,0,0.7741935483870968,7,6,0.3,0.8360548313949896,246.90842680389252,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,3,32003,cross_workspace,0,0,1,1,1,-0.0001129798320578107,,6.3,126,0.3663983816859085,0,0,108,108,0,0.8571428571428571,45,45,2.25,132.7650924020332,-131.64618206362184,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,4,32004,cross_workspace,1,1,0,0,0,0.1073211916582905,2.6,2.6,52,0.0443960802757633,1,0,35,35,0,0.6730769230769231,2,2,0.1,0.023148786019719775,246.7420412509002,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,5,32005,cross_workspace,1,1,0,1,1,0.056033271767460466,3.0,3.0,60,0.03244185864491174,1,1,45,45,0,0.75,8,7,0.35,1.8595966433812405,268.33297868010425,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,6,32006,cross_workspace,1,1,0,0,0,0.17471143617294438,2.55,2.55,51,0.010866112762356099,1,1,42,42,0,0.8235294117647058,0,0,0.0,0.0,278.0016887394967,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,7,32007,cross_workspace,0,0,1,1,1,-0.00012713129614208563,,6.05,121,0.2882702608374088,1,0,100,100,0,0.8264462809917356,42,31,1.55,140.77679138257102,-111.64636045709915,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,8,32008,cross_workspace,0,0,1,1,1,-0.00016994314558398116,,6.2,124,0.38059865492040645,0,0,116,116,0,0.9354838709677419,43,43,2.15,129.13104887700794,-147.2271107058212,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,9,32009,cross_workspace,0,0,1,1,1,-0.00020795137579154854,,6.3,126,0.35140962942297754,0,0,112,112,0,0.8888888888888888,44,44,2.2,126.19955460248327,-120.69143635852195,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,10,32010,cross_workspace,1,1,0,1,1,0.05441279998152816,3.1,3.1,62,0.036477633559598516,1,1,58,58,0,0.9354838709677419,6,2,0.1,1.7163921448851835,272.1284613029965,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,11,32011,cross_workspace,0,0,1,1,1,-3.480305118561816e-05,,4.1,82,0.08428170254634325,1,0,73,73,0,0.8902439024390244,24,12,0.6,120.56444853743268,-78.98072046941036,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,12,32012,cross_workspace,1,1,0,1,1,0.05853927620812925,3.15,3.15,63,0.02964612842932122,1,1,47,47,0,0.746031746031746,8,7,0.35,1.6969158375509927,269.50921118174523,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,13,32013,cross_workspace,0,0,1,1,1,-7.58070836875957e-06,,6.1,122,0.2496566253734232,0,0,88,88,0,0.7213114754098361,40,24,1.2,136.41331742424603,-146.30345205592442,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,14,32014,cross_workspace,1,1,0,0,0,0.1793830027493969,2.5,2.5,50,0.007095534794029021,1,1,35,35,0,0.7,0,0,0.0,0.0,282.2083571294591,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,15,32015,cross_workspace,1,1,0,0,0,0.20794518993542,2.3,2.3,46,0.013498567508834738,1,1,29,29,0,0.6304347826086957,0,0,0.0,0.0,279.0835108570741,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,16,32016,cross_workspace,1,1,0,0,0,0.17559257829537805,2.35,2.35,47,0.023757528045041065,1,1,45,45,0,0.9574468085106383,0,0,0.0,0.0,275.459886779763,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,17,32017,cross_workspace,0,0,1,1,1,-0.00021108304338560147,,6.35,127,0.31771509292030736,1,0,115,115,0,0.905511811023622,45,40,2.0,124.9971105550652,-142.1084993427891,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,18,32018,cross_workspace,0,0,1,1,1,-0.0003827233503877481,,4.25,85,0.17851601740297338,0,0,69,69,0,0.8117647058823529,13,6,0.3,111.34498124290948,-124.92046115597547,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,19,32019,cross_workspace,0,0,1,1,1,-0.00011693742094663617,,6.0,120,0.33949093510082723,1,0,109,109,0,0.9083333333333333,41,41,2.05,140.6131326538572,-115.943819199613,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,20,32020,cross_workspace,0,0,1,1,1,-4.991383984374875e-05,,6.25,125,0.2878023616592083,0,0,108,108,0,0.864,44,44,2.2,130.32678571334202,-127.14412813607528,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,21,32021,cross_workspace,1,1,0,0,0,0.20714499165734881,2.25,2.25,45,0.024313797539134388,1,1,40,40,0,0.8888888888888888,0,0,0.0,0.0,267.23794470690444,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,22,32022,cross_workspace,0,0,1,1,1,-8.830019168716563e-06,,4.0,80,0.0605291744905415,1,0,75,75,0,0.9375,18,18,0.9,116.52632602479123,-81.98406453180888,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,23,32023,cross_workspace,1,1,0,0,0,0.13597315119271844,2.45,2.45,49,0.019570823662829487,1,1,43,43,0,0.8775510204081632,0,0,0.0,0.0,264.4667582611624,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,24,32024,cross_workspace,0,0,1,1,1,-0.0001291189831995887,,5.95,119,0.21492114581639726,0,0,106,106,0,0.8907563025210085,44,44,2.2,141.94821583602868,-145.87511949078578,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,25,32025,cross_workspace,0,0,1,1,1,-1.819879526109014e-05,,4.2,84,0.16012872349854892,0,0,61,61,0,0.7261904761904762,20,0,0.0,120.1588591048098,-126.46230866050877,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,26,32026,cross_workspace,1,1,0,0,0,0.08802878076132144,2.65,2.65,53,0.012185064707993923,1,1,46,46,0,0.8679245283018868,4,2,0.1,0.23362104279196702,276.83863402523525,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,27,32027,cross_workspace,0,0,1,1,1,-0.00017045484500390062,,6.1,122,0.4375710433310496,0,0,117,117,0,0.9590163934426229,42,42,2.1,135.5322791191611,-128.50982090305595,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,28,32028,cross_workspace,1,1,0,1,1,0.03747282274544238,3.45,3.45,69,0.043140881963495706,1,0,60,60,0,0.8695652173913043,14,6,0.3,6.842384406390454,236.19786727008847,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,29,32029,cross_workspace,0,0,1,1,1,-3.804500102526365e-05,,6.2,124,0.4443906422901492,0,0,112,112,0,0.9032258064516129,43,43,2.15,131.40982707721855,-197.42252537448212,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,30,32030,cross_workspace,0,0,1,1,1,-3.1331692652181165e-05,,6.0,120,0.24540458879559998,1,0,91,91,0,0.7583333333333333,43,19,0.95,139.78590999372358,-153.87726038275105,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,31,32031,cross_workspace,0,0,1,1,1,-0.00014381693700374343,,6.15,123,0.2846927240024263,1,0,103,103,0,0.8373983739837398,43,43,2.15,133.28411197446238,-102.22435772359616,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,32,32032,cross_workspace,1,1,0,1,1,0.00308885843381123,3.45,3.45,69,0.04490018260108174,1,0,60,60,0,0.8695652173913043,14,14,0.7,8.590533200879255,231.9294329411436,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,33,32033,cross_workspace,0,0,1,1,1,-7.954736246430089e-05,,3.75,75,0.04912721642126247,1,0,63,63,0,0.84,15,15,0.75,113.69269812795375,-72.68255373178974,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,34,32034,cross_workspace,0,0,1,1,1,-9.314961302482605e-05,,3.95,79,0.017150611138093425,1,1,63,63,0,0.7974683544303798,21,21,1.05,118.92419352994837,-45.329786492969724,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,35,32035,cross_workspace,0,0,1,1,1,-0.00017309118302323567,,6.3,126,0.4239204440922805,0,0,107,107,0,0.8492063492063492,45,41,2.05,130.63126277249356,-128.5357889669576,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,36,32036,cross_workspace,1,1,0,0,0,0.0962959714241473,2.9,2.9,58,0.024341739194626403,1,1,42,42,0,0.7241379310344828,3,2,0.1,0.10812646116626748,272.46959650895514,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,37,32037,cross_workspace,0,0,1,1,1,-0.00010979132371492784,,6.0,120,0.2998437329431316,1,0,105,105,0,0.875,41,37,1.85,138.92371649134935,-171.00120087861123,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,38,32038,cross_workspace,0,0,1,1,1,-0.00010382306178134681,,4.75,95,0.2685725819769438,1,0,65,65,0,0.6842105263157895,15,0,0.0,114.37161653931194,-95.84395192678232,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,39,32039,cross_workspace,1,1,0,0,0,0.18195374424950858,2.3,2.3,46,0.007035153098005905,1,1,45,45,0,0.9782608695652174,0,0,0.0,0.0,277.9932163142153,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,40,32040,cross_workspace,0,0,1,1,1,-0.00016696979081719243,,6.25,125,0.2552155573237929,1,0,100,100,0,0.8,45,33,1.65,131.1007564678205,-97.06591059817336,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,41,32041,cross_workspace,0,0,1,1,1,-2.5349777963895592e-05,,6.1,122,0.3083128252362408,0,0,101,101,0,0.8278688524590164,42,42,2.1,135.0421099490625,-130.21382171498263,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,42,32042,cross_workspace,1,1,0,0,0,0.15997424526158732,2.25,2.25,45,0.01469077485957035,1,1,35,35,0,0.7777777777777778,0,0,0.0,0.0,277.8044970558059,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,43,32043,cross_workspace,0,0,1,1,1,-7.086552110747296e-05,,3.15,63,0.04074149591237378,1,0,47,47,0,0.746031746031746,10,3,0.15,109.59592997094472,-61.414925820678214,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,44,32044,cross_workspace,1,1,0,0,0,0.22038035673694759,2.55,2.55,51,0.028312467741349663,1,1,40,40,0,0.7843137254901961,0,0,0.0,0.0,260.8926293610413,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,45,32045,cross_workspace,0,0,1,1,1,-0.000272736144558014,,6.3,126,0.4316980037263604,0,0,114,114,0,0.9047619047619048,44,44,2.2,127.16681726119083,-123.38463730029025,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,46,32046,cross_workspace,0,0,1,1,1,-0.0001117216511636876,,6.1,122,0.34875731296169554,1,0,115,115,0,0.9426229508196722,42,38,1.9,133.8607449846203,-135.61623596173644,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,47,32047,cross_workspace,0,0,1,1,1,-6.525919593683427e-05,,6.3,126,0.2847349793443273,1,0,119,119,0,0.9444444444444444,44,42,2.1,125.72973251246377,-93.80518941085117,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,48,32048,cross_workspace,0,0,1,1,1,-6.80272601202847e-05,,6.3,126,0.3735832651213585,0,0,97,97,0,0.7698412698412699,44,44,2.2,129.3351228824962,-129.09481298488296,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,49,32049,cross_workspace,1,1,0,0,0,0.1723827991942362,2.6,2.6,52,0.029052305296237216,1,1,40,40,0,0.7692307692307693,0,0,0.0,0.0,268.3866511723603,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,50,32050,cross_workspace,1,1,0,0,0,0.1123115674523006,2.8,2.8,56,0.020205141082247143,1,1,41,41,0,0.7321428571428571,1,1,0.05,0.008209999311183809,272.60890816706836,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,51,32051,cross_workspace,1,0,1,1,1,-0.00015408620151299846,3.65,3.65,73,0.04484849139150183,1,0,60,60,0,0.821917808219178,16,7,0.35,114.33518346753216,122.63373698643802,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,52,32052,cross_workspace,1,1,0,1,1,0.04064913596170301,3.2,3.2,64,0.04409670391032411,1,1,58,58,0,0.90625,6,1,0.05,2.735974017735397,273.30755730264417,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,53,32053,cross_workspace,0,0,1,1,1,-0.00017621848386126238,,6.25,125,0.29414532536945004,1,0,116,116,0,0.928,44,43,2.15,129.24235601115834,-123.53364099211554,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,54,32054,cross_workspace,0,0,1,1,1,-0.00013994390891702846,,6.45,129,0.30894973769829803,0,0,106,106,0,0.8217054263565892,46,42,2.1,123.77413851901991,-125.08802053728918,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,55,32055,cross_workspace,0,0,1,1,1,-0.00020283870125930442,,3.75,75,0.06784124155912741,1,0,53,53,0,0.7066666666666667,20,15,0.75,115.77807573805791,-62.9313688537134,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,56,32056,cross_workspace,1,1,0,0,0,0.14553638446517944,2.45,2.45,49,0.0245335230419806,1,1,32,32,0,0.6530612244897959,0,0,0.0,0.0,281.5155672792488,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,57,32057,cross_workspace,0,0,1,1,1,-4.677265432467825e-05,,6.15,123,0.18196981684278918,1,0,110,110,0,0.8943089430894309,49,38,1.9,153.15544708614135,-128.25894994151577,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,58,32058,cross_workspace,1,1,0,0,0,0.0963697257506227,2.85,2.85,57,0.012465322717649486,1,1,47,47,0,0.8245614035087719,4,4,0.2,0.1309006245357138,283.0799355800144,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,59,32059,cross_workspace,1,1,0,0,0,0.13658217830067254,2.7,2.7,54,0.04014614409790125,1,0,36,36,0,0.6666666666666666,0,0,0.0,0.0,256.30389062746093,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,60,32060,cross_workspace,0,0,1,1,1,-0.00010578528872812187,,6.2,124,0.35321473951858284,1,0,109,109,0,0.8790322580645161,43,43,2.15,132.4455604542636,-100.48639913856174,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,61,32061,cross_workspace,0,0,1,1,3,-0.00015879593129654312,,6.4,128,0.41828560725605746,1,0,107,107,0,0.8359375,46,41,2.05,130.24801097418413,-124.37185026154366,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,62,32062,cross_workspace,0,0,1,1,1,-5.292035434756315e-06,,6.15,123,0.402783170643732,1,0,106,106,0,0.8617886178861789,42,40,2.0,133.28678534119504,-103.05339755877371,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,63,32063,cross_workspace,1,1,0,0,0,0.1507239448522026,2.5,2.5,50,0.0299719868348803,1,1,38,38,0,0.76,0,0,0.0,0.0,266.5161992300095,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,64,32064,cross_workspace,1,1,0,0,0,0.11690794966738045,2.9,2.9,58,0.026768648751471055,1,1,50,50,0,0.8620689655172413,1,1,0.05,0.001327885452701753,270.31706577813344,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,65,32065,cross_workspace,0,0,1,1,1,-6.290018969329347e-05,,6.05,121,0.34984270937248846,1,0,113,113,0,0.9338842975206612,40,29,1.45,133.05723027403437,-125.7810687208171,human_collision
