experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed,constrained_fixed_height_randomized,0,31000,cross_workspace,1,1,0,0,0,0.1884246943069767,2.85,2.85,57,0.02630661819625739,1,1,46,46,0,0.8070175438596491,0,0,0.0,0.0,289.7132116513732,success
fixed,constrained_fixed_height_randomized,1,31001,cross_workspace,1,1,0,0,0,0.2147011397432065,2.5,2.5,50,0.018595540129954215,1,1,41,41,0,0.82,0,0,0.0,0.0,283.29102368498195,success
fixed,constrained_fixed_height_randomized,2,31002,cross_workspace,1,1,0,0,0,0.197118940370926,2.8,2.8,56,0.012986647124635929,1,1,52,52,0,0.9285714285714286,0,0,0.0,0.0,286.88352033534335,success
fixed,constrained_fixed_height_randomized,3,31003,cross_workspace,0,0,1,1,1,-9.240547039102154e-05,,6.6,132,0.23225416436815008,1,0,125,125,0,0.946969696969697,43,22,1.1,143.07809037304963,-128.89092942127536,human_collision
fixed,constrained_fixed_height_randomized,4,31004,cross_workspace,1,1,0,0,0,0.25142674516416263,2.3,2.3,46,0.02868481424775255,1,1,37,37,0,0.8043478260869565,0,0,0.0,0.0,282.47905556209633,success
fixed,constrained_fixed_height_randomized,5,31005,cross_workspace,1,1,0,0,0,0.15860617161746496,2.75,2.75,55,0.018295143100916244,1,1,40,40,0,0.7272727272727273,0,0,0.0,0.0,282.97278267754996,success
fixed,constrained_fixed_height_randomized,6,31006,cross_workspace,1,1,0,0,0,0.1322884290529861,3.0,3.0,60,0.02867972318949293,1,1,54,54,0,0.9,0,0,0.0,0.0,289.0959263243476,success
fixed,constrained_fixed_height_randomized,7,31007,cross_workspace,1,1,0,0,0,0.18595461264214422,2.7,2.7,54,0.02711008535411438,1,1,43,43,0,0.7962962962962963,0,0,0.0,0.0,282.95480518630336,success
fixed,constrained_fixed_height_randomized,8,31008,cross_workspace,1,1,0,0,0,0.08616918424341971,3.2,3.2,64,0.014321191169872714,1,1,46,46,0,0.71875,7,1,0.05,0.467143714182793,287.0417104057574,success
fixed,constrained_fixed_height_randomized,9,31009,cross_workspace,1,1,0,0,0,0.2123873886625828,2.6,2.6,52,0.01890351663383469,1,1,45,45,0,0.8653846153846154,0,0,0.0,0.0,286.7828117550164,success
fixed,constrained_fixed_height_randomized,10,31010,cross_workspace,1,1,0,0,0,0.1806795937854263,2.7,2.7,54,0.021146620001278964,1,1,38,38,0,0.7037037037037037,0,0,0.0,0.0,284.6344702053427,success
fixed,constrained_fixed_height_randomized,11,31011,cross_workspace,1,1,0,0,0,0.22995992141162827,2.25,2.25,45,0.015021178474204581,1,1,30,30,0,0.6666666666666666,0,0,0.0,0.0,280.5882358447114,success
fixed,constrained_fixed_height_randomized,12,31012,cross_workspace,1,1,0,0,0,0.1273719711558729,3.1,3.1,62,0.018314392554246054,1,1,49,49,0,0.7903225806451613,0,0,0.0,0.0,284.47592089901764,success
fixed,constrained_fixed_height_randomized,13,31013,cross_workspace,1,1,0,0,0,0.14206390816101208,3.15,3.15,63,0.005168803117117888,1,1,55,55,0,0.873015873015873,0,0,0.0,0.0,289.08778230584176,success
fixed,constrained_fixed_height_randomized,14,31014,cross_workspace,1,1,0,0,0,0.15087277391511733,2.8,2.8,56,0.027266111274977644,1,1,54,54,0,0.9642857142857143,0,0,0.0,0.0,283.19045879114196,success
fixed,constrained_fixed_height_randomized,15,31015,cross_workspace,1,1,0,0,0,0.1035482759758062,3.3,3.3,66,0.011087384004761579,1,1,62,62,0,0.9393939393939394,3,1,0.05,0.04547665849656207,292.24009232886226,success
fixed,constrained_fixed_height_randomized,16,31016,cross_workspace,1,1,0,0,0,0.17168487158683243,2.8,2.8,56,0.014925569365094251,1,1,46,46,0,0.8214285714285714,0,0,0.0,0.0,285.27029452969566,success
fixed,constrained_fixed_height_randomized,17,31017,cross_workspace,1,1,0,0,0,0.13825241342705977,2.9,2.9,58,0.021710614515031486,1,1,53,53,0,0.9137931034482759,0,0,0.0,0.0,287.81457763368815,success
