experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.1954817039134436,2.85,2.85,57,0.023752391580474277,1,1,46,46,0,0.8070175438596491,0,0,0.0,0.0,287.3521960246471,success
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.2152785132777511,2.5,2.5,50,0.01892670180247793,1,1,41,41,0,0.82,0,0,0.0,0.0,283.221135136693,success
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.1974115101781023,2.75,2.75,55,0.018648326651193956,1,1,48,48,0,0.8727272727272727,0,0,0.0,0.0,287.32025103701466,success
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,0,0,1,1,1,-0.00020260558444637478,,7.2,144,0.3829847518816462,1,0,131,131,0,0.9097222222222222,48,48,2.4,117.86892229457735,-97.2152570616034,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.24726844254337912,2.3,2.3,46,0.028270408686489105,1,1,36,36,0,0.782608695652174,0,0,0.0,0.0,282.3074211299909,success
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,1,1,0,0,0,0.1835950923436977,2.55,2.55,51,0.021736638844428717,1,1,39,39,0,0.7647058823529411,0,0,0.0,0.0,281.95047969808803,success
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,1,1,0,0,0,0.12479579095969436,3.05,3.05,61,0.033926886132717514,1,1,53,53,0,0.8688524590163934,0,0,0.0,0.0,287.46572978679603,success
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.15415678609097117,2.95,2.95,59,0.020544858983430572,1,1,47,47,0,0.7966101694915254,0,0,0.0,0.0,284.2416824559127,success
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,1,1,0,0,0,0.12121578066377278,3.0,3.0,60,0.007540073141334208,1,1,46,46,0,0.7666666666666667,0,0,0.0,0.0,287.6140257016956,success
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.19617698761932292,2.65,2.65,53,0.016557406159849263,1,1,45,45,0,0.8490566037735849,0,0,0.0,0.0,287.5115539481792,success
fixed-exact-h036-v1,fixed_exact_h036_v1,10,31010,cross_workspace,1,1,0,0,0,0.174460833520661,2.7,2.7,54,0.023324311981369757,1,1,38,38,0,0.7037037037037037,0,0,0.0,0.0,285.1245364677533,success
fixed-exact-h036-v1,fixed_exact_h036_v1,11,31011,cross_workspace,1,1,0,0,0,0.247496463650047,2.25,2.25,45,0.014226728951267656,1,1,26,26,0,0.5777777777777777,0,0,0.0,0.0,278.8652443027971,success
fixed-exact-h036-v1,fixed_exact_h036_v1,12,31012,cross_workspace,1,1,0,0,0,0.1424695527808062,3.0,3.0,60,0.014273306132362969,1,1,47,47,0,0.7833333333333333,0,0,0.0,0.0,286.0224033453358,success
fixed-exact-h036-v1,fixed_exact_h036_v1,13,31013,cross_workspace,1,1,0,0,0,0.17996210866361995,2.8,2.8,56,0.01776282902054229,1,1,50,50,0,0.8928571428571429,0,0,0.0,0.0,289.3511423336187,success
fixed-exact-h036-v1,fixed_exact_h036_v1,14,31014,cross_workspace,1,1,0,0,0,0.1739723462465736,2.65,2.65,53,0.011237060121161668,1,1,51,51,0,0.9622641509433962,0,0,0.0,0.0,281.7069283534233,success
fixed-exact-h036-v1,fixed_exact_h036_v1,15,31015,cross_workspace,1,1,0,0,0,0.1262084309344057,3.1,3.1,62,0.01574832487979671,1,1,56,56,0,0.9032258064516129,0,0,0.0,0.0,293.2315311291351,success
fixed-exact-h036-v1,fixed_exact_h036_v1,16,31016,cross_workspace,1,1,0,0,0,0.21587545305567654,2.55,2.55,51,0.03367519382118845,1,1,42,42,0,0.8235294117647058,0,0,0.0,0.0,282.77871427350067,success
fixed-exact-h036-v1,fixed_exact_h036_v1,17,31017,cross_workspace,1,1,0,0,0,0.1406113367034532,2.9,2.9,58,0.02238138389815999,1,1,53,53,0,0.9137931034482759,0,0,0.0,0.0,287.72303594793516,success
fixed-exact-h036-v1,fixed_exact_h036_v1,18,31018,cross_workspace,1,1,0,0,0,0.20960805846781072,2.5,2.5,50,0.020770424472501672,1,1,37,37,0,0.74,0,0,0.0,0.0,281.31758785960017,success
fixed-exact-h036-v1,fixed_exact_h036_v1,19,31019,cross_workspace,1,1,0,0,0,0.1617344743442719,2.95,2.95,59,0.02445586465393825,1,1,57,57,0,0.9661016949152542,0,0,0.0,0.0,289.7364625810685,success
fixed-exact-h036-v1,fixed_exact_h036_v1,20,31020,cross_workspace,1,1,0,0,0,0.11311659704096914,3.0,3.0,60,0.01633547698195651,1,1,53,53,0,0.8833333333333333,1,1,0.05,0.006580727263388151,289.84806405877447,success
fixed-exact-h036-v1,fixed_exact_h036_v1,21,31021,cross_workspace,1,1,0,0,0,0.16922995493205245,2.9,2.9,58,0.026410201967636753,1,1,46,46,0,0.7931034482758621,0,0,0.0,0.0,282.4973105895991,success
fixed-exact-h036-v1,fixed_exact_h036_v1,22,31022,cross_workspace,1,1,0,0,0,0.1502578506066095,3.0,3.0,60,0.03567362352133551,1,1,47,47,0,0.7833333333333333,0,0,0.0,0.0,280.9253348138503,success
fixed-exact-h036-v1,fixed_exact_h036_v1,23,31023,cross_workspace,1,1,0,0,0,0.2345915474867258,2.6,2.6,52,0.02258780410276158,1,1,49,49,0,0.9423076923076923,0,0,0.0,0.0,285.1430794686935,success
fixed-exact-h036-v1,fixed_exact_h036_v1,24,31024,cross_workspace,1,1,0,0,0,0.07219631744156028,3.25,3.25,65,0.013190199504284964,1,1,56,56,0,0.8615384615384616,5,2,0.1,0.6268018751191717,292.61000176515273,success
fixed-exact-h036-v1,fixed_exact_h036_v1,25,31025,cross_workspace,1,1,0,0,0,0.23541626077333208,2.6,2.6,52,0.022496893725023365,1,1,51,51,0,0.9807692307692307,0,0,0.0,0.0,279.74633883990765,success
fixed-exact-h036-v1,fixed_exact_h036_v1,26,31026,cross_workspace,1,1,0,0,0,0.13317649715256522,2.95,2.95,59,0.013507947993451236,1,1,57,57,0,0.9661016949152542,0,0,0.0,0.0,288.3062578377398,success
fixed-exact-h036-v1,fixed_exact_h036_v1,27,31027,cross_workspace,1,1,0,0,0,0.11352476582227175,2.9,2.9,58,0.014095092771393754,1,1,47,47,0,0.8103448275862069,2,2,0.1,0.005898874621819816,283.64404492661606,success
fixed-exact-h036-v1,fixed_exact_h036_v1,28,31028,cross_workspace,1,1,0,0,0,0.158858668955958,3.0,3.0,60,0.0156266851914064,1,1,46,46,0,0.7666666666666667,0,0,0.0,0.0,282.31093111946905,success
