experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
no-human,no_human,0,30000,reach_object,0,0,0,0,0,0.43290645271553685,,10.0,200,0.21222827024685337,0,0,200,200,0,1.0,0,0,0.0,0.0,-45.91766792022606,timeout
no-human,no_human,1,30001,reverse,0,0,0,0,0,0.45353760785826597,,10.0,200,0.30459762045983296,0,0,194,194,0,0.97,0,0,0.0,0.0,-39.94655055271997,timeout
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.321334982958733,2.95,2.95,59,0.018740578727803714,1,1,44,44,0,0.7457627118644068,0,0,0.0,0.0,281.888408975141,success
no-human,no_human,3,30003,cross_workspace,0,0,0,0,0,0.3288392452616897,,10.0,200,0.33749982579126775,0,0,198,198,0,0.99,0,0,0.0,0.0,-40.184662339622655,timeout
no-human,no_human,4,30004,reach_target,0,0,0,0,0,0.3986795093888212,,10.0,200,0.28805686102744227,0,0,199,199,0,0.995,0,0,0.0,0.0,-39.72995743659055,timeout
no-human,no_human,5,30005,reach_object,0,0,0,0,0,0.45523631694217037,,10.0,200,0.2511557887406888,0,0,199,199,0,0.995,0,0,0.0,0.0,-48.92688786032394,timeout
no-human,no_human,6,30006,pause_and_continue,0,0,0,0,0,0.39952124125366517,,10.0,200,0.2916358423356325,0,0,197,197,0,0.985,0,0,0.0,0.0,-48.327996192102134,timeout
no-human,no_human,7,30007,pause_and_continue,1,1,0,0,0,0.25737217773878196,3.3,3.3,66,0.004981188451852931,1,1,54,54,0,0.8181818181818182,0,0,0.0,0.0,290.13203820058783,success
no-human,no_human,8,30008,reach_target,0,0,0,0,0,0.4961331181787928,,10.0,200,0.2387276238368212,0,0,174,174,0,0.87,0,0,0.0,0.0,-3.355652032597063,timeout
no-human,no_human,9,30009,reverse,1,1,0,0,0,0.37778930237752717,3.3,3.3,66,0.016103069476692527,1,1,62,62,0,0.9393939393939394,0,0,0.0,0.0,286.1055587188006,success
no-human,no_human,10,30010,pause_and_continue,0,0,0,0,0,0.37082662620054996,,10.0,200,0.29614628378422836,0,0,199,199,0,0.995,0,0,0.0,0.0,-42.71788345885871,timeout
no-human,no_human,11,30011,reach_target,0,0,0,0,0,0.4410963413214786,,10.0,200,0.2513696974973083,0,0,198,198,0,0.99,0,0,0.0,0.0,-36.128383681721324,timeout
no-human,no_human,12,30012,reverse,1,1,0,0,0,0.40976452597470314,5.4,5.4,108,0.011910447624195212,1,1,80,80,0,0.7407407407407407,0,0,0.0,0.0,276.3171016578701,success
no-human,no_human,13,30013,reverse,1,1,0,0,0,0.37469969030140227,2.7,2.7,54,0.005198416556821421,1,1,39,39,0,0.7222222222222222,0,0,0.0,0.0,283.3955645374322,success
no-human,no_human,14,30014,pause_and_continue,1,1,0,0,0,0.34126727394445777,3.35,3.35,67,0.031650074364903844,1,1,53,53,0,0.7910447761194029,0,0,0.0,0.0,285.862357550492,success
no-human,no_human,15,30015,pause_and_continue,1,1,0,0,0,0.26039588236255895,3.3,3.3,66,0.029509903030311188,1,1,47,47,0,0.7121212121212122,0,0,0.0,0.0,285.0618810747163,success
no-human,no_human,16,30016,cross_workspace,1,1,0,0,0,0.30159631643336515,2.6,2.6,52,0.008815343690288616,1,1,41,41,0,0.7884615384615384,0,0,0.0,0.0,283.392818777726,success
no-human,no_human,17,30017,reverse,0,0,0,0,0,0.40459194411407023,,10.0,200,0.3956424525759004,0,0,197,197,0,0.985,0,0,0.0,0.0,-48.96402399602608,timeout
no-human,no_human,18,30018,reverse,0,0,0,0,0,0.4638398236163121,,10.0,200,0.3601889586162205,0,0,200,200,0,1.0,0,0,0.0,0.0,-41.63230745940413,timeout
no-human,no_human,19,30019,reverse,1,1,0,0,0,0.2791880154669145,4.65,4.65,93,0.03462833684709123,1,1,69,69,0,0.7419354838709677,0,0,0.0,0.0,276.7192648761021,success
no-human,no_human,20,30020,reach_target,1,1,0,0,0,0.42060096034527883,3.0,3.0,60,0.017408078308701135,1,1,41,41,0,0.6833333333333333,0,0,0.0,0.0,285.21516442026916,success
no-human,no_human,21,30021,cross_workspace,1,1,0,0,0,0.40333638164118735,3.2,3.2,64,0.023280114004767215,1,1,47,47,0,0.734375,0,0,0.0,0.0,280.2010632890796,success
no-human,no_human,22,30022,reach_target,0,0,0,0,0,0.45197325210592915,,10.0,200,0.19581842444195216,0,0,197,197,0,0.985,0,0,0.0,0.0,-45.04376454081009,timeout
no-human,no_human,23,30023,reverse,0,0,0,0,0,0.4657687656735849,,10.0,200,0.4030054752064413,0,0,197,197,0,0.985,0,0,0.0,0.0,-45.32071096727349,timeout
no-human,no_human,24,30024,reach_target,1,1,0,0,0,0.3409644912117076,3.2,3.2,64,0.00643848655773647,1,1,40,40,0,0.625,0,0,0.0,0.0,282.8431607131545,success
no-human,no_human,25,30025,reverse,1,1,0,0,0,0.3695287735209315,2.7,2.7,54,0.007819867974114316,1,1,46,46,0,0.8518518518518519,0,0,0.0,0.0,268.46199628361774,success
no-human,no_human,26,30026,reverse,1,1,0,0,0,0.239903472567688,3.3,3.3,66,0.023167708461730642,1,1,48,48,0,0.7272727272727273,0,0,0.0,0.0,291.7565316362242,success
no-human,no_human,27,30027,cross_workspace,1,1,0,0,0,0.35461541994250645,3.35,3.35,67,0.01852229226523644,1,1,60,60,0,0.8955223880597015,0,0,0.0,0.0,286.1138686232523,success
no-human,no_human,28,30028,reach_object,0,0,0,0,0,0.3928577163489922,,10.0,200,0.1604091811125286,0,0,199,199,0,0.995,0,0,0.0,0.0,-43.5447136098163,timeout
no-human,no_human,29,30029,pause_and_continue,0,0,0,0,0,0.4528217953279341,,10.0,200,0.25931952225738597,0,0,196,196,0,0.98,0,0,0.0,0.0,-51.97504652066415,timeout
no-human,no_human,30,30030,cross_workspace,0,0,0,0,0,0.44597048629448915,,10.0,200,0.3755588903856403,0,0,200,200,0,1.0,0,0,0.0,0.0,-38.84771347220264,timeout
no-human,no_human,31,30031,cross_workspace,0,0,0,0,0,0.47472548249545493,,10.0,200,0.27977112792109415,0,0,193,193,0,0.965,0,0,0.0,0.0,-52.82733433555302,timeout
no-human,no_human,32,30032,reverse,0,0,0,0,0,0.42833236466414626,,10.0,200,0.3392903713991794,0,0,197,197,0,0.985,0,0,0.0,0.0,-51.718222768236714,timeout
no-human,no_human,33,30033,pause_and_continue,0,0,0,0,0,0.4056745937018186,,10.0,200,0.33842063621248397,0,0,199,199,0,0.995,0,0,0.0,0.0,-44.584126293401646,timeout
no-human,no_human,34,30034,reach_target,1,1,0,0,0,0.36433723880630264,2.75,2.75,55,0.020870919328414228,1,1,38,38,0,0.6909090909090909,0,0,0.0,0.0,281.94172276772576,success
no-human,no_human,35,30035,reach_object,0,0,0,0,0,0.46413077337613134,,10.0,200,0.1932777905941676,0,0,200,200,0,1.0,0,0,0.0,0.0,-48.911066692868175,timeout
no-human,no_human,36,30036,reverse,1,1,0,0,0,0.3030208524050149,3.5,3.5,70,0.03181818434097546,1,1,49,49,0,0.7,0,0,0.0,0.0,288.91292341943273,success
no-human,no_human,37,30037,cross_workspace,0,0,0,0,0,0.47381422620991925,,10.0,200,0.3197038261910659,0,0,196,196,0,0.98,0,0,0.0,0.0,-36.12296600905195,timeout
no-human,no_human,38,30038,reverse,0,0,0,0,0,0.47615309192299826,,10.0,200,0.1881457353805725,0,0,189,189,0,0.945,0,0,0.0,0.0,0.37415795831211446,timeout
no-human,no_human,39,30039,reverse,1,1,0,0,0,0.38680771523040364,3.1,3.1,62,0.0060135182852019105,1,1,45,45,0,0.7258064516129032,0,0,0.0,0.0,286.4943402234719,success
no-human,no_human,40,30040,reach_target,0,0,0,0,0,0.44008307903345945,,10.0,200,0.2679625185266688,0,0,198,198,0,0.99,0,0,0.0,0.0,-48.21902356907278,timeout
no-human,no_human,41,30041,reverse,0,0,0,0,0,0.43880097184007966,,10.0,200,0.28790864934330473,0,0,200,200,0,1.0,0,0,0.0,0.0,-47.254211267386715,timeout
no-human,no_human,42,30042,reach_object,1,1,0,0,0,0.44841443093826316,3.15,3.15,63,0.025211213135029095,1,1,56,56,0,0.8888888888888888,0,0,0.0,0.0,281.08000738007803,success
no-human,no_human,43,30043,reach_object,0,0,0,0,0,0.4513608169567376,,10.0,200,0.32143107892480655,0,0,200,200,0,1.0,0,0,0.0,0.0,-49.359794663696334,timeout
no-human,no_human,44,30044,reach_target,0,0,0,0,0,0.4505121421105466,,10.0,200,0.2087604527464304,0,0,197,197,0,0.985,0,0,0.0,0.0,-44.33541961703736,timeout
no-human,no_human,45,30045,reach_object,0,0,0,0,0,0.45342568441232706,,10.0,200,0.4160929684612323,0,0,199,199,0,0.995,0,0,0.0,0.0,-42.137211754834816,timeout
no-human,no_human,46,30046,pause_and_continue,1,1,0,0,0,0.42516787500222797,2.9,2.9,58,0.016958251790430767,1,1,49,49,0,0.8448275862068966,0,0,0.0,0.0,283.32563312181276,success
no-human,no_human,47,30047,reverse,0,0,0,0,0,0.3675633344768303,,10.0,200,0.04323392732655626,1,1,195,195,0,0.975,0,0,0.0,0.0,62.21348533137632,timeout
no-human,no_human,48,30048,reverse,0,0,0,0,0,0.4138320391676593,,10.0,200,0.31941730529838175,0,0,198,198,0,0.99,0,0,0.0,0.0,-37.66101085838409,timeout
no-human,no_human,49,30049,reverse,1,1,0,0,0,0.3571100018631363,3.3,3.3,66,0.012698794054413603,1,1,45,45,0,0.6818181818181818,0,0,0.0,0.0,288.21954261855615,success
no-human,no_human,50,30050,reach_target,0,0,0,0,0,0.453119903090793,,10.0,200,0.19210579068032071,0,0,197,197,0,0.985,0,0,0.0,0.0,-49.68310210623007,timeout
no-human,no_human,51,30051,reverse,0,0,0,0,0,0.45745090111746445,,10.0,200,0.206042457667204,0,0,200,200,0,1.0,0,0,0.0,0.0,-47.015462000855315,timeout
no-human,no_human,52,30052,reach_object,1,1,0,0,0,0.3615525744783499,3.45,3.45,69,0.010826947542261758,1,1,54,54,0,0.782608695652174,0,0,0.0,0.0,280.62434557547556,success
no-human,no_human,53,30053,reach_target,1,1,0,0,0,0.4214109143411064,3.25,3.25,65,0.017322095242031134,1,1,55,55,0,0.8461538461538461,0,0,0.0,0.0,287.43173151118776,success
no-human,no_human,54,30054,cross_workspace,1,1,0,0,0,0.421941305067418,3.3,3.3,66,0.03589692979707977,1,1,54,54,0,0.8181818181818182,0,0,0.0,0.0,265.12854217028257,success
no-human,no_human,55,30055,reverse,1,1,0,0,0,0.4181431327655528,2.85,2.85,57,0.01046627537314623,1,1,44,44,0,0.7719298245614035,0,0,0.0,0.0,285.37499812568626,success
no-human,no_human,56,30056,reverse,1,1,0,0,0,0.30723241186480865,4.75,4.75,95,0.004652549321216966,1,1,76,76,0,0.8,0,0,0.0,0.0,280.2478706110245,success
no-human,no_human,57,30057,reach_target,1,1,0,0,0,0.4533811970585905,2.85,2.85,57,0.02558448218262662,1,1,54,54,0,0.9473684210526315,0,0,0.0,0.0,286.62650425854343,success
no-human,no_human,58,30058,cross_workspace,1,1,0,0,0,0.28807302873328633,2.8,2.8,56,0.017008577330089248,1,1,41,41,0,0.7321428571428571,0,0,0.0,0.0,286.0543065558326,success
no-human,no_human,59,30059,pause_and_continue,1,1,0,0,0,0.40450265742284464,3.25,3.25,65,0.03262796663034521,1,1,61,61,0,0.9384615384615385,0,0,0.0,0.0,290.42289847438,success
no-human,no_human,60,30060,reach_object,1,1,0,0,0,0.4224348327516495,2.9,2.9,58,0.008410770837193994,1,1,44,44,0,0.7586206896551724,0,0,0.0,0.0,282.1512079728535,success
no-human,no_human,61,30061,reverse,0,0,0,0,0,0.4335331608376208,,10.0,200,0.3812099649497995,0,0,199,199,0,0.995,0,0,0.0,0.0,-47.58729314326151,timeout
no-human,no_human,62,30062,reach_target,0,0,0,0,0,0.48436521596553517,,10.0,200,0.4860328811589034,1,0,189,189,0,0.945,0,0,0.0,0.0,23.593794843241355,timeout
no-human,no_human,63,30063,reverse,1,1,0,0,0,0.3752864616203716,2.95,2.95,59,0.009809239049231129,1,1,50,50,0,0.847457627118644,0,0,0.0,0.0,287.31270382404387,success
no-human,no_human,64,30064,reach_object,0,0,0,0,0,0.4308314445522469,,10.0,200,0.21145280039894454,0,0,199,199,0,0.995,0,0,0.0,0.0,-47.40212285807315,timeout
no-human,no_human,65,30065,pause_and_continue,1,1,0,0,0,0.26515212650420517,3.4,3.4,68,0.029317791296203585,1,1,49,49,0,0.7205882352941176,0,0,0.0,0.0,289.82472779523425,success
no-human,no_human,66,30066,pause_and_continue,1,1,0,0,0,0.42761957220030367,3.3,3.3,66,0.019997003210912665,1,1,61,61,0,0.9242424242424242,0,0,0.0,0.0,286.40992719326204,success
no-human,no_human,67,30067,reach_object,1,1,0,0,0,0.24978413123890741,3.4,3.4,68,0.01739704754195019,1,1,48,48,0,0.7058823529411765,0,0,0.0,0.0,291.1834973079534,success
no-human,no_human,68,30068,pause_and_continue,0,0,0,0,0,0.503366522034673,,10.0,200,0.3143390589919974,0,0,196,196,0,0.98,0,0,0.0,0.0,-47.69123253517169,timeout
no-human,no_human,69,30069,cross_workspace,1,1,0,0,0,0.2930263198000922,3.0,3.0,60,0.010015942631688026,1,1,38,38,0,0.6333333333333333,0,0,0.0,0.0,283.5899966671644,success
no-human,no_human,70,30070,reverse,1,1,0,0,0,0.4193974715492099,2.95,2.95,59,0.012865888191255392,1,1,49,49,0,0.8305084745762712,0,0,0.0,0.0,286.61414403914694,success
no-human,no_human,71,30071,reverse,1,1,0,0,0,0.3940003799426669,3.3,3.3,66,0.032476279639849066,1,1,56,56,0,0.8484848484848485,0,0,0.0,0.0,284.9122476605551,success
