experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
ood,evaluation_ood,0,50000,pause_and_continue,0,0,1,1,1,-0.0004201665991432485,,1.75,35,0.4554144656559064,0,0,33,33,0,0.9428571428571428,5,0,0.0,105.32288886054141,-106.74480581891808,human_collision
ood,evaluation_ood,1,50001,pause_and_continue,0,0,0,1,1,0.05775995378980296,,2.85,57,0.33209342381109935,0,0,54,54,0,0.9473684210526315,10,5,0.25,3.2571199816559204,-65.28113249632321,unsafe
ood,evaluation_ood,2,50002,pause_and_continue,0,0,0,1,1,0.008169701463624411,,1.95,39,0.3591066750816179,0,0,39,39,0,1.0,9,6,0.3,7.815952042548343,-59.007617849919924,unsafe
ood,evaluation_ood,3,50003,cross_workspace,0,0,1,1,1,-0.00012614378963567152,,3.15,63,0.44339090959431837,0,0,63,63,0,1.0,4,0,0.0,104.10819308998657,-111.46217576936783,human_collision
ood,evaluation_ood,4,50004,cross_workspace,0,0,0,1,1,0.00927032867539513,,6.0,120,0.21068362685538142,0,0,120,120,0,1.0,9,3,0.15,6.093945342524483,-77.4939333468734,unsafe
ood,evaluation_ood,5,50005,reverse,0,0,1,1,1,-0.0009684851880296871,,6.6,132,0.2052596051787324,0,0,127,127,0,0.9621212121212122,21,13,0.65,131.5814574388116,-154.68858532055197,human_collision
ood,evaluation_ood,6,50006,reverse,0,0,1,1,1,-0.00012802309687134916,,3.35,67,0.2988529331568701,0,0,67,67,0,1.0,10,3,0.15,107.64193834831201,-119.81951529756056,human_collision
ood,evaluation_ood,7,50007,cross_workspace,0,0,1,1,1,-0.000215043337071813,,6.0,120,0.34484482404975286,0,0,118,118,0,0.9833333333333333,5,0,0.0,105.70900564677143,-125.33052560042032,human_collision
ood,evaluation_ood,8,50008,cross_workspace,0,0,1,1,1,-0.0005666266567560044,,3.1,62,0.37687771211944593,0,0,62,62,0,1.0,8,1,0.05,106.3666464099577,-162.33447318712334,human_collision
ood,evaluation_ood,9,50009,reverse,0,0,1,1,1,-9.122673415712379e-05,,5.6,112,0.3496390310125607,0,0,112,112,0,1.0,7,3,0.15,104.69826986980217,-125.71438761653845,human_collision
ood,evaluation_ood,10,50010,reverse,0,0,0,1,1,0.03914005382473304,,4.9,98,0.18135765367592463,0,0,97,97,0,0.9897959183673469,7,3,0.15,3.9236533016535273,-74.60951988857644,unsafe
ood,evaluation_ood,11,50011,reverse,0,0,1,1,1,-0.0005090170956740733,,2.4,48,0.19550799294096022,0,0,48,48,0,1.0,9,3,0.15,105.78725107517471,-164.28554555893783,human_collision
ood,evaluation_ood,12,50012,cross_workspace,0,0,1,1,1,-0.00033812880924282557,,4.55,91,0.32117598820432963,0,0,91,91,0,1.0,10,4,0.2,106.8951131314125,-119.31890794766863,human_collision
ood,evaluation_ood,13,50013,cross_workspace,0,0,1,1,1,-0.0009407509098779271,,4.2,84,0.41201456857111546,0,0,84,84,0,1.0,8,2,0.1,106.28190146589051,-120.96244155368186,human_collision
ood,evaluation_ood,14,50014,cross_workspace,0,0,1,1,1,-0.00031963804452712907,,3.9,78,0.32001580816006164,0,0,77,77,0,0.9871794871794872,17,5,0.25,117.60324893217401,-185.9772455648998,human_collision
ood,evaluation_ood,15,50015,reverse,0,0,0,1,1,-0.0056977399081288085,,10.0,200,0.29816483231519236,0,0,197,197,0,0.985,73,65,3.25,118.83235473346053,-156.0579332903594,timeout
ood,evaluation_ood,16,50016,reverse,0,0,1,1,1,-0.0001959417755274112,,5.35,107,0.44586420838868956,0,0,105,105,0,0.9813084112149533,8,3,0.15,107.75017235721248,-124.19971178918664,human_collision
