experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
randomized-id,evaluation_id,0,40000,reach_object,1,1,0,1,1,0.000860131298505977,2.75,2.75,55,0.024881586599893913,1,1,39,39,0,0.7090909090909091,10,2,0.1,8.20478300111596,261.7229081600674,success
randomized-id,evaluation_id,1,40001,reverse,0,0,1,1,1,-1.81227805297543e-05,,4.25,85,0.3283673723016383,0,0,84,84,0,0.9882352941176471,14,6,0.3,113.5185599075587,-124.05764697976238,human_collision
randomized-id,evaluation_id,2,40002,reverse,0,0,0,0,0,0.12841386792494103,,8.65,173,0.6109768265829167,1,0,170,170,0,0.9826589595375722,0,0,0.0,0.0,-162.28734162574645,object_lost
randomized-id,evaluation_id,3,40003,cross_workspace,1,1,0,0,0,0.10152930126275714,3.4,3.4,68,0.007139022648657014,1,1,54,54,0,0.7941176470588235,3,3,0.15,0.06010086546927086,290.37770878512913,success
randomized-id,evaluation_id,4,40004,reverse,1,1,0,0,0,0.2948871576833737,2.35,2.35,47,0.040049175227131896,1,1,40,40,0,0.851063829787234,0,0,0.0,0.0,277.6615729816662,success
randomized-id,evaluation_id,5,40005,reverse,1,1,0,0,0,0.2132832069408687,3.65,3.65,73,0.023884457136290217,1,1,71,71,0,0.9726027397260274,0,0,0.0,0.0,281.6177459873935,success
randomized-id,evaluation_id,6,40006,reach_object,1,1,0,0,0,0.2948302472335813,3.3,3.3,66,0.022817770474050793,1,1,57,57,0,0.8636363636363636,0,0,0.0,0.0,286.4715840455383,success
randomized-id,evaluation_id,7,40007,pause_and_continue,1,1,0,0,0,0.3074460604435242,2.8,2.8,56,0.024830812157663407,1,1,48,48,0,0.8571428571428571,0,0,0.0,0.0,284.5309812597522,success
randomized-id,evaluation_id,8,40008,pause_and_continue,1,1,0,0,0,0.16149468669589795,2.75,2.75,55,0.013157458071543048,1,1,43,43,0,0.7818181818181819,0,0,0.0,0.0,288.46533954897683,success
randomized-id,evaluation_id,9,40009,reverse,0,0,0,1,1,0.004479691625669392,,10.0,200,0.15959024897748997,0,0,198,198,0,0.99,97,97,4.85,111.95121785124316,-155.9504369415732,timeout
randomized-id,evaluation_id,10,40010,reach_target,0,0,1,1,1,-0.00023351175268098573,,3.1,62,0.4079664752697708,0,0,61,61,0,0.9838709677419355,9,1,0.05,110.91467405597464,-117.33980387229725,human_collision
randomized-id,evaluation_id,11,40011,cross_workspace,0,0,1,1,1,-4.581462041917256e-05,,4.75,95,0.2668576261150788,0,0,95,95,0,1.0,14,2,0.1,110.98258774483938,-126.64584164519593,human_collision
randomized-id,evaluation_id,12,40012,pause_and_continue,1,1,0,0,0,0.07080986867298399,3.3,3.3,66,0.010101581232155274,1,1,62,62,0,0.9393939393939394,7,1,0.05,1.0436425702916718,289.0681815159279,success
randomized-id,evaluation_id,13,40013,cross_workspace,1,1,0,1,1,0.004060670883365876,3.3,3.3,66,0.037035273985476486,1,1,59,59,0,0.8939393939393939,9,3,0.15,9.651204996290668,280.6780036982695,success
randomized-id,evaluation_id,14,40014,pause_and_continue,0,0,1,1,1,-0.0002864381694029569,,4.55,91,0.27714103021423336,0,0,88,88,0,0.967032967032967,21,17,0.85,113.80611601024785,-179.0719048831431,human_collision
randomized-id,evaluation_id,15,40015,reverse,1,1,0,1,1,0.027866431116873022,3.9,3.9,78,0.013095307563873596,1,1,72,72,0,0.9230769230769231,13,11,0.55,8.030014861889061,283.4806006821939,success
randomized-id,evaluation_id,16,40016,reach_target,1,1,0,0,0,0.17546715860037304,3.1,3.1,62,0.0205222832092102,1,1,56,56,0,0.9032258064516129,0,0,0.0,0.0,291.299426628833,success
randomized-id,evaluation_id,17,40017,reverse,0,0,1,1,1,-0.00018040304210378139,,4.1,82,0.28952228557003395,0,0,81,81,0,0.9878048780487805,15,8,0.4,113.2777229755238,-175.76016952888983,human_collision
randomized-id,evaluation_id,18,40018,reach_target,0,0,1,1,1,-8.04143800934437e-06,,5.8,116,0.3229410762880677,0,0,114,114,0,0.9827586206896551,20,9,0.45,122.0874471500882,-146.4994926634057,human_collision
randomized-id,evaluation_id,19,40019,reach_target,1,1,0,1,1,0.023924642355383205,3.95,3.95,79,0.016326310631663777,1,1,67,67,0,0.8481012658227848,9,3,0.15,5.153353129329595,279.66671601095186,success
randomized-id,evaluation_id,20,40020,reach_object,1,1,0,1,1,0.025789232766336496,3.1,3.1,62,0.0051208022166090985,1,1,47,47,0,0.7580645161290323,8,4,0.2,3.9937138287472673,281.0625511487937,success
randomized-id,evaluation_id,21,40021,pause_and_continue,0,0,1,1,1,-0.0008959615756963454,,3.95,79,0.36126253221171517,0,0,79,79,0,1.0,8,3,0.15,104.23749130875338,-115.22049402508401,human_collision
randomized-id,evaluation_id,22,40022,reverse,0,0,1,1,1,-3.862689643987366e-05,,5.65,113,0.3199051986221933,0,0,113,113,0,1.0,22,16,0.8,127.43567669610962,-147.27222488569822,human_collision
randomized-id,evaluation_id,23,40023,reach_target,0,0,1,1,1,-0.00040491431620642143,,5.75,115,0.38823974485250057,0,0,115,115,0,1.0,12,2,0.1,107.2133492510767,-124.45858255551501,human_collision
randomized-id,evaluation_id,24,40024,pause_and_continue,0,0,1,1,1,-0.003693651156240818,,8.65,173,0.24192204726545036,0,0,157,157,0,0.9075144508670521,60,1,0.05,126.19041897071959,-201.08379195712178,human_collision
randomized-id,evaluation_id,25,40025,reach_object,1,1,0,0,0,0.09170573984434381,2.9,2.9,58,0.027162262326214284,1,1,50,50,0,0.8620689655172413,3,2,0.1,0.14730000245584352,289.7884045107911,success
randomized-id,evaluation_id,26,40026,reach_object,0,0,0,1,1,-0.0015959099826646436,,5.15,103,0.24406835939210794,0,0,103,103,0,1.0,38,32,1.6,51.83832318075874,-121.12278627578648,unsafe
randomized-id,evaluation_id,27,40027,reach_object,0,0,0,1,1,0.047883026363823716,,5.95,119,0.1825061589959683,0,0,118,118,0,0.9915966386554622,43,43,2.15,9.39807651508072,-79.7523807961836,unsafe
randomized-id,evaluation_id,28,40028,reach_target,0,0,1,1,1,-6.90645469803089e-05,,4.4,88,0.39300111862922976,0,0,88,88,0,1.0,11,3,0.15,109.26417413142471,-118.1502954661176,human_collision
randomized-id,evaluation_id,29,40029,reverse,0,0,1,1,1,-3.1218659766116263e-06,,4.85,97,0.360033339464889,0,0,96,96,0,0.9896907216494846,18,9,0.45,118.39745823257368,-128.74435418162693,human_collision
randomized-id,evaluation_id,30,40030,reach_object,0,0,0,1,1,0.04339750444435726,,6.4,128,0.21341728724144293,0,0,128,128,0,1.0,29,29,1.45,5.6115518200494785,-81.03619728756132,unsafe
randomized-id,evaluation_id,31,40031,reach_object,1,1,0,0,0,0.15498528782005386,3.05,3.05,61,0.005976851289730113,1,1,50,50,0,0.819672131147541,0,0,0.0,0.0,278.71879799305486,success
randomized-id,evaluation_id,32,40032,pause_and_continue,0,0,1,1,1,-0.0001752952612482303,,3.4,68,0.34487756021874466,0,0,67,67,0,0.9852941176470589,10,3,0.15,108.01692039814485,-115.75690828334074,human_collision
randomized-id,evaluation_id,33,40033,cross_workspace,1,1,0,0,0,0.1040734846810727,3.2,3.2,64,0.011137951982604893,1,1,58,58,0,0.90625,3,0,0.0,0.05126728673169108,291.32590861578205,success
randomized-id,evaluation_id,34,40034,reverse,0,0,1,1,1,-7.709399185671512e-05,,5.05,101,0.2870008771776276,0,0,99,99,0,0.9801980198019802,19,12,0.6,123.71886662024971,-138.8641885121121,human_collision
randomized-id,evaluation_id,35,40035,reach_object,1,1,0,0,0,0.18073292098554902,3.1,3.1,62,0.030013123891472784,1,1,44,44,0,0.7096774193548387,0,0,0.0,0.0,286.9844540078899,success
randomized-id,evaluation_id,36,40036,cross_workspace,1,1,0,0,0,0.22503830861461768,3.2,3.2,64,0.03093773325804113,1,1,52,52,0,0.8125,0,0,0.0,0.0,283.29913020061537,success
randomized-id,evaluation_id,37,40037,cross_workspace,1,1,0,0,0,0.3672180157384348,3.2,3.2,64,0.02555076200330984,1,1,51,51,0,0.796875,0,0,0.0,0.0,285.37877483629785,success
randomized-id,evaluation_id,38,40038,reverse,0,0,0,1,1,0.030881035944022042,,3.7,74,0.23301731653453667,0,0,74,74,0,1.0,10,4,0.2,6.551922451131928,-68.4446642639194,unsafe
randomized-id,evaluation_id,39,40039,cross_workspace,0,0,1,1,1,-0.00017097397214989318,,2.55,51,0.4448612246594289,0,0,50,50,0,0.9803921568627451,7,2,0.1,108.36178627669074,-111.5809152736192,human_collision
randomized-id,evaluation_id,40,40040,reverse,0,0,0,1,1,0.02378152877752733,,3.15,63,0.1829764357841354,0,0,62,62,0,0.9841269841269841,15,13,0.65,10.126329815385645,-70.19404972858355,unsafe
randomized-id,evaluation_id,41,40041,reach_object,1,1,0,0,0,0.15290635364215183,3.55,3.55,71,0.024276065010445633,1,1,60,60,0,0.8450704225352113,0,0,0.0,0.0,291.3617009023012,success
randomized-id,evaluation_id,42,40042,reach_object,1,1,0,1,1,0.017109149957725965,3.3,3.3,66,0.01802665531522659,1,1,53,53,0,0.803030303030303,7,0,0.0,4.817213054377085,287.7322788392137,success
randomized-id,evaluation_id,43,40043,pause_and_continue,0,0,1,1,1,-9.364545222084741e-05,,4.1,82,0.2798014288733845,0,0,79,79,0,0.9634146341463414,25,15,0.75,125.57750507165761,-138.25570344488793,human_collision
randomized-id,evaluation_id,44,40044,reach_object,0,0,0,1,1,0.03917985749798866,,5.1,102,0.25408704390381653,0,0,102,102,0,1.0,35,35,1.75,23.589948574913908,-92.20245165578014,unsafe
randomized-id,evaluation_id,45,40045,reach_target,1,1,0,0,0,0.2073723111076616,2.85,2.85,57,0.02996962017800332,1,1,43,43,0,0.7543859649122807,0,0,0.0,0.0,281.9293413677319,success
randomized-id,evaluation_id,46,40046,reach_target,1,1,0,0,0,0.21575472467830026,3.0,3.0,60,0.039188955009123304,1,1,55,55,0,0.9166666666666666,0,0,0.0,0.0,279.5959189227411,success
randomized-id,evaluation_id,47,40047,reach_object,1,1,0,0,0,0.2994545071509567,2.75,2.75,55,0.03485595711020774,1,1,44,44,0,0.8,0,0,0.0,0.0,282.2581946806691,success
randomized-id,evaluation_id,48,40048,cross_workspace,0,0,1,1,2,-0.00023777046457622297,,5.0,100,0.18375309821634148,0,0,96,96,0,0.96,39,15,0.75,143.99534485739662,-158.4207589574543,human_collision
randomized-id,evaluation_id,49,40049,reverse,0,0,1,1,1,-8.905144886481309e-06,,2.7,54,0.38342605120986756,0,0,54,54,0,1.0,6,0,0.0,107.12353272538743,-114.25798943378102,human_collision
randomized-id,evaluation_id,50,40050,reverse,1,1,0,0,0,0.21429319274180056,2.65,2.65,53,0.01849693091936361,1,1,37,37,0,0.6981132075471698,0,0,0.0,0.0,283.41427578344025,success
randomized-id,evaluation_id,51,40051,cross_workspace,0,0,1,1,1,-8.177831731944613e-05,,3.95,79,0.3195850046431595,0,0,79,79,0,1.0,13,9,0.45,114.46480921481248,-124.63723229254683,human_collision
randomized-id,evaluation_id,52,40052,cross_workspace,0,0,1,1,1,-0.0001581073518192172,,4.3,86,0.3168093620137176,0,0,82,82,0,0.9534883720930233,31,4,0.2,128.8785178664372,-195.2264488523345,human_collision
randomized-id,evaluation_id,53,40053,reverse,0,0,1,1,1,-6.492370052963575e-05,,4.6,92,0.21469306776785085,0,0,91,91,0,0.9891304347826086,20,12,0.6,111.82602816469401,-127.43073727303901,human_collision
randomized-id,evaluation_id,54,40054,reach_target,1,1,0,0,0,0.16332885868531336,3.15,3.15,63,0.03663739063666862,1,1,57,57,0,0.9047619047619048,0,0,0.0,0.0,292.75118688046854,success
randomized-id,evaluation_id,55,40055,reach_object,0,0,0,0,0,0.07955362389791933,,4.4,88,0.3372816822066969,0,0,88,88,0,1.0,18,18,0.9,0.3779045878514387,-67.01901317255421,unsafe
randomized-id,evaluation_id,56,40056,reverse,0,0,0,1,1,0.01261366591431045,,10.0,200,0.2706882540665085,0,0,199,199,0,0.995,67,60,3.0,66.72937731614245,-102.43411691045351,timeout
randomized-id,evaluation_id,57,40057,reverse,0,0,0,1,1,0.01858468270620072,,10.0,200,0.35493110114843457,1,0,191,191,0,0.955,54,44,2.2,36.81482015673091,-44.24847998824609,timeout
randomized-id,evaluation_id,58,40058,reach_target,0,0,1,1,1,-0.00011595885249559429,,3.95,79,0.3701186871745754,0,0,78,78,0,0.9873417721518988,17,7,0.35,124.04601959132486,-133.98170320399143,human_collision
randomized-id,evaluation_id,59,40059,cross_workspace,0,0,1,1,1,-0.0002492944444229192,,4.7,94,0.36259485469397823,0,0,94,94,0,1.0,13,5,0.25,114.86841317806558,-179.80145513765072,human_collision
randomized-id,evaluation_id,60,40060,reverse,0,0,1,1,1,-5.815994768713223e-05,,3.85,77,0.25825007339668365,0,0,76,76,0,0.987012987012987,21,14,0.7,121.14341954394195,-134.54614283905204,human_collision
randomized-id,evaluation_id,61,40061,reverse,0,0,1,1,1,-0.00029591491398704706,,5.75,115,0.28485152217568144,0,0,115,115,0,1.0,16,7,0.35,114.83983502410162,-137.14197945818705,human_collision
randomized-id,evaluation_id,62,40062,pause_and_continue,0,0,0,1,1,0.022825195864285705,,6.4,128,0.22487067782218959,0,0,128,128,0,1.0,21,18,0.9,13.853102248664154,-87.99070896117519,unsafe
