experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,0,32000,cross_workspace,0,0,1,1,2,-0.00020957162895603176,,6.3,126,0.1650380108600225,0,0,106,106,0,0.8412698412698413,47,33,1.65,131.99544089823368,-133.29747839921438,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,1,32001,cross_workspace,1,1,0,0,0,0.11186422800793007,2.95,2.95,59,0.037057162123003085,1,1,52,52,0,0.8813559322033898,1,0,0.0,0.009193164709298537,289.3050768659375,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,2,32002,cross_workspace,1,1,0,1,1,0.017526068333289194,3.15,3.15,63,0.008802640260158938,1,1,54,54,0,0.8571428571428571,10,3,0.15,5.32713299391067,283.6454260670221,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,3,32003,cross_workspace,1,1,0,1,1,0.05080092219202732,3.15,3.15,63,0.02461536571486294,1,1,51,51,0,0.8095238095238095,10,9,0.45,2.612880474308616,283.1238493397249,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,4,32004,cross_workspace,1,1,0,0,0,0.07352286288528302,2.85,2.85,57,0.029748894327263742,1,1,53,53,0,0.9298245614035088,6,2,0.1,0.7278488990938565,288.16546925452946,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,5,32005,cross_workspace,1,1,0,0,0,0.060359027876035906,3.1,3.1,62,0.03305390199323679,1,1,59,59,0,0.9516129032258065,8,2,0.1,1.730365571236622,284.27562440248016,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,6,32006,cross_workspace,1,1,0,0,0,0.2212406251445446,2.25,2.25,45,0.002375929298210652,1,1,34,34,0,0.7555555555555555,0,0,0.0,0.0,279.52943358931174,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,7,32007,cross_workspace,1,1,0,0,0,0.14503516412950784,2.8,2.8,56,0.018383365127627994,1,1,53,53,0,0.9464285714285714,0,0,0.0,0.0,286.4512514935535,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,8,32008,cross_workspace,1,1,0,0,0,0.06244465700723374,3.15,3.15,63,0.023693857566282558,1,1,60,60,0,0.9523809523809523,7,2,0.1,1.308200382505562,289.9598522684961,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,9,32009,cross_workspace,0,0,1,1,1,-0.00016775180880919394,,6.5,130,0.4357788308254148,1,0,120,120,0,0.9230769230769231,45,43,2.15,119.08513620329839,-80.40778221452732,human_collision
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,10,32010,cross_workspace,1,1,0,0,0,0.08546126094640573,3.0,3.0,60,0.01261477766106715,1,1,54,54,0,0.9,4,0,0.0,0.3221831798880644,290.3089931329433,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,11,32011,cross_workspace,1,1,0,1,1,0.05966901103344681,3.05,3.05,61,0.044390091284087024,1,0,49,49,0,0.8032786885245902,5,2,0.1,1.1611298170072732,261.7033357835803,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,12,32012,cross_workspace,1,1,0,1,1,0.05688556941569907,3.1,3.1,62,0.02483218976852064,1,1,52,52,0,0.8387096774193549,6,2,0.1,1.3774029368255287,288.84522405955033,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,13,32013,cross_workspace,1,1,0,0,0,0.11790575019687172,2.85,2.85,57,0.01213144555429,1,1,43,43,0,0.7543859649122807,1,1,0.05,0.000609150310819838,282.03069713462344,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,14,32014,cross_workspace,1,1,0,0,0,0.17852741243845735,2.6,2.6,52,0.025562314698951708,1,1,50,50,0,0.9615384615384616,0,0,0.0,0.0,283.7903591469924,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,15,32015,cross_workspace,1,1,0,0,0,0.21977027293142334,2.25,2.25,45,0.009995928386159408,1,1,37,37,0,0.8222222222222222,0,0,0.0,0.0,280.22629610932495,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,16,32016,cross_workspace,1,1,0,0,0,0.15322623158523715,2.45,2.45,49,0.018082755938940518,1,1,39,39,0,0.7959183673469388,0,0,0.0,0.0,280.6089923290775,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,17,32017,cross_workspace,1,1,0,0,0,0.1499802516792089,2.7,2.7,54,0.007166116592213123,1,1,53,53,0,0.9814814814814815,0,0,0.0,0.0,289.6727050597155,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,18,32018,cross_workspace,1,1,0,1,1,0.05701803998387285,2.9,2.9,58,0.02711557765975189,1,1,47,47,0,0.8103448275862069,9,2,0.1,1.6575751415609616,276.93101265118423,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,19,32019,cross_workspace,1,1,0,0,0,0.07806607867588357,2.8,2.8,56,0.011846643454631052,1,1,53,53,0,0.9464285714285714,6,2,0.1,0.5404893570055944,282.6387502057885,success
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,20,32020,cross_workspace,1,1,0,0,0,0.1453762774316757,2.7,2.7,54,0.021870315644231586,1,1,49,49,0,0.9074074074074074,0,0,0.0,0.0,287.64973973655907,success
