experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.26507525140248933,2.45,2.45,49,0.007505785066506118,1,1,44,44,0,0.8979591836734694,0,0,0.0,0.0,284.21109760610096,success
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.257208831601358,2.4,2.4,48,0.0009821282261072467,1,1,41,41,0,0.8541666666666666,0,0,0.0,0.0,281.7658480624333,success
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.24133360847786436,2.45,2.45,49,0.015362553893192701,1,1,34,34,0,0.6938775510204082,0,0,0.0,0.0,283.44965580103064,success
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,1,1,0,0,0,0.19963854709182988,2.55,2.55,51,0.010136943294845102,1,1,40,40,0,0.7843137254901961,0,0,0.0,0.0,279.858949403839,success
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.22964937005097166,2.35,2.35,47,0.015881983741790652,1,1,35,35,0,0.7446808510638298,0,0,0.0,0.0,282.1375413815823,success
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,1,1,0,0,0,0.23312393548458296,2.4,2.4,48,0.008053760239007652,1,1,29,29,0,0.6041666666666666,0,0,0.0,0.0,281.4991879741177,success
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,1,1,0,0,0,0.16939528260962855,2.75,2.75,55,0.01548629580075304,1,1,47,47,0,0.8545454545454545,0,0,0.0,0.0,285.57867260465093,success
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.13727277351004902,2.85,2.85,57,0.006972777023791178,1,1,43,43,0,0.7543859649122807,0,0,0.0,0.0,281.685503876589,success
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,0,0,1,1,1,-2.8175144042574818e-05,,6.4,128,0.3038598235395249,0,0,113,113,0,0.8828125,40,32,1.6,140.0328426146109,-144.30955257341964,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.213776248708389,2.5,2.5,50,0.011299344697664252,1,1,43,43,0,0.86,0,0,0.0,0.0,281.08067880563095,success
fixed-exact-h036-v1,fixed_exact_h036_v1,10,31010,cross_workspace,0,0,1,1,1,-0.00011207994366138618,,6.45,129,0.26154929056786363,0,0,113,113,0,0.875968992248062,39,26,1.3,142.90773412585642,-147.4838286408681,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,11,31011,cross_workspace,1,1,0,0,0,0.26522416695562034,2.1,2.1,42,0.008048116866169063,1,0,35,35,0,0.8333333333333334,0,0,0.0,0.0,250.30465963594744,success
fixed-exact-h036-v1,fixed_exact_h036_v1,12,31012,cross_workspace,1,1,0,0,0,0.1897678623297365,2.8,2.8,56,0.03382070296111721,1,1,43,43,0,0.7678571428571429,0,0,0.0,0.0,283.22653556762896,success
fixed-exact-h036-v1,fixed_exact_h036_v1,13,31013,cross_workspace,0,0,1,1,1,-3.2169768545378674e-05,,6.9,138,0.34141016621953996,1,0,133,133,0,0.9637681159420289,48,48,2.4,131.92928752887696,-101.00459921222439,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,14,31014,cross_workspace,1,1,0,0,0,0.22403169217478466,2.4,2.4,48,0.00514211418748252,1,1,32,32,0,0.6666666666666666,0,0,0.0,0.0,281.5515245639346,success
fixed-exact-h036-v1,fixed_exact_h036_v1,15,31015,cross_workspace,0,0,1,1,1,-0.00010484242335150051,,6.95,139,0.4314203272680262,1,0,131,131,0,0.9424460431654677,47,47,2.35,127.40577003244225,-98.69666569762838,human_collision
fixed-exact-h036-v1,fixed_exact_h036_v1,16,31016,cross_workspace,1,1,0,0,0,0.2430958002385756,2.35,2.35,47,0.013653871180371332,1,1,33,33,0,0.7021276595744681,0,0,0.0,0.0,281.5768558100799,success
fixed-exact-h036-v1,fixed_exact_h036_v1,17,31017,cross_workspace,1,1,0,0,0,0.15885941846996676,2.6,2.6,52,0.0065264630760384894,1,1,46,46,0,0.8846153846153846,0,0,0.0,0.0,270.9896429882826,success
