method,distribution,episodes,task_success_rate,collision_free_success_rate,human_collision_rate,near_miss_rate,mean_minimum_separation,median_minimum_separation,p05_minimum_separation,worst_minimum_separation,grasp_rate,lift_rate,mean_placement_error,median_placement_error,p90_placement_error,mean_completion_time_successes,mean_waiting_steps,mean_proximity_steps,mean_safety_clamp_rate,mean_episode_reward,mean_human_safety_cost
fixed_exact_h036,no_human,200,0.465,0.465,0.0,0.0,0.4006716962283221,0.41874544407516245,0.27558953788323826,0.2297785436035479,0.485,0.475,0.1677221720239846,0.169621482962018,0.37579898111533705,3.3397849462365587,0.0,0.0,0.8988714266026534,110.75141262789083,0.0
fixed_exact_h036,exact_h036,200,0.955,0.955,0.04,0.105,0.15453947208731175,0.1588140455479505,0.04450441619055531,-0.0007339998440449372,0.98,0.95,0.030278220504168972,0.02058924538415698,0.0319513250080563,2.844240837696335,1.655,2.93,0.8597661070690572,268.3475088471408,5.131165583288541
fixed_exact_h036,constrained_fixed_height_randomized,200,0.945,0.945,0.045,0.085,0.15362561529491714,0.1580403545401709,0.043644524997739444,-0.0002986682675941918,0.98,0.945,0.03511728259965413,0.0204594034029457,0.034293986365938105,2.8507936507936513,2.225,3.18,0.8640165017995208,264.2357239034518,6.022452971638614
fixed_exact_h036,shifted_exact_h036,200,0.86,0.86,0.135,0.28,0.10313954684826829,0.10031438726394878,-0.0001974132928155729,-0.0023002877991233767,0.94,0.865,0.049852218114942906,0.020722961027336534,0.1260756623165324,2.783720930232558,4.52,7.665,0.8676293161749797,229.70060960832186,18.01964623516529
fixed_exact_h036,randomized_id,500,0.424,0.422,0.384,0.596,0.08294616443237539,0.026099180080239176,-0.013232891526770096,-0.060894192782047635,0.484,0.446,0.174592634132698,0.18748198568955274,0.3771266976713449,3.103537735849057,9.904,14.502,0.913371250641769,51.71017492861174,52.56764686553689
fixed_exact_h036,ood,500,0.0,0.0,0.826,0.982,0.0017863081340360662,-0.00022088856308333238,-0.015287344016174476,-0.05308577702512976,0.0,0.0,0.29507830764854864,0.295721076030286,0.38765209346201707,,9.066,16.808,0.9894228851268421,-128.94385214100265,101.59862593432443
curriculum,no_human,200,0.945,0.945,0.0,0.0,0.3309293151948989,0.3290696217567231,0.2243670579319732,0.17514309817312101,0.99,0.93,0.02787165501760164,0.014539144548564899,0.03557680036196792,3.2568783068783067,0.0,0.0,0.7533082162193269,266.4105779135423,0.0
curriculum,exact_h036,200,0.73,0.73,0.255,0.26,0.14365960932507402,0.15912851523191374,-0.00025539740726935564,-0.0703020745109365,0.855,0.705,0.09979342369668359,0.01563746395613839,0.3720189431038777,2.6280821917808224,9.54,10.695,0.8088357807943958,167.8448362230478,34.031080527243645
curriculum,constrained_fixed_height_randomized,200,0.74,0.74,0.23,0.255,0.14763581006119184,0.16552196140227535,-0.00022543185453624198,-0.06217401414662442,0.86,0.715,0.0917989881702681,0.01687086288091287,0.3632396856138763,2.6152027027027027,9.155,10.42,0.8101668846890948,171.87218343897507,30.92138846035139
curriculum,shifted_exact_h036,200,0.57,0.57,0.4,0.44,0.110939801261486,0.12700267608221857,-0.0002367328459445664,-0.05960127816893184,0.76,0.54,0.15103609952953231,0.02894563930967648,0.40090317369292305,2.4057017543859653,15.625,17.045,0.8236898208489891,106.65974260621532,53.03127137364214
curriculum,randomized_id,500,0.76,0.756,0.148,0.204,0.20588316141055957,0.2267837452687397,-0.00486038417955586,-0.07045139615016081,0.892,0.752,0.08059391448125504,0.02012181782645788,0.3213301522188478,2.996578947368421,6.754,8.152,0.8135858145705098,189.23939633113957,22.187001103681084
curriculum,ood,500,0.822,0.822,0.092,0.162,0.22523628815893756,0.2513472416673612,-0.00019704406178111498,-0.07021779878385703,0.94,0.816,0.060849024197364716,0.019035704498861623,0.23825480545779362,3.242579075425791,3.906,5.98,0.8227695891096893,213.12767337532614,14.188465338226255
full_random,no_human,200,0.85,0.85,0.0,0.0,0.3468644881998078,0.3440333246728921,0.24450406609189773,0.20785039514419784,0.95,0.835,0.047966116880523726,0.02389161882427976,0.06456113415246735,3.0629411764705887,0.0,0.0,0.745455428992834,238.6242874793295,0.0
full_random,exact_h036,200,0.76,0.755,0.225,0.245,0.14808482725605354,0.16944808340636328,-0.00021951619841024532,-0.0704128701646459,0.89,0.705,0.0794754765508495,0.02671331184242682,0.3014004595593147,2.665460526315789,8.73,10.05,0.7835239843856207,182.6400200788295,29.470030128000698
full_random,constrained_fixed_height_randomized,200,0.745,0.745,0.245,0.265,0.14508541646164796,0.17105535366420774,-0.00019305646359952,-0.009135343281560515,0.895,0.715,0.07664499203774636,0.02735967193537844,0.30126139253194123,2.6835570469798657,8.18,9.69,0.7816907116407462,179.09759768623124,30.6976501962909
full_random,shifted_exact_h036,200,0.505,0.5,0.49,0.54,0.07792198721382264,0.02823690082855812,-0.0002299765414497081,-0.0030269358276257124,0.815,0.47,0.14414252481221052,0.044390480310822655,0.356225587269419,2.6158415841584164,16.43,19.065,0.8241473600926014,82.3627318724196,63.50135043981669
full_random,randomized_id,500,0.812,0.812,0.086,0.16,0.23903518282166994,0.2729758170129291,-0.00016933345720540266,-0.035681573693914,0.948,0.804,0.060749251618753004,0.021332117617233148,0.2557544974912066,2.8699507389162564,5.438,7.096,0.7638192545830018,213.6903371480895,12.587276948567473
full_random,ood,500,0.872,0.872,0.042,0.116,0.26212741888116986,0.2976475385250943,-5.0759348748922664e-05,-0.032295633712473765,0.928,0.848,0.04771051356798078,0.023169719010285444,0.061653357135665346,2.9446100917431193,4.304,5.608,0.7261940212825897,231.90070505845938,8.395345611336074
