experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.24082670260355446,2.8,2.8,56,0.03445097136112101,1,1,34,34,0,0.6071428571428571,0,0,0.0,0.0,286.35019152685163,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.21820847496134474,2.6,2.6,52,0.005745259815299656,1,1,39,39,0,0.75,0,0,0.0,0.0,286.7058902618894,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.23737202827705764,2.6,2.6,52,0.02554354165702784,1,1,34,34,0,0.6538461538461539,0,0,0.0,0.0,286.2338256889553,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,1,1,0,0,0,0.1546436190694724,3.15,3.15,63,0.01638714149509138,1,1,44,44,0,0.6984126984126984,0,0,0.0,0.0,283.85880096655586,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.26341487779396466,2.3,2.3,46,0.006052013089591873,1,1,31,31,0,0.6739130434782609,0,0,0.0,0.0,282.18299849579523,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,1,1,0,0,0,0.20300931794202773,2.65,2.65,53,0.033453762112167454,1,1,35,35,0,0.660377358490566,0,0,0.0,0.0,282.4937472830903,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,1,1,0,0,0,0.18526983132393032,2.8,2.8,56,0.012599997636239202,1,1,35,35,0,0.625,0,0,0.0,0.0,289.0258053252122,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.18511147791830918,2.7,2.7,54,0.015293346429185947,1,1,35,35,0,0.6481481481481481,0,0,0.0,0.0,284.62768228491547,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,1,1,0,0,0,0.14199366174040415,2.9,2.9,58,0.01382019165807036,1,1,28,28,0,0.4827586206896552,0,0,0.0,0.0,287.8136509011434,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.2400042996162595,2.6,2.6,52,0.021201306211356574,1,1,27,27,0,0.5192307692307693,0,0,0.0,0.0,286.7547594523975,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
