experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
ood,evaluation_ood,0,50000,pause_and_continue,0,0,1,1,1,-0.07031866828699986,,2.7,54,0.4554145485017058,0,0,50,50,0,0.9259259259259259,15,15,0.75,143.28085197344373,-213.3539611267146,human_collision,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,1,50001,pause_and_continue,0,0,0,1,1,0.03510752037030901,,3.0,60,0.33950280515249415,0,0,55,55,0,0.9166666666666666,5,0,0.0,2.2081138009125105,-70.32117010831819,unsafe,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,2,50002,pause_and_continue,0,0,0,0,0,0.1883217552176719,,1.95,39,0.35910667508161515,0,0,35,35,0,0.8974358974358975,0,0,0.0,0.0,-63.18942558829116,unsafe,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,3,50003,cross_workspace,0,0,1,1,1,-0.04245851207306875,,3.95,79,0.44339167743699287,0,0,77,77,0,0.9746835443037974,10,7,0.35,116.08851604701589,-200.38954268241997,human_collision,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,4,50004,cross_workspace,0,0,0,0,0,0.09490025877151179,,6.0,120,0.2164503547571339,0,0,116,116,0,0.9666666666666667,2,0,0.0,0.09795024154651144,-86.83688245889093,unsafe,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,5,50005,reverse,0,0,0,0,0,0.20842467861100908,,10.0,200,0.20525924786201008,0,0,194,194,0,0.97,0,0,0.0,0.0,-65.97267365029928,timeout,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,6,50006,reverse,0,0,0,0,0,0.2689993807116883,,6.6,132,0.2991636893713704,0,0,125,125,0,0.946969696969697,0,0,0.0,0.0,-94.95910244694967,unsafe,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,7,50007,cross_workspace,0,0,0,0,0,0.20341641914002953,,6.1,122,0.3446842483155694,0,0,114,114,0,0.9344262295081968,0,0,0.0,0.0,-85.67386705654214,unsafe,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,8,50008,cross_workspace,0,0,1,1,1,-4.57744777726532e-05,,3.95,79,0.3768776672788592,0,0,79,79,0,1.0,14,14,0.7,113.32798851851071,-148.92341324036215,human_collision,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,9,50009,reverse,0,0,0,0,0,0.2676409038069768,,10.0,200,0.3496394685475693,0,0,199,199,0,0.995,0,0,0.0,0.0,-59.63226205240423,timeout,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
ood,evaluation_ood,10,50010,reverse,0,0,0,0,0,0.2606945792709131,,4.9,98,0.18135765367591886,0,0,97,97,0,0.9897959183673469,0,0,0.0,0.0,-84.95625688298148,unsafe,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
