experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,0,32000,cross_workspace,1,1,0,0,0,0.28950764861128264,2.05,2.05,41,0.012801717855464852,1,1,33,33,0,0.8048780487804879,0,0,0.0,0.0,280.26350633063305,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,1,32001,cross_workspace,1,1,0,0,0,0.16867698174169832,2.75,2.75,55,0.02576342190922809,1,1,43,43,0,0.7818181818181819,0,0,0.0,0.0,286.670756965762,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,2,32002,cross_workspace,1,1,0,0,0,0.0831869532618314,3.0,3.0,60,0.02862417929568313,1,1,42,42,0,0.7,6,6,0.3,0.41975590354208914,273.6006621307301,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,3,32003,cross_workspace,1,1,0,1,1,0.057489651734108346,3.1,3.1,62,0.01768426590213438,1,1,43,43,0,0.6935483870967742,7,5,0.25,1.6157915894931643,283.89507218739794,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,4,32004,cross_workspace,1,1,0,0,0,0.08773912664379767,2.75,2.75,55,0.013334585658177517,1,1,38,38,0,0.6909090909090909,4,1,0.05,0.26501940736022006,285.69696738756886,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,5,32005,cross_workspace,1,1,0,0,0,0.10870088257594611,2.8,2.8,56,0.024296697451848117,1,1,37,37,0,0.6607142857142857,2,2,0.1,0.01921801949691285,285.4802024835664,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,6,32006,cross_workspace,1,1,0,0,0,0.2222481941221475,2.35,2.35,47,0.009407626461343936,1,1,26,26,0,0.5531914893617021,0,0,0.0,0.0,283.2402324014935,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,7,32007,cross_workspace,1,1,0,0,0,0.16350865013897678,2.75,2.75,55,0.025081028784817657,1,1,30,30,0,0.5454545454545454,0,0,0.0,0.0,286.3732753980949,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,8,32008,cross_workspace,1,1,0,1,1,0.04090531746561456,3.3,3.3,66,0.019853641736233295,1,1,45,45,0,0.6818181818181818,10,4,0.2,3.5390682657455583,272.83432466137384,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,9,32009,cross_workspace,1,1,0,0,0,0.11370476897469502,3.0,3.0,60,0.017370582723365786,1,1,38,38,0,0.6333333333333333,1,0,0.0,0.005504157453050331,290.20419493401363,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,10,32010,cross_workspace,1,1,0,0,0,0.06885551778488204,3.05,3.05,61,0.010015994995549308,1,1,39,39,0,0.639344262295082,5,0,0.0,0.6540452879967035,293.28980693801356,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,11,32011,cross_workspace,1,1,0,0,0,0.11270786056027203,2.9,2.9,58,0.04368982074462542,1,1,40,40,0,0.6896551724137931,1,1,0.05,0.007385458001171678,274.7010054359275,success,fixed,1,a58158ef4ddfe91db948b9bdae59e88f01189c5ce95f800a2cca3626bec31d1b,step_2000000
