experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed,constrained_fixed_height_randomized,0,31000,cross_workspace,1,1,0,0,0,0.17806583153625447,2.75,2.75,55,0.007515806273782185,1,1,38,38,0,0.6909090909090909,0,0,0.0,0.0,287.23839563154695,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,1,31001,cross_workspace,1,1,0,0,0,0.23138838875993464,2.5,2.5,50,0.011825067888090256,1,1,38,38,0,0.76,0,0,0.0,0.0,288.17064924882663,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,2,31002,cross_workspace,1,1,0,0,0,0.17711535949732607,2.75,2.75,55,0.017234649187627238,1,1,39,39,0,0.7090909090909091,0,0,0.0,0.0,285.09202699984894,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,3,31003,cross_workspace,1,1,0,0,0,0.06693169169709566,3.5,3.5,70,0.03530918608092737,1,1,55,55,0,0.7857142857142857,9,7,0.35,1.1759224511045607,275.20918967599044,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,4,31004,cross_workspace,1,1,0,0,0,0.22465417823832715,2.35,2.35,47,0.007457719268282621,1,1,34,34,0,0.723404255319149,0,0,0.0,0.0,282.61000373524644,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,5,31005,cross_workspace,1,1,0,0,0,0.15690643060592113,2.65,2.65,53,0.015473489612644114,1,1,36,36,0,0.6792452830188679,0,0,0.0,0.0,281.0626425665992,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,6,31006,cross_workspace,1,1,0,0,0,0.14546940182686602,2.85,2.85,57,0.013629626501046108,1,1,42,42,0,0.7368421052631579,0,0,0.0,0.0,286.65584719452215,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,7,31007,cross_workspace,1,1,0,0,0,0.14238701827469163,2.9,2.9,58,0.010734444713149112,1,1,44,44,0,0.7586206896551724,0,0,0.0,0.0,283.5822810895165,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,8,31008,cross_workspace,1,1,0,0,0,0.09234645973886126,2.95,2.95,59,0.007807791252191341,1,1,45,45,0,0.7627118644067796,4,2,0.1,0.20752125142787547,272.20306338016377,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,9,31009,cross_workspace,1,1,0,0,0,0.2050189130649986,2.65,2.65,53,0.004646421579440191,1,1,36,36,0,0.6792452830188679,0,0,0.0,0.0,285.8500799141108,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,10,31010,cross_workspace,1,1,0,0,0,0.15142911954530094,2.75,2.75,55,0.013577824230456422,1,1,41,41,0,0.7454545454545455,0,0,0.0,0.0,284.0950865924765,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
fixed,constrained_fixed_height_randomized,11,31011,cross_workspace,1,1,0,0,0,0.0818769953522346,5.55,5.55,111,0.03829777087469097,1,0,97,97,0,0.8738738738738738,17,17,0.85,2.052574884228276,202.9080617356361,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
