experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
no-human,no_human,0,30000,reach_object,0,0,0,0,0,0.33277564305212703,,10.0,200,0.21222827024685317,0,0,200,200,0,1.0,0,0,0.0,0.0,-29.961983765675505,timeout,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,1,30001,reverse,0,0,0,0,0,0.33002938338491117,,10.0,200,0.30459762045983296,0,0,194,194,0,0.97,0,0,0.0,0.0,-42.510545714126415,timeout,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.3030806637189943,2.45,2.45,49,0.032340734331020284,1,1,33,33,0,0.673469387755102,0,0,0.0,0.0,281.820520262904,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,3,30003,cross_workspace,0,0,0,0,0,0.3387889765221684,,10.0,200,0.33749982579126797,0,0,198,198,0,0.99,0,0,0.0,0.0,-34.27924547252334,timeout,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,4,30004,reach_target,0,0,0,0,0,0.335108887705737,,10.0,200,0.2880568610274424,0,0,199,199,0,0.995,0,0,0.0,0.0,-42.079821732485186,timeout,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,5,30005,reach_object,0,0,0,0,0,0.33216661410855675,,10.0,200,0.251155788740689,0,0,198,198,0,0.99,0,0,0.0,0.0,-57.66002628272392,timeout,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,6,30006,pause_and_continue,0,0,0,0,0,0.3906162449921182,,10.0,200,0.29163584233563256,0,0,196,196,0,0.98,0,0,0.0,0.0,-26.99590878708112,timeout,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,7,30007,pause_and_continue,1,1,0,0,0,0.26495577185997143,3.2,3.2,64,0.009075790995278533,1,1,50,50,0,0.78125,0,0,0.0,0.0,291.326904364765,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,8,30008,reach_target,1,1,0,0,0,0.3902866038014836,2.7,2.7,54,0.009613560074605213,1,1,32,32,0,0.5925925925925926,0,0,0.0,0.0,281.5452211363841,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,9,30009,reverse,1,1,0,0,0,0.36584987836954097,2.8,2.8,56,0.011010108599249877,1,1,48,48,0,0.8571428571428571,0,0,0.0,0.0,285.93386372389233,success,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
no-human,no_human,10,30010,pause_and_continue,0,0,0,0,0,0.3538382610463158,,10.0,200,0.29614628378422836,0,0,199,199,0,0.995,0,0,0.0,0.0,-28.8640522892233,timeout,fixed,2,b97b391147fcb118b084451131121ed18023eb4cd434167da54b8ff3582022ed,step_2000000
