experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
fixed,evaluation_fixed_id,0,31000,cross_workspace,1,1,0,0,0,0.20365612986432755,2.75,2.75,55,0.01645329454650924,1,1,44,44,0,0.8,0,0,0.0,0.0,284.7614185827747,success
fixed,evaluation_fixed_id,1,31001,cross_workspace,1,1,0,0,0,0.22927193383223646,2.65,2.65,53,0.02455067745086111,1,1,40,40,0,0.7547169811320755,0,0,0.0,0.0,284.0047443875256,success
fixed,evaluation_fixed_id,2,31002,cross_workspace,1,1,0,0,0,0.1976862457897924,2.65,2.65,53,0.018887856081155233,1,1,40,40,0,0.7547169811320755,0,0,0.0,0.0,281.54287156454353,success
fixed,evaluation_fixed_id,3,31003,cross_workspace,0,0,1,1,1,-3.30099120541133e-05,,6.75,135,0.28105956035504104,1,0,123,123,0,0.9111111111111111,45,40,2.0,131.21006708671982,-107.04716532906535,human_collision
fixed,evaluation_fixed_id,4,31004,cross_workspace,1,1,0,0,0,0.24625473692136338,2.3,2.3,46,0.02956637951120142,1,1,34,34,0,0.7391304347826086,0,0,0.0,0.0,281.8623521633158,success
fixed,evaluation_fixed_id,5,31005,cross_workspace,1,1,0,0,0,0.21004728408787884,2.45,2.45,49,0.03432182152245925,1,1,34,34,0,0.6938775510204082,0,0,0.0,0.0,277.1122794460119,success
fixed,evaluation_fixed_id,6,31006,cross_workspace,1,1,0,0,0,0.17731189409071318,2.65,2.65,53,0.014090177731697195,1,1,41,41,0,0.7735849056603774,0,0,0.0,0.0,284.5573100211079,success
fixed,evaluation_fixed_id,7,31007,cross_workspace,1,1,0,0,0,0.18598648773996931,2.7,2.7,54,0.01951956428564404,1,1,48,48,0,0.8888888888888888,0,0,0.0,0.0,268.38247949908015,success
fixed,evaluation_fixed_id,8,31008,cross_workspace,0,0,1,1,1,-0.00035008453108630044,,6.9,138,0.3224708601594497,1,0,118,118,0,0.855072463768116,47,44,2.2,126.4582986104655,-91.27000832871846,human_collision
fixed,evaluation_fixed_id,9,31009,cross_workspace,1,1,0,0,0,0.2572639959016899,2.45,2.45,49,0.015780041161121614,1,1,36,36,0,0.7346938775510204,0,0,0.0,0.0,283.52798091888747,success
fixed,evaluation_fixed_id,10,31010,cross_workspace,1,1,0,0,0,0.2171707693678881,2.55,2.55,51,0.023281865236488692,1,1,32,32,0,0.6274509803921569,0,0,0.0,0.0,282.79401939590605,success
fixed,evaluation_fixed_id,11,31011,cross_workspace,0,0,1,1,1,-0.00014473313567169716,,3.95,79,0.04594586885310482,1,0,74,74,0,0.9367088607594937,15,15,0.75,111.10974175515561,-78.54857190210878,human_collision
fixed,evaluation_fixed_id,12,31012,cross_workspace,0,0,1,1,1,-0.00019147373818240165,,7.1,142,0.3017684407867109,0,0,113,113,0,0.795774647887324,52,46,2.3,129.30034304298056,-130.75348672603468,human_collision
fixed,evaluation_fixed_id,13,31013,cross_workspace,1,1,0,0,0,0.16108749205090267,2.9,2.9,58,0.026501075664300197,1,1,40,40,0,0.6896551724137931,0,0,0.0,0.0,287.10542263313073,success
fixed,evaluation_fixed_id,14,31014,cross_workspace,1,1,0,0,0,0.18770236513682922,2.8,2.8,56,0.03197164535440286,1,1,51,51,0,0.9107142857142857,0,0,0.0,0.0,279.6855452692212,success
fixed,evaluation_fixed_id,15,31015,cross_workspace,1,1,0,0,0,0.09166067938131332,3.3,3.3,66,0.00503196567670729,1,1,50,50,0,0.7575757575757576,6,4,0.2,0.308639730212471,287.2941781257914,success
fixed,evaluation_fixed_id,16,31016,cross_workspace,1,1,0,0,0,0.2119056335810706,2.45,2.45,49,0.030446755509156303,1,1,33,33,0,0.673469387755102,0,0,0.0,0.0,283.0690884257694,success
fixed,evaluation_fixed_id,17,31017,cross_workspace,1,1,0,0,0,0.18980076825941264,2.55,2.55,51,0.026332578464015523,1,1,37,37,0,0.7254901960784313,0,0,0.0,0.0,271.5965485206866,success
fixed,evaluation_fixed_id,18,31018,cross_workspace,1,1,0,0,0,0.21977849102224886,2.5,2.5,50,0.01527419407438307,1,1,33,33,0,0.66,0,0,0.0,0.0,279.8300678317286,success
fixed,evaluation_fixed_id,19,31019,cross_workspace,1,1,0,0,0,0.2275061965765827,2.5,2.5,50,0.029044586079348126,1,1,36,36,0,0.72,0,0,0.0,0.0,284.35077361439653,success
fixed,evaluation_fixed_id,20,31020,cross_workspace,1,1,0,0,0,0.16945477789790742,2.65,2.65,53,0.039725377232592195,1,1,46,46,0,0.8679245283018868,0,0,0.0,0.0,271.3630809762598,success
fixed,evaluation_fixed_id,21,31021,cross_workspace,1,1,0,0,0,0.19611561528383065,2.7,2.7,54,0.015672695148383254,1,1,50,50,0,0.9259259259259259,0,0,0.0,0.0,279.35334392001573,success
fixed,evaluation_fixed_id,22,31022,cross_workspace,1,1,0,0,0,0.20774824294708427,2.45,2.45,49,0.012431693158370867,1,1,46,46,0,0.9387755102040817,0,0,0.0,0.0,276.8138215314006,success
fixed,evaluation_fixed_id,23,31023,cross_workspace,1,1,0,0,0,0.24116746677226755,2.4,2.4,48,0.007802604937081449,1,1,37,37,0,0.7708333333333334,0,0,0.0,0.0,283.63311420716354,success
fixed,evaluation_fixed_id,24,31024,cross_workspace,1,1,0,0,0,0.10220716545933424,3.25,3.25,65,0.04122722704194332,1,1,56,56,0,0.8615384615384616,2,2,0.1,0.052111527988692986,277.0948677752765,success
fixed,evaluation_fixed_id,25,31025,cross_workspace,1,1,0,0,0,0.29083864040264584,2.45,2.45,49,0.0077444046030002755,1,1,35,35,0,0.7142857142857143,0,0,0.0,0.0,277.42518997449775,success
