experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
no-human,no_human,0,30000,reach_object,1,1,0,0,0,0.4179308424050961,2.6,2.6,52,0.04386101809210299,1,1,40,40,0,0.7692307692307693,0,0,0.0,0.0,278.25225141787627,success
no-human,no_human,1,30001,reverse,0,0,0,0,0,0.446931035701737,,10.0,200,0.04639264696785048,1,0,184,184,0,0.92,0,0,0.0,0.0,32.37579768777238,timeout
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.31105299794209385,2.5,2.5,50,0.018725872153932625,1,1,44,44,0,0.88,0,0,0.0,0.0,266.55693180152014,success
no-human,no_human,3,30003,cross_workspace,1,1,0,0,0,0.24130479116634482,2.6,2.6,52,0.003592360402044077,1,1,47,47,0,0.9038461538461539,0,0,0.0,0.0,271.11974580059484,success
no-human,no_human,4,30004,reach_target,1,1,0,0,0,0.37417733528581976,2.9,2.9,58,0.024458914121507865,1,1,38,38,0,0.6551724137931034,0,0,0.0,0.0,280.49792238128634,success
no-human,no_human,5,30005,reach_object,1,1,0,0,0,0.43861724777048555,3.0,3.0,60,0.01086220764945257,1,1,42,42,0,0.7,0,0,0.0,0.0,281.7251585780114,success
no-human,no_human,6,30006,pause_and_continue,1,1,0,0,0,0.32830560354489047,3.35,3.35,67,0.01634203415815171,1,1,48,48,0,0.7164179104477612,0,0,0.0,0.0,279.27003296312535,success
no-human,no_human,7,30007,pause_and_continue,1,1,0,0,0,0.2492085472776864,3.15,3.15,63,0.009004330418342178,1,1,47,47,0,0.746031746031746,0,0,0.0,0.0,286.7265132926976,success
no-human,no_human,8,30008,reach_target,1,1,0,0,0,0.41074869850330203,2.75,2.75,55,0.033893935940034876,1,1,41,41,0,0.7454545454545455,0,0,0.0,0.0,268.78543601694815,success
no-human,no_human,9,30009,reverse,1,1,0,0,0,0.3664827405401676,2.8,2.8,56,0.01680685907447097,1,1,37,37,0,0.6607142857142857,0,0,0.0,0.0,285.5884754025043,success
no-human,no_human,10,30010,pause_and_continue,1,1,0,0,0,0.35437985972634956,2.35,2.35,47,0.030086779461190195,1,1,37,37,0,0.7872340425531915,0,0,0.0,0.0,279.5550161364609,success
no-human,no_human,11,30011,reach_target,1,1,0,0,0,0.34525260033444505,2.35,2.35,47,0.020305980106027684,1,1,29,29,0,0.6170212765957447,0,0,0.0,0.0,279.9394186638526,success
no-human,no_human,12,30012,reverse,1,1,0,0,0,0.39107192671147484,2.55,2.55,51,0.016994648826738002,1,1,44,44,0,0.8627450980392157,0,0,0.0,0.0,278.0484184060638,success
no-human,no_human,13,30013,reverse,1,1,0,0,0,0.36760851241157044,2.35,2.35,47,0.023045564594244266,1,1,35,35,0,0.7446808510638298,0,0,0.0,0.0,281.4101495519974,success
no-human,no_human,14,30014,pause_and_continue,1,1,0,0,0,0.3301594046348456,2.9,2.9,58,0.0048133665887153615,1,1,41,41,0,0.7068965517241379,0,0,0.0,0.0,285.9984234618178,success
no-human,no_human,15,30015,pause_and_continue,1,1,0,0,0,0.24701954849661853,2.75,2.75,55,0.011235700228194888,1,1,40,40,0,0.7272727272727273,0,0,0.0,0.0,284.918747472194,success
no-human,no_human,16,30016,cross_workspace,1,1,0,0,0,0.3130122805405664,2.6,2.6,52,0.018815517403912022,1,1,40,40,0,0.7692307692307693,0,0,0.0,0.0,283.67800389838624,success
no-human,no_human,17,30017,reverse,1,1,0,0,0,0.2925541726092995,3.0,3.0,60,0.03219079470355957,1,1,42,42,0,0.7,0,0,0.0,0.0,287.2754578577833,success
no-human,no_human,18,30018,reverse,1,1,0,0,0,0.25637549088162026,2.9,2.9,58,0.017755755469052788,1,1,33,33,0,0.5689655172413793,0,0,0.0,0.0,286.0882578448181,success
no-human,no_human,19,30019,reverse,1,1,0,0,0,0.28560445100734877,2.35,2.35,47,0.022773025645223707,1,1,38,38,0,0.8085106382978723,0,0,0.0,0.0,281.7795904029751,success
no-human,no_human,20,30020,reach_target,1,1,0,0,0,0.42574892364123906,2.7,2.7,54,0.014589918951661705,1,1,35,35,0,0.6481481481481481,0,0,0.0,0.0,284.5215968755027,success
no-human,no_human,21,30021,cross_workspace,1,1,0,0,0,0.38801099724197474,2.65,2.65,53,0.03926611013079222,1,1,37,37,0,0.6981132075471698,0,0,0.0,0.0,282.322911399511,success
no-human,no_human,22,30022,reach_target,1,1,0,0,0,0.3835932607043553,2.5,2.5,50,0.00831680941701031,1,1,34,34,0,0.68,0,0,0.0,0.0,279.4092795829371,success
no-human,no_human,23,30023,reverse,1,1,0,0,0,0.3327940340585722,3.2,3.2,64,0.010340411923966909,1,1,47,47,0,0.734375,0,0,0.0,0.0,283.46158491088516,success
no-human,no_human,24,30024,reach_target,1,1,0,0,0,0.32925031641891234,2.7,2.7,54,0.011915925281265517,1,1,37,37,0,0.6851851851851852,0,0,0.0,0.0,284.7809281124847,success
no-human,no_human,25,30025,reverse,1,1,0,0,0,0.3586996584399935,2.7,2.7,54,0.01603441544051511,1,1,40,40,0,0.7407407407407407,0,0,0.0,0.0,279.27357599206755,success
no-human,no_human,26,30026,reverse,1,1,0,0,0,0.2633444637601664,2.75,2.75,55,0.03348079340400657,1,1,44,44,0,0.8,0,0,0.0,0.0,274.17267497328504,success
no-human,no_human,27,30027,cross_workspace,1,1,0,0,0,0.3535218400951207,2.65,2.65,53,0.0013451326716218538,1,1,38,38,0,0.7169811320754716,0,0,0.0,0.0,270.95645225998845,success
no-human,no_human,28,30028,reach_object,0,0,0,0,0,0.34281404901133916,,10.0,200,0.047411373201908066,1,0,190,190,0,0.95,0,0,0.0,0.0,41.19283954107381,timeout
no-human,no_human,29,30029,pause_and_continue,1,1,0,0,0,0.3309344301853203,3.15,3.15,63,0.023955807046108026,1,1,45,45,0,0.7142857142857143,0,0,0.0,0.0,281.59027857632725,success
no-human,no_human,30,30030,cross_workspace,1,1,0,0,0,0.36486736184279056,2.7,2.7,54,0.04148309756597613,1,1,33,33,0,0.6111111111111112,0,0,0.0,0.0,272.5727806315524,success
no-human,no_human,31,30031,cross_workspace,1,1,0,0,0,0.27305221895545917,4.95,4.95,99,0.01144249764410303,1,0,76,76,0,0.7676767676767676,0,0,0.0,0.0,282.9747109979134,success
no-human,no_human,32,30032,reverse,1,1,0,0,0,0.3068345078578406,3.65,3.65,73,0.02594470496982841,1,1,62,62,0,0.8493150684931506,0,0,0.0,0.0,279.4007948520413,success
no-human,no_human,33,30033,pause_and_continue,1,1,0,0,0,0.26534266150024277,7.75,7.75,155,0.021693555901357544,1,1,142,142,0,0.9161290322580645,0,0,0.0,0.0,276.20870642419663,success
no-human,no_human,34,30034,reach_target,1,1,0,0,0,0.36698409154897127,2.6,2.6,52,0.03272767792716757,1,1,34,34,0,0.6538461538461539,0,0,0.0,0.0,281.73425017985875,success
no-human,no_human,35,30035,reach_object,1,1,0,0,0,0.3881976494378283,2.35,2.35,47,0.022346993198043414,1,1,31,31,0,0.6595744680851063,0,0,0.0,0.0,280.05606843685894,success
no-human,no_human,36,30036,reverse,0,0,0,0,0,0.3035724580957083,,10.0,200,0.054153676031611676,1,0,183,183,0,0.915,0,0,0.0,0.0,67.07224618487767,timeout
no-human,no_human,37,30037,cross_workspace,1,1,0,0,0,0.3035603840302775,2.65,2.65,53,0.027345397845010857,1,1,36,36,0,0.6792452830188679,0,0,0.0,0.0,285.99415735758123,success
no-human,no_human,38,30038,reverse,1,1,0,0,0,0.3516111157783939,2.35,2.35,47,0.014057073048645147,1,1,41,41,0,0.8723404255319149,0,0,0.0,0.0,278.3763466925258,success
no-human,no_human,39,30039,reverse,1,1,0,0,0,0.37387556868105787,2.6,2.6,52,0.0019560544342613322,1,1,35,35,0,0.6730769230769231,0,0,0.0,0.0,287.42664613540853,success
no-human,no_human,40,30040,reach_target,1,1,0,0,0,0.44008307903345945,2.95,2.95,59,0.03460580888861901,1,1,42,42,0,0.711864406779661,0,0,0.0,0.0,279.8950389473671,success
no-human,no_human,41,30041,reverse,0,0,0,0,0,0.25249483463169087,,10.0,200,0.2667413169994687,1,0,183,183,0,0.915,0,0,0.0,0.0,24.075620755970363,timeout
no-human,no_human,42,30042,reach_object,1,1,0,0,0,0.4382086155221613,3.05,3.05,61,0.014797167873292228,1,1,48,48,0,0.7868852459016393,0,0,0.0,0.0,281.86350550640736,success
no-human,no_human,43,30043,reach_object,1,1,0,0,0,0.37961652826348535,2.8,2.8,56,0.0246036556027408,1,1,34,34,0,0.6071428571428571,0,0,0.0,0.0,285.77304236084035,success
no-human,no_human,44,30044,reach_target,1,1,0,0,0,0.3624535884090484,4.4,4.4,88,0.016028058491383786,1,1,68,68,0,0.7727272727272727,0,0,0.0,0.0,270.49205538016,success
no-human,no_human,45,30045,reach_object,1,1,0,0,0,0.3233043736217885,3.1,3.1,62,0.02382743060245149,1,1,49,49,0,0.7903225806451613,0,0,0.0,0.0,286.6104379265206,success
no-human,no_human,46,30046,pause_and_continue,0,0,0,0,0,0.5326452351673112,,10.0,200,0.2843464395189869,0,0,184,184,0,0.92,0,0,0.0,0.0,-2.6302643145410354,timeout
no-human,no_human,47,30047,reverse,1,1,0,0,0,0.4003696642591821,3.1,3.1,62,0.019982561022900996,1,1,41,41,0,0.6612903225806451,0,0,0.0,0.0,285.98018293644964,success
no-human,no_human,48,30048,reverse,1,1,0,0,0,0.2956554624028588,2.6,2.6,52,0.01340749161674185,1,1,36,36,0,0.6923076923076923,0,0,0.0,0.0,281.44116633181056,success
no-human,no_human,49,30049,reverse,1,1,0,0,0,0.33557118780485373,3.55,3.55,71,0.007130117488718384,1,1,52,52,0,0.7323943661971831,0,0,0.0,0.0,289.056823814217,success
