experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
ood,evaluation_ood,0,50000,pause_and_continue,0,0,1,1,2,-0.00013733523666380199,,5.35,107,0.051283383807444696,1,0,91,91,0,0.8504672897196262,63,46,2.3,129.36084155924266,-85.57710431042405,human_collision
ood,evaluation_ood,1,50001,pause_and_continue,1,1,0,0,0,0.19015761754334556,2.8,2.8,56,0.021032000692024794,1,1,47,47,0,0.8392857142857143,0,0,0.0,0.0,282.73270400797537,success
ood,evaluation_ood,2,50002,pause_and_continue,0,0,1,1,1,-0.00011906080547360864,,2.5,50,0.3717029009630709,1,0,34,34,0,0.68,12,9,0.45,107.91765300017353,-104.9298512531618,human_collision
ood,evaluation_ood,3,50003,cross_workspace,1,1,0,0,0,0.18987295324354278,3.6,3.6,72,0.014997806117349126,1,1,52,52,0,0.7222222222222222,0,0,0.0,0.0,277.1397770285994,success
ood,evaluation_ood,4,50004,cross_workspace,1,1,0,0,0,0.415764930044635,2.45,2.45,49,0.02400443476547363,1,1,38,38,0,0.7755102040816326,0,0,0.0,0.0,280.2892647550223,success
ood,evaluation_ood,5,50005,reverse,1,1,0,0,0,0.34423193572305943,2.6,2.6,52,0.019974773080618312,1,1,33,33,0,0.6346153846153846,0,0,0.0,0.0,281.03812093712236,success
ood,evaluation_ood,6,50006,reverse,1,1,0,0,0,0.2428296124313237,3.15,3.15,63,0.012770562841657767,1,1,50,50,0,0.7936507936507936,0,0,0.0,0.0,265.2600326172052,success
ood,evaluation_ood,7,50007,cross_workspace,1,1,0,0,0,0.3364114323298002,3.0,3.0,60,0.02599496465117283,1,1,45,45,0,0.75,0,0,0.0,0.0,282.56806277092295,success
ood,evaluation_ood,8,50008,cross_workspace,0,0,1,1,1,-0.0002478636192884409,,7.3,146,0.046201197027820266,1,0,124,124,0,0.8493150684931506,78,78,3.9,171.8609352958702,-132.7567471820089,human_collision
ood,evaluation_ood,9,50009,reverse,1,1,0,0,0,0.3084294345653672,3.25,3.25,65,0.0050255158466994895,1,1,50,50,0,0.7692307692307693,0,0,0.0,0.0,281.1551236874221,success
ood,evaluation_ood,10,50010,reverse,1,1,0,0,0,0.4330390683944133,2.9,2.9,58,0.01709485939128243,1,1,41,41,0,0.7068965517241379,0,0,0.0,0.0,276.5710627023054,success
ood,evaluation_ood,11,50011,reverse,0,0,0,0,0,0.06176615074366075,,3.25,65,0.3928012168590079,0,0,55,55,0,0.8461538461538461,10,2,0.1,2.4730111908082937,-199.09933328449753,object_lost
ood,evaluation_ood,12,50012,cross_workspace,1,1,0,0,0,0.34555587082904726,2.8,2.8,56,0.02788793863526326,1,1,40,40,0,0.7142857142857143,0,0,0.0,0.0,290.7601823218064,success
ood,evaluation_ood,13,50013,cross_workspace,1,1,0,0,0,0.27276479093626105,3.3,3.3,66,0.01625492177450628,1,1,49,49,0,0.7424242424242424,0,0,0.0,0.0,280.3343094790892,success
ood,evaluation_ood,14,50014,cross_workspace,1,1,0,0,0,0.3259297153964603,2.65,2.65,53,0.015892545570423227,1,1,37,37,0,0.6981132075471698,0,0,0.0,0.0,268.74101595673704,success
ood,evaluation_ood,15,50015,reverse,1,1,0,0,0,0.34946356394375844,2.5,2.5,50,0.01824745535107652,1,1,38,38,0,0.76,0,0,0.0,0.0,279.60073677536866,success
ood,evaluation_ood,16,50016,reverse,1,1,0,0,0,0.27312519147564585,3.3,3.3,66,0.020674015984207223,1,1,44,44,0,0.6666666666666666,0,0,0.0,0.0,285.3848920152636,success
ood,evaluation_ood,17,50017,pause_and_continue,1,1,0,0,0,0.39906180075755926,2.65,2.65,53,0.021465838568698718,1,1,29,29,0,0.5471698113207547,0,0,0.0,0.0,278.30387450671753,success
ood,evaluation_ood,18,50018,reverse,1,1,0,0,0,0.38807534799021837,2.3,2.3,46,0.015969136424472574,1,1,34,34,0,0.7391304347826086,0,0,0.0,0.0,280.0505176221606,success
