experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
randomized-id,evaluation_id,0,40000,reach_object,1,1,0,1,1,0.022209830011824874,2.65,2.65,53,0.01994433956838445,1,1,40,40,0,0.7547169811320755,8,2,0.1,4.816724012232821,276.6805848871972,success
randomized-id,evaluation_id,1,40001,reverse,1,1,0,0,0,0.27228688613915175,2.65,2.65,53,0.015292844687525288,1,1,35,35,0,0.660377358490566,0,0,0.0,0.0,285.1976221617688,success
randomized-id,evaluation_id,2,40002,reverse,0,0,1,1,1,-0.00043615547972133267,,3.25,65,0.07081516851925994,1,1,56,56,0,0.8615384615384616,7,0,0.0,105.27723382655167,-78.35141076125338,human_collision
randomized-id,evaluation_id,3,40003,cross_workspace,1,1,0,0,0,0.19143821232488428,3.0,3.0,60,0.019912766846986143,1,1,44,44,0,0.7333333333333333,0,0,0.0,0.0,269.0213905276962,success
randomized-id,evaluation_id,4,40004,reverse,1,1,0,0,0,0.34963202932725534,2.2,2.2,44,0.020907168224829544,1,1,39,39,0,0.8863636363636364,0,0,0.0,0.0,275.2906335988545,success
randomized-id,evaluation_id,5,40005,reverse,1,1,0,0,0,0.3458430488493969,2.75,2.75,55,0.024098204906278113,1,1,49,49,0,0.8909090909090909,0,0,0.0,0.0,281.6424972653624,success
randomized-id,evaluation_id,6,40006,reach_object,0,0,0,0,0,0.09242427760783609,,10.0,200,0.38398778815917534,1,1,177,177,0,0.885,49,34,1.7,1.0459703574504775,44.23440961804178,timeout
randomized-id,evaluation_id,7,40007,pause_and_continue,0,0,1,1,1,-0.00034457753556323134,,7.05,141,0.38547766076260587,1,0,130,130,0,0.9219858156028369,16,16,0.8,109.65565392000119,-82.50051550682733,human_collision
randomized-id,evaluation_id,8,40008,pause_and_continue,1,1,0,0,0,0.16303705560116163,2.75,2.75,55,0.010223548199264366,1,1,47,47,0,0.8545454545454545,0,0,0.0,0.0,273.2792402464816,success
randomized-id,evaluation_id,9,40009,reverse,1,1,0,0,0,0.4355410924329961,2.5,2.5,50,0.012106810016842376,1,1,41,41,0,0.82,0,0,0.0,0.0,275.0210967129306,success
randomized-id,evaluation_id,10,40010,reach_target,1,1,0,0,0,0.1302612169507295,3.15,3.15,63,0.009189624792030397,1,1,43,43,0,0.6825396825396826,0,0,0.0,0.0,277.0181496801603,success
randomized-id,evaluation_id,11,40011,cross_workspace,1,1,0,0,0,0.2661428468159518,2.85,2.85,57,0.015740258487939026,1,1,33,33,0,0.5789473684210527,0,0,0.0,0.0,282.8602729458693,success
randomized-id,evaluation_id,12,40012,pause_and_continue,0,0,1,1,1,-0.0002805407013289768,,7.85,157,0.3416011286336026,1,0,136,136,0,0.8662420382165605,66,66,3.3,123.84843355333241,-93.62744661642188,human_collision
