experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
randomized-id,evaluation_id,0,21000,pause_and_continue,0,0,1,1,1,-6.773955268038478e-05,,7.85,157,0.39759591546640466,0,0,145,145,0,0.9235668789808917,66,66,3.3,157.17740000397058,-158.86736389865084,human_collision
randomized-id,evaluation_id,1,21001,reverse,0,0,0,0,0,0.06870474309192975,,10.0,200,0.3880326182790848,1,0,193,193,0,0.965,44,44,2.2,10.197619331166823,13.977986048752117,timeout
randomized-id,evaluation_id,2,21002,reverse,0,0,0,0,0,0.20633844542656762,,6.3,126,0.37618369262977763,0,0,99,99,0,0.7857142857142857,0,0,0.0,0.0,-213.48553982781104,object_lost
randomized-id,evaluation_id,3,21003,reverse,0,0,0,0,0,0.06960992747583233,,10.0,200,0.4550368369728044,0,0,188,188,0,0.94,52,52,2.6,12.735915783912793,-14.2978291170939,timeout
randomized-id,evaluation_id,4,21004,reverse,0,0,0,1,1,-0.020024322049672725,,5.25,105,0.3897707431297556,0,0,82,82,0,0.780952380952381,25,15,0.75,31.701914189501014,-230.10716157655992,object_lost
randomized-id,evaluation_id,5,21005,reach_object,0,0,0,1,1,0.05021058485460671,,7.55,151,0.22299383268722603,0,0,136,136,0,0.9006622516556292,58,35,1.75,9.939586651372224,-199.39002475631463,object_lost
randomized-id,evaluation_id,6,21006,reach_object,0,0,0,1,1,0.052650928573025446,,5.15,103,0.39297072413557166,0,0,63,63,0,0.6116504854368932,22,2,0.1,4.877634813751912,-57.91147867643588,unsafe
randomized-id,evaluation_id,7,21007,reach_target,0,0,0,1,1,-0.023119223148951575,,8.75,175,0.47043703684539157,1,0,142,142,0,0.8114285714285714,83,67,3.35,124.03250225881413,-303.2077058031713,object_lost
randomized-id,evaluation_id,8,21008,reach_target,0,0,0,0,0,0.0902962350532776,,10.0,200,0.20224835939132313,0,0,177,177,0,0.885,31,0,0.0,1.4381316287884565,-33.83915765253902,timeout
randomized-id,evaluation_id,9,21009,reach_object,0,0,0,0,0,0.3195931868186592,,1.15,23,0.30721183053522083,0,0,8,8,0,0.34782608695652173,0,0,0.0,0.0,-39.909253969183204,unsafe
randomized-id,evaluation_id,10,21010,reach_object,0,0,0,0,0,0.2953132243789349,,5.25,105,0.2229976003688583,1,0,73,73,0,0.6952380952380952,0,0,0.0,0.0,-39.73665231644646,unsafe
randomized-id,evaluation_id,11,21011,reach_target,0,0,0,0,0,0.17764420527862546,,10.0,200,0.42398916095590267,1,0,183,183,0,0.915,0,0,0.0,0.0,22.00280325532104,timeout
randomized-id,evaluation_id,12,21012,reach_target,0,0,0,0,0,0.17124975154876415,,10.0,200,0.36645497029683277,0,0,174,174,0,0.87,0,0,0.0,0.0,-51.09769440800038,timeout
randomized-id,evaluation_id,13,21013,cross_workspace,0,0,0,1,1,0.0060527932745863405,,5.7,114,0.6558194951845296,0,0,99,99,0,0.868421052631579,32,32,1.6,33.83968931353029,-229.1899925437078,object_lost
randomized-id,evaluation_id,14,21014,reach_object,0,0,0,0,0,0.07745935029528993,,3.35,67,0.3239365327739711,0,0,49,49,0,0.7313432835820896,11,0,0.0,0.8018595764630316,-53.08740850216074,unsafe
randomized-id,evaluation_id,15,21015,reach_target,0,0,0,0,0,0.1040132318200759,,10.0,200,0.18270359540976022,0,0,167,167,0,0.835,34,34,1.7,0.9409699742856145,-15.8574162695673,timeout
randomized-id,evaluation_id,16,21016,reverse,0,0,0,0,0,0.1695961506501052,,10.0,200,0.32943023380912373,1,0,192,192,0,0.96,0,0,0.0,0.0,24.603896246834832,timeout
randomized-id,evaluation_id,17,21017,reach_target,0,0,1,1,1,-1.9204857773451323e-05,,6.7,134,0.05905939892767338,1,0,114,114,0,0.8507462686567164,51,51,2.55,151.58044430119082,-75.55713181951253,human_collision
randomized-id,evaluation_id,18,21018,reverse,0,0,0,0,0,0.13240605034732145,,10.0,200,0.40326521860856557,0,0,189,189,0,0.945,0,0,0.0,0.0,-1.8418513407916475,timeout
randomized-id,evaluation_id,19,21019,reverse,0,0,0,0,0,0.138475171278997,,10.0,200,0.3357796970072129,1,0,154,154,0,0.77,0,0,0.0,0.0,-20.06436342616235,timeout
randomized-id,evaluation_id,20,21020,cross_workspace,0,0,1,1,1,-0.000501846637941325,,6.75,135,0.5153380621634138,0,0,120,120,0,0.8888888888888888,14,12,0.6,108.1960922683527,-107.20846642451379,human_collision
randomized-id,evaluation_id,21,21021,pause_and_continue,0,0,1,1,1,-0.0004083423640316025,,7.55,151,0.39352470203218276,0,0,144,144,0,0.9536423841059603,16,16,0.8,110.06512929339578,-110.09360977433685,human_collision
randomized-id,evaluation_id,22,21022,reach_target,0,0,0,1,1,0.055704821127986165,,10.0,200,0.39776019849112687,0,0,136,136,0,0.68,105,9,0.45,27.485658877207676,-36.176152730316055,timeout
randomized-id,evaluation_id,23,21023,cross_workspace,0,0,0,0,0,0.3233132780238597,,1.05,21,0.33802379113549436,0,0,5,5,0,0.23809523809523808,0,0,0.0,0.0,-38.298299395906874,unsafe
randomized-id,evaluation_id,24,21024,pause_and_continue,0,0,0,0,0,0.5659397924354892,,1.25,25,0.24892906746289012,1,0,22,22,0,0.88,0,0,0.0,0.0,-38.58896115462247,unsafe
randomized-id,evaluation_id,25,21025,reverse,0,0,0,1,1,0.056795626516423475,,10.0,200,0.3809290987130705,1,0,194,194,0,0.97,65,62,3.1,21.911917878076927,-24.573787272174183,timeout
randomized-id,evaluation_id,26,21026,pause_and_continue,0,0,1,1,1,-0.00012853371937930624,,9.05,181,0.3165491424181243,0,0,167,167,0,0.9226519337016574,18,18,0.9,112.45371944525327,-120.51668039038104,human_collision
randomized-id,evaluation_id,27,21027,reverse,0,0,0,0,0,0.07775139130518167,,10.0,200,0.16309471103258896,0,0,163,163,0,0.815,18,8,0.4,1.5011516518044232,-12.733032364717925,timeout
randomized-id,evaluation_id,28,21028,reverse,1,1,0,0,0,0.16100310933776357,3.35,3.35,67,0.008892488664024636,1,1,49,49,0,0.7313432835820896,0,0,0.0,0.0,285.64839733500963,success
randomized-id,evaluation_id,29,21029,pause_and_continue,0,0,1,1,1,-0.00018307360602583256,,7.1,142,0.46453247942249615,1,0,133,133,0,0.9366197183098591,17,5,0.25,110.82082156271531,-86.4868764222862,human_collision
randomized-id,evaluation_id,30,21030,reverse,0,0,0,0,0,0.08648013220255216,,10.0,200,0.4041554649279755,0,0,191,191,0,0.955,61,61,3.05,6.012024609750648,-6.888880113822253,timeout
randomized-id,evaluation_id,31,21031,reverse,0,0,1,1,1,-0.006867813234092038,,4.4,88,0.3646906309002892,0,0,74,74,0,0.8409090909090909,17,14,0.7,118.38828975674113,-114.90723585376176,human_collision
randomized-id,evaluation_id,32,21032,reverse,0,0,0,0,0,0.08597029862337754,,10.0,200,0.49955435583843644,1,0,179,179,0,0.895,15,11,0.55,1.0153021426450868,-1.2571798418386582,timeout
randomized-id,evaluation_id,33,21033,reverse,0,0,0,0,0,0.10275637451138082,,10.0,200,0.30296628700948497,1,0,175,175,0,0.875,19,0,0.0,0.3845931170270648,-18.81901803080193,timeout
randomized-id,evaluation_id,34,21034,cross_workspace,0,0,1,1,1,-6.410036780722661e-05,,6.1,122,0.24718831994328572,0,0,93,93,0,0.7622950819672131,21,19,0.95,111.19578002315374,-125.95957181508001,human_collision
randomized-id,evaluation_id,35,21035,reach_object,0,0,0,0,0,0.1366178204249574,,4.9,98,0.31406659704048023,0,0,76,76,0,0.7755102040816326,0,0,0.0,0.0,-58.911118083558094,unsafe
randomized-id,evaluation_id,36,21036,reverse,0,0,0,1,1,0.023366389505261306,,10.0,200,0.44064957913271896,0,0,127,127,0,0.635,88,14,0.7,36.25210325602478,-37.13762373458615,timeout
randomized-id,evaluation_id,37,21037,reach_target,0,0,0,0,0,0.07917570772005071,,10.0,200,0.16283763570851864,0,0,189,189,0,0.945,35,32,1.6,3.722139465870874,-10.797986642924181,timeout
randomized-id,evaluation_id,38,21038,reverse,1,1,0,0,0,0.21705315499736502,2.9,2.9,58,0.013342196453166031,1,1,53,53,0,0.9137931034482759,0,0,0.0,0.0,283.1815298801073,success
randomized-id,evaluation_id,39,21039,reverse,0,0,0,0,0,0.12918461028080283,,10.0,200,0.2662577671081106,0,0,166,166,0,0.83,0,0,0.0,0.0,-17.12893121484995,timeout
randomized-id,evaluation_id,40,21040,reach_target,0,0,0,0,0,0.35393112530681986,,1.15,23,0.3570759242133979,0,0,10,10,0,0.43478260869565216,0,0,0.0,0.0,-39.67998651209807,unsafe
randomized-id,evaluation_id,41,21041,reverse,0,0,0,0,0,0.18509410002691026,,10.0,200,0.17647406802372934,0,0,188,188,0,0.94,0,0,0.0,0.0,-18.96952155734427,timeout
randomized-id,evaluation_id,42,21042,reach_object,0,0,1,1,1,-0.03468253738487656,,8.5,170,0.37981635025623406,0,0,166,166,0,0.9764705882352941,48,48,2.4,203.60543727814104,-200.6335102406156,human_collision
randomized-id,evaluation_id,43,21043,cross_workspace,0,0,1,1,3,-0.00011949791074247762,,5.3,106,0.33107588372363445,0,0,89,89,0,0.839622641509434,36,14,0.7,123.26359376645512,-123.76193275870749,human_collision
randomized-id,evaluation_id,44,21044,pause_and_continue,0,0,1,1,1,-4.983802355648659e-05,,6.6,132,0.3545543541035159,0,0,127,127,0,0.9621212121212122,21,20,1.0,112.44331836997408,-107.66565779699208,human_collision
randomized-id,evaluation_id,45,21045,reverse,0,0,0,0,0,0.3442855572697961,,1.4,28,0.44216740309676345,0,0,18,18,0,0.6428571428571429,0,0,0.0,0.0,-39.73745870057688,unsafe
randomized-id,evaluation_id,46,21046,reverse,0,0,0,0,0,0.22664081109889586,,10.0,200,0.4765356027903033,0,0,173,173,0,0.865,0,0,0.0,0.0,-41.67756879787328,timeout
randomized-id,evaluation_id,47,21047,reverse,1,1,0,0,0,0.33395594590381394,3.0,3.0,60,0.01906423215369868,1,1,48,48,0,0.8,0,0,0.0,0.0,279.0849798655515,success
randomized-id,evaluation_id,48,21048,reach_object,0,0,1,1,1,-0.04303795605585694,,7.0,140,0.4012484067797839,0,0,136,136,0,0.9714285714285714,40,40,2.0,201.75876529677998,-200.8565358032563,human_collision
randomized-id,evaluation_id,49,21049,pause_and_continue,0,0,1,1,1,-0.00031132394019986465,,3.8,76,0.5105958667179443,0,0,58,58,0,0.7631578947368421,12,12,0.6,109.98268124997358,-108.64048392380342,human_collision
