experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination
randomized-id,evaluation_id,0,21000,pause_and_continue,0,0,1,1,1,-0.00016246469456197843,,8.0,160,0.41355287538699437,1,0,138,138,0,0.8625,67,67,3.35,144.35792410210067,-151.75442797662876,human_collision
randomized-id,evaluation_id,1,21001,reverse,0,0,0,0,0,0.49123650340148256,,1.75,35,0.32296162684727153,0,0,20,20,0,0.5714285714285714,0,0,0.0,0.0,-41.478731159987085,unsafe
randomized-id,evaluation_id,2,21002,reverse,0,0,1,1,1,-7.381872216348506e-06,,4.65,93,0.21288371594532868,0,0,89,89,0,0.956989247311828,30,30,1.5,130.56152073765202,-135.58851504000634,human_collision
randomized-id,evaluation_id,3,21003,reverse,0,0,0,0,0,0.11779375086380764,,10.0,200,0.35927750392794155,0,0,160,160,0,0.8,2,0,0.0,0.0003665040481387788,-25.377048678411175,timeout
randomized-id,evaluation_id,4,21004,reverse,0,0,0,0,0,0.44693295009726974,,2.25,45,0.14802749966172168,1,0,30,30,0,0.6666666666666666,0,0,0.0,0.0,-46.09703209162779,unsafe
randomized-id,evaluation_id,5,21005,reach_object,0,0,0,1,1,0.023900200353434334,,5.6,112,0.23588991905645676,0,0,105,105,0,0.9375,37,37,1.85,25.76860522913884,-79.51099144087783,unsafe
randomized-id,evaluation_id,6,21006,reach_object,0,0,1,1,1,-0.01851232461209349,,4.55,91,0.38748852585444804,0,0,81,81,0,0.8901098901098901,28,28,1.4,140.4371730983723,-142.89826692108275,human_collision
randomized-id,evaluation_id,7,21007,reach_target,0,0,1,1,1,-0.01576913322654365,,5.5,110,0.16918496563477922,0,0,103,103,0,0.9363636363636364,34,34,1.7,144.03557960020441,-150.0402720050683,human_collision
randomized-id,evaluation_id,8,21008,reach_target,0,0,1,1,1,-0.024690575283212224,,4.9,98,0.1932834204175596,0,0,86,86,0,0.8775510204081632,23,23,1.15,126.61571907458386,-128.55757937649946,human_collision
randomized-id,evaluation_id,9,21009,reach_object,0,0,0,0,0,0.07441793282190666,,3.95,79,0.3068861354520695,0,0,65,65,0,0.8227848101265823,18,18,0.9,1.2626472343300266,-54.388112464039665,unsafe
randomized-id,evaluation_id,10,21010,reach_object,0,0,0,0,0,0.06811573679360092,,5.25,105,0.2425408275914495,0,0,98,98,0,0.9333333333333333,30,30,1.5,3.371841445418456,-57.34565158964018,unsafe
randomized-id,evaluation_id,11,21011,reach_target,0,0,0,0,0,0.24384516949123705,,10.0,200,0.3246792031291135,0,0,169,169,0,0.845,0,0,0.0,0.0,-23.75403372868989,timeout
randomized-id,evaluation_id,12,21012,reach_target,0,0,1,1,1,-0.030761190413609207,,4.65,93,0.38634414810884016,0,0,79,79,0,0.8494623655913979,18,14,0.7,127.80243556516903,-131.16044952892324,human_collision
randomized-id,evaluation_id,13,21013,cross_workspace,0,0,1,1,1,-1.4026809817227481e-05,,7.1,142,0.3879355814251445,0,0,133,133,0,0.9366197183098591,55,34,1.7,169.78659271286767,-177.85241337052292,human_collision
randomized-id,evaluation_id,14,21014,reach_object,0,0,0,0,0,0.12719411267624356,,3.3,66,0.3240005141044408,0,0,63,63,0,0.9545454545454546,0,0,0.0,0.0,-55.017042070362606,unsafe
randomized-id,evaluation_id,15,21015,reach_target,0,0,1,1,1,-0.002533559083022073,,5.5,110,0.17999028621061527,0,0,101,101,0,0.9181818181818182,26,26,1.3,127.41332324010631,-131.0929245190663,human_collision
randomized-id,evaluation_id,16,21016,reverse,0,0,0,0,0,0.2367351607128141,,10.0,200,0.2714998664727004,0,0,155,155,0,0.775,0,0,0.0,0.0,-23.616279034695953,timeout
randomized-id,evaluation_id,17,21017,reach_target,0,0,1,1,1,-0.008941588568387164,,4.7,94,0.3237613133837993,0,0,92,92,0,0.9787234042553191,21,21,1.05,121.07234523937717,-127.12134738159818,human_collision
randomized-id,evaluation_id,18,21018,reverse,0,0,0,0,0,0.13970141009958756,,10.0,200,0.40341655972006385,0,0,184,184,0,0.92,0,0,0.0,0.0,-13.274421853618389,timeout
randomized-id,evaluation_id,19,21019,reverse,0,0,0,0,0,0.09396288126240068,,10.0,200,0.2917060740210531,0,0,196,196,0,0.98,58,58,2.9,3.4210986731502446,-20.271644204015576,timeout
randomized-id,evaluation_id,20,21020,cross_workspace,0,0,0,0,0,0.10855946023866889,,4.05,81,0.590746290882632,0,0,64,64,0,0.7901234567901234,2,0,0.0,0.018195523921790416,-189.21103883819254,object_lost
randomized-id,evaluation_id,21,21021,pause_and_continue,0,0,1,1,1,-0.00046022595690647927,,7.45,149,0.32423781899549176,0,0,104,104,0,0.697986577181208,25,0,0.0,107.51192206434678,-167.70968822359137,human_collision
randomized-id,evaluation_id,22,21022,reach_target,0,0,0,0,0,0.06142714412371171,,10.0,200,0.39597317760000905,0,0,188,188,0,0.94,63,63,3.15,21.942827965481225,-36.60694780512211,timeout
randomized-id,evaluation_id,23,21023,cross_workspace,0,0,1,1,2,-0.00012170347165597895,,5.35,107,0.33802039524170896,0,0,101,101,0,0.9439252336448598,23,8,0.4,116.64905779524962,-124.29164572660446,human_collision
randomized-id,evaluation_id,24,21024,pause_and_continue,0,0,1,1,1,-6.780011124561669e-05,,8.8,176,0.24278503131008342,1,0,155,155,0,0.8806818181818182,62,62,3.1,130.36554340723004,-99.08466984360945,human_collision
randomized-id,evaluation_id,25,21025,reverse,0,0,0,0,0,0.08477016112756847,,10.0,200,0.34975117988450216,0,0,158,158,0,0.79,19,0,0.0,1.3804053142002308,-20.975660269768102,timeout
randomized-id,evaluation_id,26,21026,pause_and_continue,0,0,1,1,1,-0.00019993252759425983,,9.3,186,0.2726570833703039,0,0,147,147,0,0.7903225806451613,18,16,0.8,111.9394472320291,-133.74535332764415,human_collision
randomized-id,evaluation_id,27,21027,reverse,0,0,0,1,1,0.002020809713709902,,10.0,200,0.3881982862814266,0,0,175,175,0,0.875,88,88,4.4,102.00633374346877,-123.16939941891495,timeout
randomized-id,evaluation_id,28,21028,reverse,0,0,0,1,1,0.054642950104705115,,10.0,200,0.32926310374887235,0,0,169,169,0,0.845,30,22,1.1,9.163108746002269,-20.676955471473264,timeout
randomized-id,evaluation_id,29,21029,pause_and_continue,0,0,1,1,1,-0.00039156699805199813,,6.85,137,0.42423597516882383,0,0,103,103,0,0.7518248175182481,18,18,0.9,109.11001441170451,-120.84539478385312,human_collision
randomized-id,evaluation_id,30,21030,reverse,0,0,0,0,0,0.12363728425509865,,10.0,200,0.43196544083236404,0,0,177,177,0,0.885,0,0,0.0,0.0,-0.16702837873012166,timeout
randomized-id,evaluation_id,31,21031,reverse,0,0,1,1,1,-0.00017277432509765073,,4.75,95,0.36530372864644106,0,0,85,85,0,0.8947368421052632,20,20,1.0,118.11575932761946,-121.15021565466567,human_collision
randomized-id,evaluation_id,32,21032,reverse,0,0,0,1,1,0.0074612929107538625,,10.0,200,0.23403631407911746,0,0,193,193,0,0.965,62,62,3.1,67.80468138901222,-75.408455888585,timeout
randomized-id,evaluation_id,33,21033,reverse,0,0,0,1,1,0.05788106028050223,,10.0,200,0.21885668636442845,0,0,191,191,0,0.955,49,48,2.4,15.285809106551767,-28.90837740773924,timeout
randomized-id,evaluation_id,34,21034,cross_workspace,0,0,1,1,1,-0.00010336921180412184,,6.0,120,0.24718803970701042,0,0,115,115,0,0.9583333333333334,44,44,2.2,114.10743758086313,-120.22517297081924,human_collision
randomized-id,evaluation_id,35,21035,reach_object,0,0,0,0,0,0.07577859528766778,,4.9,98,0.3140665970404801,0,0,87,87,0,0.8877551020408163,19,19,0.95,1.0604467823289532,-56.48006042378026,unsafe
randomized-id,evaluation_id,36,21036,reverse,0,0,0,0,0,0.07700545467770632,,10.0,200,0.40466483423657434,0,0,186,186,0,0.93,76,65,3.25,12.458332652626146,-24.026611191771334,timeout
randomized-id,evaluation_id,37,21037,reach_target,0,0,0,0,0,0.22232399842895037,,10.0,200,0.1780971380569278,0,0,163,163,0,0.815,0,0,0.0,0.0,-32.505570671138294,timeout
randomized-id,evaluation_id,38,21038,reverse,0,0,0,0,0,0.16334804668206665,,10.0,200,0.27723224770604266,0,0,157,157,0,0.785,0,0,0.0,0.0,-15.368547388582929,timeout
randomized-id,evaluation_id,39,21039,reverse,0,0,0,1,1,0.042096808728746146,,10.0,200,0.26625776710811055,0,0,192,192,0,0.96,86,86,4.3,44.97285035955582,-56.5647602785702,timeout
randomized-id,evaluation_id,40,21040,reach_target,0,0,1,1,1,-0.014459701361706372,,5.25,105,0.352447583035926,0,0,97,97,0,0.9238095238095239,21,21,1.05,123.73679567777188,-128.35680411656895,human_collision
randomized-id,evaluation_id,41,21041,reverse,0,0,0,1,1,-0.03231375904841351,,10.0,200,0.31554372573039785,0,0,171,171,0,0.855,57,1,0.05,96.58604145826094,-117.82187217229801,timeout
randomized-id,evaluation_id,42,21042,reach_object,0,0,0,0,0,0.22814452897400142,,5.35,107,0.5381347954843122,1,0,97,97,0,0.9065420560747663,0,0,0.0,0.0,-158.7012134519222,object_lost
randomized-id,evaluation_id,43,21043,cross_workspace,0,0,1,1,1,-5.0471884607980466e-05,,6.05,121,0.37072612440150976,0,0,103,103,0,0.8512396694214877,34,20,1.0,130.91003274754254,-140.73850427947036,human_collision
randomized-id,evaluation_id,44,21044,pause_and_continue,0,0,1,1,1,-0.00021806280846976833,,6.55,131,0.3303210416530306,0,0,117,117,0,0.8931297709923665,16,16,0.8,109.24342219402834,-106.20509596095887,human_collision
randomized-id,evaluation_id,45,21045,reverse,0,0,0,1,1,0.03239186527320638,,10.0,200,0.43773483658369505,0,0,191,191,0,0.955,60,60,3.0,36.7434059039173,-55.472468963871975,timeout
randomized-id,evaluation_id,46,21046,reverse,0,0,0,0,0,0.06404449300457768,,4.95,99,0.27112902554706897,0,0,89,89,0,0.898989898989899,13,13,0.65,2.246738073736308,-57.5452401694924,unsafe
randomized-id,evaluation_id,47,21047,reverse,0,0,0,0,0,0.312863019008769,,4.25,85,0.4357509004145377,1,0,72,72,0,0.8470588235294118,0,0,0.0,0.0,-159.42620415838493,object_lost
randomized-id,evaluation_id,48,21048,reach_object,0,0,1,1,1,-0.01550323948420574,,6.6,132,0.3949793861490859,0,0,111,111,0,0.8409090909090909,33,33,1.65,155.71563685957346,-152.51673093659346,human_collision
randomized-id,evaluation_id,49,21049,pause_and_continue,0,0,1,1,1,-5.5523585932283626e-05,,4.15,83,0.41868622521980564,0,0,76,76,0,0.9156626506024096,19,19,0.95,119.2661045705466,-122.59899087636931,human_collision
