experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.1892952121769495,2.8,2.8,56,0.013462275950059456,1,1,43,43,0,0.7678571428571429,0,0,0.0,0.0,284.03145145475776,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.1848222859637342,2.9,2.9,58,0.02062416382564768,1,1,48,48,0,0.8275862068965517,0,0,0.0,0.0,284.8284787986946,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.19843133462056045,2.8,2.8,56,0.01568570096874247,1,1,49,49,0,0.875,0,0,0.0,0.0,285.81642979074354,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,1,1,0,0,0,0.2150070816494269,2.55,2.55,51,0.013638041640896315,1,1,46,46,0,0.9019607843137255,0,0,0.0,0.0,282.32711833843706,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.2437348828322707,2.35,2.35,47,0.016787339532944926,1,1,39,39,0,0.8297872340425532,0,0,0.0,0.0,280.6540721156366,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,1,1,0,0,0,0.13607448300907718,3.25,3.25,65,0.019598248860689112,1,1,54,54,0,0.8307692307692308,0,0,0.0,0.0,279.4658466457257,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,1,1,0,0,0,0.1469014894012734,2.95,2.95,59,0.029257133693024753,1,1,53,53,0,0.8983050847457628,0,0,0.0,0.0,291.5499849513785,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.18987640142531864,2.7,2.7,54,0.031255278255600955,1,1,41,41,0,0.7592592592592593,0,0,0.0,0.0,271.26929019494,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,1,1,0,0,0,0.1636498532964332,2.9,2.9,58,0.024807284306273464,1,1,49,49,0,0.8448275862068966,0,0,0.0,0.0,285.3238304563461,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.22402901693524993,2.5,2.5,50,0.02247197077053926,1,1,44,44,0,0.88,0,0,0.0,0.0,285.6910327517036,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
