experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
no-human,no_human,0,30000,reach_object,1,1,0,0,0,0.40654006894770883,2.35,2.35,47,0.010379832376680942,1,1,35,35,0,0.7446808510638298,0,0,0.0,0.0,279.99662344385376,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,1,30001,reverse,1,1,0,0,0,0.4559982904299244,2.4,2.4,48,0.025453836254261935,1,1,42,42,0,0.875,0,0,0.0,0.0,279.97839705731144,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.3272613842872317,2.6,2.6,52,0.01155600866754384,1,1,34,34,0,0.6538461538461539,0,0,0.0,0.0,281.78670184240684,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,3,30003,cross_workspace,1,1,0,0,0,0.2437954539495312,2.9,2.9,58,0.01599219788192886,1,1,40,40,0,0.6896551724137931,0,0,0.0,0.0,284.59277653225894,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,4,30004,reach_target,1,1,0,0,0,0.3793612916590503,2.7,2.7,54,0.014596053545886051,1,1,40,40,0,0.7407407407407407,0,0,0.0,0.0,284.36725780929385,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,5,30005,reach_object,1,1,0,0,0,0.44436480592068445,2.85,2.85,57,0.017950042178416857,1,1,48,48,0,0.8421052631578947,0,0,0.0,0.0,267.6695718667469,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,6,30006,pause_and_continue,1,1,0,0,0,0.33132430665274293,3.0,3.0,60,0.025481148868339517,1,1,47,47,0,0.7833333333333333,0,0,0.0,0.0,270.78074680483724,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,7,30007,pause_and_continue,0,0,0,0,0,0.4881253817022618,,10.0,200,0.40937024155730795,1,0,184,184,0,0.92,0,0,0.0,0.0,26.174804455085013,timeout,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,8,30008,reach_target,1,1,0,0,0,0.4081592122127998,2.75,2.75,55,0.022221794061597012,1,1,36,36,0,0.6545454545454545,0,0,0.0,0.0,283.5409437141115,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,9,30009,reverse,1,1,0,0,0,0.3554093171947086,2.95,2.95,59,0.02502870902875236,1,1,43,43,0,0.7288135593220338,0,0,0.0,0.0,286.64830173028406,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,10,30010,pause_and_continue,1,1,0,0,0,0.3591194730048535,2.8,2.8,56,0.00977114146266886,1,1,38,38,0,0.6785714285714286,0,0,0.0,0.0,266.57800720974546,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,11,30011,reach_target,1,1,0,0,0,0.34147196790466916,2.55,2.55,51,0.012599436210197795,1,1,40,40,0,0.7843137254901961,0,0,0.0,0.0,281.68201842904256,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,12,30012,reverse,1,1,0,0,0,0.4119267573021256,2.4,2.4,48,0.005504190894511631,1,1,40,40,0,0.8333333333333334,0,0,0.0,0.0,279.9833338259024,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,13,30013,reverse,1,1,0,0,0,0.3557687870157562,2.45,2.45,49,0.025818610479930795,1,1,38,38,0,0.7755102040816326,0,0,0.0,0.0,281.6453699282757,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
no-human,no_human,14,30014,pause_and_continue,1,1,0,0,0,0.2986213235278159,2.9,2.9,58,0.010155120895912325,1,1,41,41,0,0.7068965517241379,0,0,0.0,0.0,286.21613123226837,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
