experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
ood,evaluation_ood,0,50000,pause_and_continue,0,0,1,1,1,-4.08754492980945e-05,,2.25,45,0.4272348024028293,1,1,38,38,0,0.8444444444444444,17,0,0.0,106.94597094577476,-42.23640108588139,human_collision,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,1,50001,pause_and_continue,1,1,0,0,0,0.16447060452461412,2.85,2.85,57,0.01671279585735947,1,1,38,38,0,0.6666666666666666,0,0,0.0,0.0,285.33215132030483,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,2,50002,pause_and_continue,0,0,1,1,1,-0.0003395620003757843,,2.65,53,0.3145109591684841,0,0,44,44,0,0.8301886792452831,24,11,0.55,113.01771613440047,-110.42071403744754,human_collision,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,3,50003,cross_workspace,1,1,0,0,0,0.16274262567579081,3.7,3.7,74,0.02842918021719726,1,1,47,47,0,0.6351351351351351,0,0,0.0,0.0,289.55545225138553,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,4,50004,cross_workspace,0,0,1,1,1,-6.967821937831076e-05,,7.3,146,0.1577878489482314,1,0,141,141,0,0.9657534246575342,29,17,0.85,126.42864681989646,-110.84299947730045,human_collision,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,5,50005,reverse,1,1,0,0,0,0.3456666094708777,2.65,2.65,53,0.006442739637840149,1,1,43,43,0,0.8113207547169812,0,0,0.0,0.0,266.39275676746286,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,6,50006,reverse,1,1,0,0,0,0.3610350286031322,2.9,2.9,58,0.004203266271411674,1,1,46,46,0,0.7931034482758621,0,0,0.0,0.0,281.0331953315023,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,7,50007,cross_workspace,1,1,0,0,0,0.32947618010300916,3.15,3.15,63,0.003126343492682894,1,1,53,53,0,0.8412698412698413,0,0,0.0,0.0,285.230372749133,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,8,50008,cross_workspace,1,1,0,0,0,0.2333810389393963,3.0,3.0,60,0.020604804769925163,1,1,50,50,0,0.8333333333333334,0,0,0.0,0.0,290.1824751482054,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
ood,evaluation_ood,9,50009,reverse,1,1,0,0,0,0.29598936365292483,3.0,3.0,60,0.025209093679618398,1,1,49,49,0,0.8166666666666667,0,0,0.0,0.0,269.9405353666863,success,full_random,1,e6938c7cf45c5ece721862015551744864e585d206fa896c55af544abc32acc8,callback_best
