experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed,constrained_fixed_height_randomized,0,31000,cross_workspace,1,1,0,0,0,0.22663313845783065,2.55,2.55,51,0.0038060756484672776,1,1,39,39,0,0.7647058823529411,0,0,0.0,0.0,285.30238188651595,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,1,31001,cross_workspace,1,1,0,0,0,0.22473462957757015,2.7,2.7,54,0.009242772141456567,1,1,50,50,0,0.9259259259259259,0,0,0.0,0.0,284.0196639812548,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,2,31002,cross_workspace,1,1,0,0,0,0.19401602811140733,2.6,2.6,52,0.011839149457860436,1,1,43,43,0,0.8269230769230769,0,0,0.0,0.0,284.85881177389786,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,3,31003,cross_workspace,0,0,0,0,0,0.34113060178079546,,3.55,71,0.2938386823861424,1,0,66,66,0,0.9295774647887324,0,0,0.0,0.0,-178.90815643124404,object_lost,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,4,31004,cross_workspace,1,1,0,0,0,0.24353566742698848,2.35,2.35,47,0.02929109216916225,1,1,38,38,0,0.8085106382978723,0,0,0.0,0.0,281.59025036625064,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,5,31005,cross_workspace,1,1,0,0,0,0.1920198797664533,2.6,2.6,52,0.033253500037161175,1,1,44,44,0,0.8461538461538461,0,0,0.0,0.0,283.5622677523378,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,6,31006,cross_workspace,1,1,0,0,0,0.15502180959837875,3.0,3.0,60,0.027035307533608492,1,1,48,48,0,0.8,0,0,0.0,0.0,275.50006154781613,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,7,31007,cross_workspace,0,0,1,1,1,-0.0001467013479602569,,4.05,81,0.02457694617615226,1,1,67,67,0,0.8271604938271605,18,18,0.9,114.95741217259476,-52.87864866055602,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,8,31008,cross_workspace,1,1,0,0,0,0.15462491493142386,2.85,2.85,57,0.03370766398386483,1,1,40,40,0,0.7017543859649122,0,0,0.0,0.0,285.9728211298417,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,9,31009,cross_workspace,1,1,0,0,0,0.23439945102096463,2.55,2.55,51,0.020096673349798356,1,1,39,39,0,0.7647058823529411,0,0,0.0,0.0,286.0666077558372,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,10,31010,cross_workspace,1,1,0,0,0,0.20963099093553655,2.65,2.65,53,0.009081612321486262,1,1,48,48,0,0.9056603773584906,0,0,0.0,0.0,284.1687483373797,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,11,31011,cross_workspace,1,1,0,0,0,0.21666543141880404,2.35,2.35,47,0.02185525720381457,1,1,42,42,0,0.8936170212765957,0,0,0.0,0.0,279.6430575643367,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,12,31012,cross_workspace,0,0,1,1,1,-0.00012622923205127257,,6.8,136,0.32587579370581704,1,0,131,131,0,0.9632352941176471,47,20,1.0,145.33782519423494,-119.10800382886035,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed,constrained_fixed_height_randomized,13,31013,cross_workspace,1,1,0,0,0,0.21602249456747677,2.6,2.6,52,0.03412879239225795,1,1,47,47,0,0.9038461538461539,0,0,0.0,0.0,287.31555834398074,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
