experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-h036-v1,fixed_exact_h036_v1,0,31000,cross_workspace,1,1,0,0,0,0.23296748046369378,2.55,2.55,51,0.0041426061803708225,1,1,40,40,0,0.7843137254901961,0,0,0.0,0.0,285.71456353246293,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,1,31001,cross_workspace,1,1,0,0,0,0.25816395190767716,2.4,2.4,48,0.020612047274446217,1,1,42,42,0,0.875,0,0,0.0,0.0,281.89615306723596,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,2,31002,cross_workspace,1,1,0,0,0,0.19977681117901605,2.65,2.65,53,0.007375803827801279,1,1,39,39,0,0.7358490566037735,0,0,0.0,0.0,283.9307018249087,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,3,31003,cross_workspace,0,0,1,1,1,-8.886625625310896e-05,,6.85,137,0.3131776303107445,1,0,129,129,0,0.9416058394160584,47,47,2.35,129.4023377974836,-108.17973371530847,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,4,31004,cross_workspace,1,1,0,0,0,0.2521267901413162,2.3,2.3,46,0.02944978992614397,1,1,37,37,0,0.8043478260869565,0,0,0.0,0.0,281.91639122435373,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,5,31005,cross_workspace,1,1,0,0,0,0.20458297813167692,2.55,2.55,51,0.03257731702480594,1,1,43,43,0,0.8431372549019608,0,0,0.0,0.0,283.3276395580898,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,6,31006,cross_workspace,1,1,0,0,0,0.16200350662070778,2.9,2.9,58,0.03198222746073372,1,1,45,45,0,0.7758620689655172,0,0,0.0,0.0,273.70399411792266,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,7,31007,cross_workspace,1,1,0,0,0,0.15866184153797647,2.9,2.9,58,0.018981701389618345,1,1,47,47,0,0.8103448275862069,0,0,0.0,0.0,283.80057653404094,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,8,31008,cross_workspace,1,1,0,0,0,0.15063478329202584,2.95,2.95,59,0.036822206768848696,1,1,42,42,0,0.711864406779661,0,0,0.0,0.0,285.1007262931329,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,9,31009,cross_workspace,1,1,0,0,0,0.22270792723256563,2.55,2.55,51,0.01855376885836073,1,1,42,42,0,0.8235294117647058,0,0,0.0,0.0,285.5663751704902,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,10,31010,cross_workspace,1,1,0,0,0,0.203194555220629,2.7,2.7,54,0.016012030256598423,1,1,47,47,0,0.8703703703703703,0,0,0.0,0.0,283.84391835915324,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,11,31011,cross_workspace,1,1,0,0,0,0.2637371009665387,2.2,2.2,44,0.016755975385586333,1,0,41,41,0,0.9318181818181818,0,0,0.0,0.0,240.60297192870632,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,12,31012,cross_workspace,1,1,0,0,0,0.11375592884456089,3.3,3.3,66,0.03857083939976957,1,1,60,60,0,0.9090909090909091,1,1,0.05,0.00541505897141482,282.26223973377984,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,13,31013,cross_workspace,1,1,0,0,0,0.21100868047460541,2.7,2.7,54,0.02774543699365541,1,1,47,47,0,0.8703703703703703,0,0,0.0,0.0,286.60815656498687,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,14,31014,cross_workspace,1,1,0,0,0,0.19479943413613568,2.55,2.55,51,0.03292371451040783,1,1,40,40,0,0.7843137254901961,0,0,0.0,0.0,282.65998189526164,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,15,31015,cross_workspace,1,1,0,0,0,0.14147846585439833,3.15,3.15,63,0.015825482747609858,1,1,55,55,0,0.873015873015873,0,0,0.0,0.0,289.87291879324476,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,16,31016,cross_workspace,1,1,0,0,0,0.152833925815596,3.25,3.25,65,0.013442677078002108,1,1,53,53,0,0.8153846153846154,0,0,0.0,0.0,280.4620993941892,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,17,31017,cross_workspace,1,1,0,0,0,0.17190433496708127,2.75,2.75,55,0.031168979760917932,1,1,44,44,0,0.8,0,0,0.0,0.0,284.9102574747575,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,18,31018,cross_workspace,1,1,0,0,0,0.24147905021820767,2.35,2.35,47,0.027874308110117683,1,1,40,40,0,0.851063829787234,0,0,0.0,0.0,279.53631354613975,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,19,31019,cross_workspace,1,1,0,0,0,0.20740598859126844,2.6,2.6,52,0.01451717934317855,1,1,42,42,0,0.8076923076923077,0,0,0.0,0.0,288.58277144176037,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,20,31020,cross_workspace,1,1,0,0,0,0.14173477953893449,2.95,2.95,59,0.03208022710986074,1,1,48,48,0,0.8135593220338984,0,0,0.0,0.0,288.2263101359449,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,21,31021,cross_workspace,1,1,0,0,0,0.16489117238377382,2.8,2.8,56,0.025181889303054844,1,1,49,49,0,0.875,0,0,0.0,0.0,280.63753148205046,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,22,31022,cross_workspace,1,1,0,0,0,0.1028517174898307,3.25,3.25,65,0.023001143627448255,1,1,59,59,0,0.9076923076923077,3,3,0.15,0.057855751622924695,264.6779310735952,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,23,31023,cross_workspace,1,1,0,0,0,0.22876723264135448,2.5,2.5,50,0.006916549676219135,1,1,37,37,0,0.74,0,0,0.0,0.0,283.1184731156087,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-h036-v1,fixed_exact_h036_v1,24,31024,cross_workspace,0,0,1,1,1,-0.00016627837151154956,,7.15,143,0.3889826669461759,1,0,136,136,0,0.951048951048951,48,48,2.4,119.02606199911415,-90.63527598487761,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
