experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
no-human,no_human,0,30000,reach_object,1,1,0,0,0,0.4167477656618363,2.55,2.55,51,0.011744913227674566,1,1,41,41,0,0.803921568627451,0,0,0.0,0.0,280.25714408544866,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,1,30001,reverse,1,1,0,0,0,0.46015942858751463,2.45,2.45,49,0.011642019819781363,1,1,35,35,0,0.7142857142857143,0,0,0.0,0.0,282.9870432911488,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,2,30002,cross_workspace,1,1,0,0,0,0.31340531970742935,2.7,2.7,54,0.03247431758507058,1,1,45,45,0,0.8333333333333334,0,0,0.0,0.0,278.80804235058895,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,3,30003,cross_workspace,1,1,0,0,0,0.2471632470889595,2.85,2.85,57,0.009822493172490277,1,1,40,40,0,0.7017543859649122,0,0,0.0,0.0,284.05788977734227,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,4,30004,reach_target,1,1,0,0,0,0.39256818197057974,2.45,2.45,49,0.026008707004954293,1,1,40,40,0,0.8163265306122449,0,0,0.0,0.0,279.8828588734016,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,5,30005,reach_object,1,1,0,0,0,0.44930935730337135,2.7,2.7,54,0.0138984405597011,1,1,37,37,0,0.6851851851851852,0,0,0.0,0.0,281.1514131052259,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,6,30006,pause_and_continue,1,1,0,0,0,0.33564728638850305,3.35,3.35,67,0.02726317192995497,1,1,58,58,0,0.8656716417910447,0,0,0.0,0.0,281.31385150623754,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,7,30007,pause_and_continue,0,0,0,0,0,0.21985609855489022,,10.0,200,0.15166719611627413,1,0,189,189,0,0.945,0,0,0.0,0.0,34.140149453518234,timeout,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,8,30008,reach_target,1,1,0,0,0,0.3969231585867801,2.55,2.55,51,0.011075091608375302,1,1,43,43,0,0.8431372549019608,0,0,0.0,0.0,282.822550801937,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
no-human,no_human,9,30009,reverse,1,1,0,0,0,0.35550718147390314,3.0,3.0,60,0.0031772300204620896,1,1,36,36,0,0.6,0,0,0.0,0.0,284.0512569726874,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
