experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
ood,evaluation_ood,0,50000,pause_and_continue,0,0,1,1,1,-0.00034947652956395653,,1.85,37,0.4532192577498897,1,0,32,32,0,0.8648648648648649,8,1,0.05,105.44226855105555,-61.19719076652466,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,1,50001,pause_and_continue,1,1,0,0,0,0.20832475262136094,2.75,2.75,55,0.010891517236261444,1,1,36,36,0,0.6545454545454545,0,0,0.0,0.0,284.5295231963888,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,2,50002,pause_and_continue,0,0,1,1,1,-0.00018046567122567692,,2.4,48,0.28802750624501355,0,0,38,38,0,0.7916666666666666,12,11,0.55,108.6891958979025,-103.70006158851093,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,3,50003,cross_workspace,1,1,0,0,0,0.1322784708047172,3.8,3.8,76,0.030780501989448355,1,1,62,62,0,0.8157894736842105,0,0,0.0,0.0,289.348174609274,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,4,50004,cross_workspace,1,1,0,0,0,0.418207414931107,2.25,2.25,45,0.028726948491880556,1,1,37,37,0,0.8222222222222222,0,0,0.0,0.0,279.2832836732996,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,5,50005,reverse,1,1,0,0,0,0.35272005847121846,2.45,2.45,49,0.012221343450625049,1,1,33,33,0,0.673469387755102,0,0,0.0,0.0,280.02194731402074,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,6,50006,reverse,1,1,0,0,0,0.42243160053910633,2.65,2.65,53,0.0052702443952816385,1,1,39,39,0,0.7358490566037735,0,0,0.0,0.0,278.88596495831575,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,7,50007,cross_workspace,1,1,0,0,0,0.3330226483038109,3.35,3.35,67,0.005250795974872768,1,1,53,53,0,0.7910447761194029,0,0,0.0,0.0,285.6142698237317,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,8,50008,cross_workspace,1,1,0,0,0,0.15791821475278353,3.3,3.3,66,0.02391948552859436,1,1,48,48,0,0.7272727272727273,0,0,0.0,0.0,273.34283680177833,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,9,50009,reverse,1,1,0,0,0,0.303872416059244,2.85,2.85,57,0.012943083208243658,1,1,42,42,0,0.7368421052631579,0,0,0.0,0.0,270.19782735485023,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,10,50010,reverse,1,1,0,0,0,0.43227683906659475,2.85,2.85,57,0.011839875329255367,1,1,41,41,0,0.7192982456140351,0,0,0.0,0.0,280.78715446209014,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,11,50011,reverse,0,0,0,0,0,0.22109870835761222,,10.0,200,0.13263538871520023,0,0,186,186,0,0.93,0,0,0.0,0.0,-49.31158567277915,timeout,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,12,50012,cross_workspace,1,1,0,0,0,0.34739416223446906,3.05,3.05,61,0.020577296294048062,1,1,42,42,0,0.6885245901639344,0,0,0.0,0.0,284.2587656778117,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,13,50013,cross_workspace,1,1,0,0,0,0.2892768925775714,3.4,3.4,68,0.01974357373287704,1,1,47,47,0,0.6911764705882353,0,0,0.0,0.0,288.55200362494384,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,14,50014,cross_workspace,1,1,0,0,0,0.34121025915775116,2.95,2.95,59,0.00432634878491242,1,1,44,44,0,0.7457627118644068,0,0,0.0,0.0,284.1439459300699,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,15,50015,reverse,1,1,0,0,0,0.36131188474648235,2.65,2.65,53,0.006390177895719046,1,1,45,45,0,0.8490566037735849,0,0,0.0,0.0,266.7259323374184,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,16,50016,reverse,1,1,0,0,0,0.2656101741165676,3.35,3.35,67,0.032517440748032346,1,1,54,54,0,0.8059701492537313,0,0,0.0,0.0,291.19563022549903,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,17,50017,pause_and_continue,1,1,0,0,0,0.4159490877647798,2.4,2.4,48,0.019169777586775294,1,1,37,37,0,0.7708333333333334,0,0,0.0,0.0,267.348114854919,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,18,50018,reverse,1,1,0,0,0,0.33101414386414196,2.5,2.5,50,0.010818571886921933,1,1,45,45,0,0.9,0,0,0.0,0.0,281.4520254545989,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,19,50019,reverse,1,1,0,0,0,0.2549288603595685,3.05,3.05,61,0.02742776297716484,1,1,45,45,0,0.7377049180327869,0,0,0.0,0.0,290.0869523481833,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,20,50020,cross_workspace,1,1,0,0,0,0.3502427568514226,2.95,2.95,59,0.017154907614581928,1,1,50,50,0,0.847457627118644,0,0,0.0,0.0,285.2232208156603,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,21,50021,reverse,1,1,0,0,0,0.18039688698179407,2.8,2.8,56,0.0336222729902811,1,1,41,41,0,0.7321428571428571,0,0,0.0,0.0,288.13064439030217,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,22,50022,reverse,1,1,0,0,0,0.3326798250321866,3.3,3.3,66,0.002763859173617561,1,1,56,56,0,0.8484848484848485,0,0,0.0,0.0,286.53109641265814,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,23,50023,reverse,1,1,0,0,0,0.33661478400404543,2.8,2.8,56,0.005701778467643171,1,1,44,44,0,0.7857142857142857,0,0,0.0,0.0,285.2533327904222,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,24,50024,cross_workspace,1,1,0,0,0,0.13296732450042056,2.6,2.6,52,0.037652736140043566,1,1,40,40,0,0.7692307692307693,0,0,0.0,0.0,274.14728944166234,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,25,50025,reverse,1,1,0,0,0,0.34610098363836245,2.75,2.75,55,0.009838738882833877,1,1,45,45,0,0.8181818181818182,0,0,0.0,0.0,283.41135900061215,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,26,50026,reverse,1,1,0,0,0,0.3349202417662105,2.85,2.85,57,0.012459143730850887,1,1,51,51,0,0.8947368421052632,0,0,0.0,0.0,284.85972890466826,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,27,50027,reverse,1,1,0,0,0,0.28120696415468094,2.05,2.05,41,0.03938097626947983,1,1,33,33,0,0.8048780487804879,0,0,0.0,0.0,272.8414408066156,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,28,50028,reverse,1,1,0,0,0,0.347384875240352,2.45,2.45,49,0.031002968297457877,1,1,38,38,0,0.7755102040816326,0,0,0.0,0.0,280.2845438543569,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
ood,evaluation_ood,29,50029,reverse,1,1,0,1,1,0.05670032331620474,3.35,3.35,67,0.026778964328043595,1,1,52,52,0,0.7761194029850746,20,18,0.9,6.491688465881453,272.8959421414888,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
