experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,0,32000,cross_workspace,0,0,1,1,1,-0.00017751252303240678,,4.1,82,0.07460786343736048,1,0,71,71,0,0.8658536585365854,16,16,0.8,113.67605458906789,-85.97758425568276,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,1,32001,cross_workspace,0,0,1,1,1,-0.004645010370958134,,3.55,71,0.0364309441164305,1,1,57,57,0,0.8028169014084507,11,0,0.0,107.46327398386644,-23.66550656958286,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,2,32002,cross_workspace,1,1,0,0,0,0.12772602298980387,2.75,2.75,55,0.036760768862680385,1,1,51,51,0,0.9272727272727272,0,0,0.0,0.0,286.2925430328785,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,3,32003,cross_workspace,0,0,1,1,1,-0.00023113573993908954,,6.2,124,0.4156011194033789,1,0,118,118,0,0.9516129032258065,43,42,2.1,132.2832651234464,-129.29873707232372,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,4,32004,cross_workspace,0,0,1,1,1,-0.0003081775682644977,,3.8,76,0.05182913760914301,1,0,62,62,0,0.8157894736842105,22,19,0.95,120.82105754252144,-72.12283758954797,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,5,32005,cross_workspace,1,1,0,0,0,0.09901912014531632,2.95,2.95,59,0.02876792843021398,1,1,50,50,0,0.847457627118644,3,3,0.15,0.07964028997596456,272.6133544348059,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,6,32006,cross_workspace,1,1,0,0,0,0.2260331663592666,2.3,2.3,46,0.02086787006747628,1,1,42,42,0,0.9130434782608695,0,0,0.0,0.0,279.8577026031437,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,7,32007,cross_workspace,0,0,1,1,1,-0.00024648976102553677,,6.5,130,0.3914931706079781,1,0,118,118,0,0.9076923076923077,44,44,2.2,118.53989631956412,-88.62187100121255,human_collision,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,8,32008,cross_workspace,1,1,0,0,0,0.0854563935483245,3.15,3.15,63,0.03930325395411796,1,1,55,55,0,0.873015873015873,4,4,0.2,0.28470116371764453,290.58682813305836,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,9,32009,cross_workspace,1,1,0,0,0,0.11724635829994091,3.1,3.1,62,0.02731871832327735,1,1,57,57,0,0.9193548387096774,1,0,0.0,0.0010531309183755926,288.79867679818415,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,10,32010,cross_workspace,1,1,0,0,0,0.11386548161535627,2.95,2.95,59,0.02776160456726035,1,1,51,51,0,0.864406779661017,1,0,0.0,0.005226710529379426,288.63130618875334,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,11,32011,cross_workspace,1,1,0,0,0,0.09485598801144103,2.95,2.95,59,0.016164177299727345,1,1,49,49,0,0.8305084745762712,4,0,0.0,0.13462496116738068,288.2343016395775,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,12,32012,cross_workspace,1,1,0,0,0,0.11380389166749609,2.95,2.95,59,0.03653959471409944,1,1,43,43,0,0.7288135593220338,1,1,0.05,0.005332188676128379,288.87893975956155,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,13,32013,cross_workspace,1,1,0,0,0,0.18515308533926583,2.55,2.55,51,0.03185519407846148,1,1,42,42,0,0.8235294117647058,0,0,0.0,0.0,279.6961442508389,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,14,32014,cross_workspace,1,1,0,0,0,0.17722151983378853,2.55,2.55,51,0.01845778385370808,1,1,44,44,0,0.8627450980392157,0,0,0.0,0.0,282.50374596885445,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,15,32015,cross_workspace,1,1,0,0,0,0.20833685243902444,2.35,2.35,47,0.008814234507754724,1,1,40,40,0,0.851063829787234,0,0,0.0,0.0,280.7605917369741,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,16,32016,cross_workspace,1,1,0,0,0,0.1653199088508737,2.35,2.35,47,0.02733809713454416,1,1,46,46,0,0.9787234042553191,0,0,0.0,0.0,277.59540337702487,success,full_random,1,292e2e84e3746fd9ba2f182d82aadabbfb6ea13e43cf73f9750f397de6e98738,step_2000000_final_required_heldout
