experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed,constrained_fixed_height_randomized,0,31000,cross_workspace,0,0,0,0,0,0.5462309905611523,,1.3,26,0.27670539017040713,0,0,18,18,0,0.6923076923076923,0,0,0.0,0.0,-39.08895051348978,unsafe,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,1,31001,cross_workspace,0,0,1,1,1,-6.3560574260490554e-06,,7.1,142,0.31950923946700704,0,0,130,130,0,0.9154929577464789,52,42,2.1,124.91467537643801,-165.26877417387894,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,2,31002,cross_workspace,0,0,1,1,1,-2.8847944439969186e-05,,7.0,140,0.2877812126256498,0,0,126,126,0,0.9,48,48,2.4,127.58150072406465,-125.91564144945255,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,3,31003,cross_workspace,0,0,1,1,1,-9.1156009499882e-06,,6.85,137,0.2665881515273445,0,0,127,127,0,0.927007299270073,47,47,2.35,131.5780840996539,-129.02798692964856,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,4,31004,cross_workspace,0,0,1,1,1,-0.0001845809312157054,,7.0,140,0.21925415225033537,0,0,126,126,0,0.9,50,43,2.15,125.15906764024251,-126.07073446322956,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,5,31005,cross_workspace,0,0,1,1,1,-6.503685139476467e-05,,6.9,138,0.22231440479561468,0,0,123,123,0,0.8913043478260869,49,44,2.2,131.00980122603914,-130.66409890973884,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,6,31006,cross_workspace,0,0,1,1,1,-0.00021156326574722772,,7.05,141,0.3921487967589207,1,0,129,129,0,0.9148936170212766,50,42,2.1,121.16846035587344,-93.6684342643149,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,7,31007,cross_workspace,0,0,0,0,0,0.5352484378489154,,1.25,25,0.299204138709867,0,0,11,11,0,0.44,0,0,0.0,0.0,-40.7345361628156,unsafe,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,8,31008,cross_workspace,0,0,1,1,1,-0.00011427567104739522,,7.05,141,0.3037259631263617,0,0,119,119,0,0.8439716312056738,51,44,2.2,122.38710099704946,-117.49917570861544,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed,constrained_fixed_height_randomized,9,31009,cross_workspace,0,0,1,1,1,-6.894813165639335e-06,,7.0,140,0.29962705259341926,0,0,124,124,0,0.8857142857142857,48,48,2.4,124.38032958002464,-119.63171667214468,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
