experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,episode_duration,episode_length,placement_error,grasp_success,lift_success,safety_interventions,safety_clamped_steps,safety_vetoed_steps,safety_clamp_rate,proximity_steps,waiting_steps,waiting_time,human_safety_cost,reward,termination,training_method,training_seed,model_sha256,selected_checkpoint
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,0,32000,cross_workspace,0,0,1,1,1,-0.00017013715590979972,,6.15,123,0.155557526822495,1,0,104,104,0,0.8455284552845529,45,45,2.25,135.96543154123657,-103.43817475423437,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,1,32001,cross_workspace,0,0,1,1,1,-0.00017868724643123335,,6.2,124,0.32431865749266997,0,0,114,114,0,0.9193548387096774,43,43,2.15,129.64635096013714,-125.81971363986462,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,2,32002,cross_workspace,0,0,1,1,1,-0.00010744692580164084,,6.1,122,0.34605088234877024,0,0,116,116,0,0.9508196721311475,42,42,2.1,136.85808831507342,-136.71144630365228,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,3,32003,cross_workspace,0,0,1,1,1,-3.091875315706233e-05,,5.85,117,0.3687547616413916,0,0,104,104,0,0.8888888888888888,45,45,2.25,158.41247122566187,-158.63823502871733,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,4,32004,cross_workspace,0,0,1,1,1,-7.718177590743114e-05,,6.05,121,0.39519068493987997,0,0,107,107,0,0.8842975206611571,42,42,2.1,137.27934099079755,-135.93049693812515,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,5,32005,cross_workspace,0,0,1,1,1,-0.00015104433593708666,,6.05,121,0.3553312349602375,0,0,114,114,0,0.9421487603305785,42,39,1.95,138.4498301626178,-135.55572623612804,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,6,32006,cross_workspace,0,0,1,1,1,-3.010568800107527e-05,,6.2,124,0.17371615949522223,0,0,100,100,0,0.8064516129032258,44,42,2.1,130.81145902291735,-126.06893818076861,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,7,32007,cross_workspace,0,0,1,1,1,-0.00016812827648271522,,6.15,123,0.32601167965226086,0,0,112,112,0,0.9105691056910569,43,43,2.15,134.6935267743351,-132.2250042850846,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,8,32008,cross_workspace,0,0,1,1,1,-0.00031103423267106467,,6.55,131,0.49346811091929577,1,0,122,122,0,0.9312977099236641,44,44,2.2,115.72250794249769,-74.79904608856836,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
fixed-exact-shifted-h036-v1,fixed_exact_shifted_h036_v1,9,32009,cross_workspace,0,0,1,1,1,-0.00018423141761976514,,6.2,124,0.35800354292677516,0,0,116,116,0,0.9354838709677419,43,43,2.15,129.72240666974125,-125.40982063329663,human_collision,full_random,2,b032af7dd3c19ab9d269cd792ead664c8f2384e968b2dae5a51f6d15eb479ff3,callback_best
