COMMAND: D:\Games\piper_sim\.venv\Scripts\python.exe -B -m piper_rl.scripts.train --task human-aware --human-preset randomized --human-difficulty 1.0 --algo sac --timesteps 2000000 --n-envs 4 --seed 2 --run-name human_aware_random_full_s2 --out runs --eval-freq 20000 --n-eval-episodes 15 --checkpoint-freq 50000 --action-mode cartesian --device auto
Using cpu device

======================================================================
SAC  |  2,000,000 steps  |  4 env(s)  |  obs (64,)  |  act (5,)
run dir: runs\human_aware_random_full_s2
======================================================================

Logging to runs\human_aware_random_full_s2\tb\SAC_1
D:\Games\piper_sim\.venv\Lib\site-packages\stable_baselines3\common\callbacks.py:419: UserWarning: Training and eval env are not of the same type<stable_baselines3.common.vec_env.subproc_vec_env.SubprocVecEnv object at 0x000001FDDD553ED0> != <stable_baselines3.common.vec_env.dummy_vec_env.DummyVecEnv object at 0x000001FDDD513350>
  warnings.warn("Training and eval env are not of the same type" f"{self.training_env} != {self.eval_env}")
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0        |
|    collision_steps             | 0        |
|    completion_time             | 5.44     |
|    ep_len                      | 109      |
|    ep_len_mean                 | 99.5     |
|    ep_rew_mean                 | -71.8    |
|    episodes                    | 9        |
|    grasp_rate                  | 0.333    |
|    human_collision_rate        | 0.444    |
|    human_difficulty            | 1        |
|    human_safety_cost           | 81.8     |
|    lift_rate                   | 0        |
|    minimum_human_distance      | 0.0193   |
|    near_misses                 | 0.667    |
|    place_err_mm                | 326      |
|    proximity_steps             | 31.9     |
|    safety_clamped              | 94.6     |
|    success_rate                | 0.1      |
|    waiting_steps               | 7.33     |
| time/                          |          |
|    episodes                    | 10       |
|    fps                         | 213      |
|    time_elapsed                | 6        |
|    total_timesteps             | 1304     |
---------------------------------------------
---------------------------------------------
| rollout/                       |          |
|    collision_free_success_rate | 0.125    |
|    collision_steps             | 0        |
|    completion_time             | 4.92     |
|    ep_len                      | 98.4     |
|    episodes                    | 16       |
|    grasp_rate                  | 0.312    |
|    human_collision_rate        | 0.5      |
|    human_difficulty            | 1        |
|    human_safety_cost           | 76       |
