experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,placement_error,grasp_success,lift_success,safety_interventions,human_safety_cost,reward,termination
fixed,evaluation_fixed_id,0,1000,cross_workspace,1,1,0,0,0,0.22629474297168836,2.5,0.017614450309104263,1,1,38,0.0,282.17201317786106,success
fixed,evaluation_fixed_id,1,1001,cross_workspace,1,1,0,0,0,0.21518635913962658,2.75,0.02167668215853876,1,1,49,0.0,286.8828175641655,success
fixed,evaluation_fixed_id,2,1002,cross_workspace,1,1,0,0,0,0.21948879005039365,2.7,0.030301742987614996,1,1,44,0.0,270.85186514138366,success
fixed,evaluation_fixed_id,3,1003,cross_workspace,1,1,0,0,0,0.1356290116900699,2.7,0.01263850641121224,1,1,40,0.0,287.2542370365742,success
fixed,evaluation_fixed_id,4,1004,cross_workspace,1,1,0,0,0,0.18226412480376444,2.7,0.01870692483697874,1,1,45,0.0,285.28784398116284,success
fixed,evaluation_fixed_id,5,1005,cross_workspace,1,1,0,0,0,0.13435978817569721,2.5500000000000003,0.006430848489258963,1,1,37,0.0,282.99384690552984,success
fixed,evaluation_fixed_id,6,1006,cross_workspace,1,1,0,0,0,0.14953025285633295,2.7,0.013660394617947236,1,1,36,0.0,282.2822295956389,success
fixed,evaluation_fixed_id,7,1007,cross_workspace,1,1,0,0,0,0.23922108846904358,2.4000000000000004,0.004885331691180054,1,1,38,0.0,281.40734045009924,success
fixed,evaluation_fixed_id,8,1008,cross_workspace,0,0,1,1,1,-0.0006434765481435414,3.7,0.1765887766188872,1,0,56,110.66869297555778,-91.88264683163142,human_collision
fixed,evaluation_fixed_id,9,1009,cross_workspace,1,1,0,0,0,0.16056885660332126,2.8000000000000003,0.013724767588038965,1,1,43,0.0,272.0031854034664,success
fixed,evaluation_fixed_id,10,1010,cross_workspace,1,1,0,0,0,0.11840787346834816,2.6500000000000004,0.035096013327347395,1,1,29,0.000352064846220791,273.40828839286576,success
fixed,evaluation_fixed_id,11,1011,cross_workspace,1,1,0,0,0,0.2583873997176752,2.4000000000000004,0.012856645337692131,1,0,31,0.0,256.36718039878804,success
fixed,evaluation_fixed_id,12,1012,cross_workspace,1,1,0,0,0,0.16801602385311284,2.5,0.015538583135567649,1,1,40,0.0,269.7476802282766,success
fixed,evaluation_fixed_id,13,1013,cross_workspace,0,0,1,1,1,-5.272880597012586e-05,6.5,0.22206695532216914,0,0,105,146.26299693962355,-170.88782178920133,human_collision
fixed,evaluation_fixed_id,14,1014,cross_workspace,1,1,0,0,0,0.1282629212828167,2.6500000000000004,0.020944993686071826,1,1,43,0.0,282.33316400551973,success
fixed,evaluation_fixed_id,15,1015,cross_workspace,1,1,0,0,0,0.3278307444953269,2.1,0.014377385280831365,1,1,27,0.0,280.39522442040595,success
fixed,evaluation_fixed_id,16,1016,cross_workspace,1,1,0,0,0,0.16976876196180382,2.8000000000000003,0.006680180395691424,1,1,46,0.0,268.419214108342,success
fixed,evaluation_fixed_id,17,1017,cross_workspace,1,1,0,0,0,0.3039967864424994,2.2,0.0074994079380641555,1,1,36,0.0,278.1603055395374,success
fixed,evaluation_fixed_id,18,1018,cross_workspace,1,1,0,1,1,0.006279296191743285,3.6,0.022586717062795227,1,1,61,7.728784296330609,271.88049073987406,success
fixed,evaluation_fixed_id,19,1019,cross_workspace,1,1,0,0,0,0.23689607631945728,2.5,0.015711650018530757,1,1,43,0.0,284.01403621051645,success
fixed,evaluation_fixed_id,20,1020,cross_workspace,1,1,0,0,0,0.24575201990268233,2.6500000000000004,0.015120240643848998,1,1,42,0.0,269.2943753606014,success
fixed,evaluation_fixed_id,21,1021,cross_workspace,1,1,0,0,0,0.25305836784551705,2.6500000000000004,0.014051787418041797,1,1,45,0.0,271.0399163342904,success
fixed,evaluation_fixed_id,22,1022,cross_workspace,1,1,0,0,0,0.17347518488343905,2.35,0.012525927542517775,1,1,31,0.0,280.6206795909955,success
fixed,evaluation_fixed_id,23,1023,cross_workspace,1,1,0,0,0,0.14187606439650846,2.6,0.00907461857663129,1,1,40,0.0,281.73275401058635,success
fixed,evaluation_fixed_id,24,1024,cross_workspace,1,1,0,0,0,0.11964377113303337,2.75,0.017064035816986328,1,1,48,1.762486189726728e-05,285.0106812770914,success
fixed,evaluation_fixed_id,25,1025,cross_workspace,0,0,1,1,2,-0.00019098398361375168,6.7,0.17646719506661743,1,0,117,159.20736841092815,-126.16178916788311,human_collision
fixed,evaluation_fixed_id,26,1026,cross_workspace,1,1,0,0,0,0.19314991144967422,2.6,0.021728544960202874,1,1,34,0.0,281.37669389634965,success
fixed,evaluation_fixed_id,27,1027,cross_workspace,1,1,0,0,0,0.1926596933074011,2.6500000000000004,0.01637203511499782,1,1,42,0.0,281.3864446133773,success
fixed,evaluation_fixed_id,28,1028,cross_workspace,1,1,0,0,0,0.11867358493802353,3.0500000000000003,0.021571329695620645,1,1,45,0.0002443579050886145,284.30803928205864,success
fixed,evaluation_fixed_id,29,1029,cross_workspace,1,1,0,0,0,0.25660416374199213,2.35,0.020040671359824947,1,1,34,0.0,278.7121024558263,success
