experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,placement_error,grasp_success,lift_success,safety_interventions,human_safety_cost,reward,termination
ood,evaluation_ood,0,3000,pause_and_continue,0,0,0,0,0,0.07110439189333571,5.9,0.35733569246794183,1,0,103,1.0234160455350179,-200.48424396686875,object_lost
ood,evaluation_ood,1,3001,cross_workspace,1,1,0,0,0,0.3724065639142473,3.1500000000000004,0.03674352560153281,1,1,50,0.0,277.94112368308964,success
ood,evaluation_ood,2,3002,pause_and_continue,1,1,0,0,0,0.24520790919157728,3.9000000000000004,0.013553878138172928,1,1,65,0.0,281.9253689113676,success
ood,evaluation_ood,3,3003,cross_workspace,1,1,0,0,0,0.4115589743730369,2.45,0.023509250953641484,1,1,38,0.0,278.3894082089309,success
ood,evaluation_ood,4,3004,reverse,1,1,0,0,0,0.3504619741529086,2.6,0.007508229970786403,1,1,44,0.0,276.74461490782835,success
ood,evaluation_ood,5,3005,reverse,1,1,0,0,0,0.37825150394521034,2.95,0.00837074910535236,1,1,50,0.0,283.2238158231925,success
ood,evaluation_ood,6,3006,pause_and_continue,1,1,0,0,0,0.27660509810816836,2.6500000000000004,0.03533394776653547,1,1,47,0.0,283.49388938167124,success
ood,evaluation_ood,7,3007,reverse,1,1,0,0,0,0.42282880550555624,2.75,0.013779012947122438,1,1,47,0.0,280.81673719436856,success
ood,evaluation_ood,8,3008,cross_workspace,0,0,1,1,1,-0.010012745364335988,2.75,0.14275476522803113,1,0,48,108.95763982026632,-133.94541757401717,human_collision
ood,evaluation_ood,9,3009,reverse,1,1,0,0,0,0.13271997826071177,3.8000000000000003,0.032996974265138326,1,1,70,0.0,266.49468313401707,success
ood,evaluation_ood,10,3010,reverse,1,1,0,0,0,0.2634885090966548,2.9000000000000004,0.007652792140304262,1,1,38,0.0,287.6875076046798,success
ood,evaluation_ood,11,3011,pause_and_continue,1,1,0,0,0,0.24579626673773072,3.6,0.00911143266639085,1,1,61,0.0,283.4945883503982,success
ood,evaluation_ood,12,3012,reverse,1,1,0,0,0,0.3777890565890766,3.6500000000000004,0.008062130204519166,1,1,57,0.0,286.3965403989351,success
ood,evaluation_ood,13,3013,reverse,1,1,0,0,0,0.12192162271076065,3.0500000000000003,0.030549118450896577,1,1,56,0.0,281.2269526884804,success
ood,evaluation_ood,14,3014,cross_workspace,1,1,0,0,0,0.24526433140716405,3.25,0.014210964800752297,1,1,53,0.0,286.1403137006094,success
ood,evaluation_ood,15,3015,cross_workspace,1,1,0,0,0,0.35327740574588895,4.05,0.006865343080443553,1,1,71,0.0,286.39752555108055,success
ood,evaluation_ood,16,3016,pause_and_continue,1,1,0,0,0,0.07909640454355431,4.6000000000000005,0.03670331595786967,1,1,78,3.9777599872869045,278.352198547829,success
ood,evaluation_ood,17,3017,reverse,1,1,0,0,0,0.4092545223470541,3.35,0.001991005782958624,1,1,50,0.0,283.88772941543596,success
ood,evaluation_ood,18,3018,reverse,0,0,0,0,0,0.06125622861709422,7.75,0.47873862177961,0,0,139,5.061540362881622,-223.31597117932918,object_lost
ood,evaluation_ood,19,3019,cross_workspace,1,1,0,0,0,0.38877150341972244,2.8000000000000003,0.0066565967499685845,1,1,44,0.0,285.0500965205374,success
ood,evaluation_ood,20,3020,pause_and_continue,0,0,1,1,2,-0.0004265175665952303,7.300000000000001,0.1661006088909456,1,0,136,136.4508452791872,-160.91441418723448,human_collision
ood,evaluation_ood,21,3021,cross_workspace,1,1,0,0,0,0.26943461753501674,3.0500000000000003,0.010033388998005379,1,1,42,0.0,287.4213658482966,success
ood,evaluation_ood,22,3022,reverse,1,1,0,0,0,0.11505976998614068,3.0500000000000003,0.0404429319253681,1,1,46,0.0033897045263661754,279.06267798619837,success
ood,evaluation_ood,23,3023,reverse,0,0,0,1,1,0.0321608761636413,7.65,0.16844449311979545,0,0,146,10.547627622442386,-198.5523444797956,object_lost
ood,evaluation_ood,24,3024,pause_and_continue,1,1,0,0,0,0.2946453151705133,2.7,0.01730694413630825,1,1,50,0.0,276.75171477285556,success
ood,evaluation_ood,25,3025,reverse,1,1,0,0,0,0.18301289788991293,3.3000000000000003,0.03344608057834079,1,1,44,0.0,286.80022482514545,success
ood,evaluation_ood,26,3026,reverse,0,0,0,1,1,-0.035148989586488086,10.0,0.3653702494415774,0,0,169,174.90621216451942,-191.17292364457333,timeout
ood,evaluation_ood,27,3027,reverse,1,1,0,0,0,0.3397708297580081,3.1,0.02423280276154212,1,1,48,0.0,286.43566384206,success
ood,evaluation_ood,28,3028,reverse,1,1,0,0,0,0.13160891556867824,3.45,0.013674707174977298,1,1,57,0.0,283.89210293798635,success
ood,evaluation_ood,29,3029,pause_and_continue,1,1,0,0,0,0.3137952795339226,3.5500000000000003,0.020779084443714117,1,1,61,0.0,286.3740018322875,success
