experiment,distribution,episode,seed,trajectory_type,task_success,collision_free_success,human_collision,near_miss,near_miss_events,minimum_separation,completion_time,placement_error,grasp_success,lift_success,safety_interventions,human_safety_cost,reward,termination
randomized-id,evaluation_id,0,2000,reach_object,1,1,0,0,0,0.1004479410470111,3.6500000000000004,0.013612633014404404,1,1,56,0.07920899004917849,278.3120253114223,success
randomized-id,evaluation_id,1,2001,reach_target,1,1,0,0,0,0.14489777190257175,3.1500000000000004,0.024236134972585317,1,1,50,0.0,270.3076802919684,success
randomized-id,evaluation_id,2,2002,reach_target,1,1,0,0,0,0.210617271295561,2.6500000000000004,0.010979350800631192,1,1,44,0.0,281.0747188080949,success
randomized-id,evaluation_id,3,2003,cross_workspace,1,1,0,0,0,0.31859632080151346,3.25,0.012387315939177261,1,1,42,0.0,284.2356114895565,success
randomized-id,evaluation_id,4,2004,reverse,1,1,0,0,0,0.0987529383646818,3.1500000000000004,0.023334680699584484,1,1,50,0.07243339937892383,270.6452249449148,success
randomized-id,evaluation_id,5,2005,pause_and_continue,1,1,0,0,0,0.19791598691084167,2.6500000000000004,0.026709354398385406,1,1,40,0.0,283.0263825133587,success
randomized-id,evaluation_id,6,2006,cross_workspace,0,0,1,1,1,-0.024944356724020948,3.5,0.31763887147148623,1,0,51,118.11401276605983,-113.64449737351472,human_collision
randomized-id,evaluation_id,7,2007,pause_and_continue,1,1,0,0,0,0.2833276603685895,3.0,0.004664992482188893,1,1,48,0.0,283.211441350942,success
randomized-id,evaluation_id,8,2008,reverse,1,1,0,0,0,0.3580964206810623,2.6500000000000004,0.016381393966418398,1,1,38,0.0,276.7699691642464,success
randomized-id,evaluation_id,9,2009,reverse,1,1,0,0,0,0.27230388830260754,2.75,0.020725202083013875,1,1,39,0.0,282.0070842438995,success
randomized-id,evaluation_id,10,2010,reach_object,1,1,0,0,0,0.3136656228349608,3.4000000000000004,0.02317815144685786,1,1,53,0.0,281.2527772879847,success
randomized-id,evaluation_id,11,2011,reach_object,1,1,0,0,0,0.23086199095699014,3.5500000000000003,0.014184681238978656,1,1,58,0.0,283.14487356943687,success
randomized-id,evaluation_id,12,2012,reach_object,0,0,0,0,0,0.08518816683380499,10.0,0.36068463335499046,0,0,184,3.847282007748231,-13.342768624489223,timeout
randomized-id,evaluation_id,13,2013,pause_and_continue,0,0,1,1,1,-0.0003566399937456888,6.9,0.4104234161075248,1,0,131,114.30082859733034,-88.09681103276236,human_collision
randomized-id,evaluation_id,14,2014,pause_and_continue,0,0,1,1,2,-0.00019272237629718025,6.4,0.46734745634094343,1,0,109,149.05673173848263,-135.32024584582405,human_collision
randomized-id,evaluation_id,15,2015,reverse,1,1,0,0,0,0.33327107165578507,2.6,0.025340238064433057,1,1,41,0.0,272.81539420731735,success
randomized-id,evaluation_id,16,2016,reverse,1,1,0,0,0,0.11455135411726536,4.3,0.01131892264440401,1,1,73,0.0072898991818405225,282.0703713124355,success
randomized-id,evaluation_id,17,2017,reach_object,0,0,0,1,1,0.05082902604391033,10.0,0.18514481583279246,1,0,180,16.468149169133618,-25.982157343410243,timeout
randomized-id,evaluation_id,18,2018,cross_workspace,1,1,0,0,0,0.3253404334454241,2.95,0.012245849739823312,1,1,48,0.0,287.5104110695507,success
randomized-id,evaluation_id,19,2019,reach_target,1,1,0,0,0,0.3887201217153786,2.8000000000000003,0.01641550911873341,1,1,46,0.0,284.04558197906493,success
randomized-id,evaluation_id,20,2020,reach_target,1,1,0,0,0,0.23765938393154104,2.8000000000000003,0.01985291129603302,1,1,36,0.0,286.7272885369466,success
randomized-id,evaluation_id,21,2021,reach_object,0,0,0,1,1,0.016559897641931068,10.0,0.1133557026057037,0,0,191,52.702330735930104,-65.97755818394052,timeout
randomized-id,evaluation_id,22,2022,reverse,1,1,0,0,0,0.2559881011321177,3.0,0.01351716917837568,1,1,47,0.0,286.236250664914,success
randomized-id,evaluation_id,23,2023,reach_target,1,1,0,0,0,0.3427969915167669,2.85,0.012272680043563591,1,1,46,0.0,286.0229113104662,success
randomized-id,evaluation_id,24,2024,cross_workspace,1,1,0,0,0,0.19597660015418142,3.6500000000000004,0.005705052067627286,1,1,48,0.0,289.16895168066065,success
randomized-id,evaluation_id,25,2025,cross_workspace,1,1,0,0,0,0.08164272512714883,3.4000000000000004,0.02928756034569304,1,1,57,0.3989571717051106,277.2782880552594,success
randomized-id,evaluation_id,26,2026,pause_and_continue,1,1,0,0,0,0.2751407214937508,2.35,0.008618349421279967,1,1,40,0.0,280.41379258060067,success
randomized-id,evaluation_id,27,2027,reach_target,1,1,0,0,0,0.08024125783241903,2.85,0.015917883805345256,1,1,35,0.4998136076478057,267.5705813334047,success
randomized-id,evaluation_id,28,2028,reach_object,1,1,0,0,0,0.1898942310113301,3.35,0.01094709733756775,1,1,51,0.0,286.8446530993834,success
randomized-id,evaluation_id,29,2029,reverse,1,1,0,0,0,0.2935243604010221,3.75,0.005116498828713795,1,1,58,0.0,286.2348278678081,success
