episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,30000,30000,30000,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,195.54861977315664,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,161,189,0,0.945,0.32705701425206696,-0.3852723407066261,-2.412306615453284,0.023248356419346666,0.03634407118723642,0.05713619631853544,1.811771820929556,1.2156651192880168,0.33532728300522646,0.2665723354347781,0.9283198274517569,0.984558076517463,1.020694126855675,-128.8243582706033
1,30001,30001,30001,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,339.09224525531477,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,149,0,0.745,0.3325176152262667,-0.24942285141218828,0.03228751597253465,0.0223440392261996,0.031212007881306614,0.03731188608934077,1.0931527093990399,1.1449436442425767,0.3570851997465893,0.662976419228492,0.9890619386082568,1.0483182264128017,0.9491347356540185,-10.493022581053701
2,30002,30002,30002,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,287.4063470122846,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,115,0,0.575,0.33214596386201695,-0.17798664132981545,-0.44616652917977406,0.027164928906732805,0.03184350572599488,0.06842173055377482,1.1353489337822151,0.7340100103704447,0.35465966532336257,0.6137724507545921,1.0400232922476478,1.0032652373978965,1.0716146407160902,-19.163943076642266
3,30003,30003,30003,6a22834,ckpt_sac_full_00349944,0,1,0,object_lost,134,386.3612853753899,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,111,0,0.8283582089552238,0.3808204516853743,-0.3197116332399113,-2.8560330374370837,0.024067925443816814,0.03581465566623147,0.06978743615295413,1.6492513725047862,1.329287551551232,0.3248639045877714,0.6659663015954231,0.9728221085218524,0.9993673650555632,1.2151087006490093,-179.2409376409228
4,30004,30004,30004,6a22834,ckpt_sac_full_00349944,1,1,0,success,162,42.005834275701154,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,149,0,0.9197530864197531,0.3171634861047361,-0.27964519878757743,-1.3622593623103016,0.026722859832980613,0.03458144386755109,0.05661632122044408,1.6596300257772505,0.9977400794349844,0.3791026415997995,0.5557279085939071,1.0872445116995448,1.0236822373336059,0.8632024642621747,190.58937751350825
5,30005,30005,30005,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,293.513615465023,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,108,180,0,0.9,0.3271498417260805,-0.18116229059618305,-0.5854497917938746,0.024938532560202033,0.038007082977966976,0.09048692911849676,1.2376916340017632,0.938811659982581,0.3417737992743752,0.5874492578554672,0.9793919842837386,1.0221707487712712,1.0679126545286006,-60.61832061354275
6,30006,30006,30006,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,135.36384571251963,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,185,0,0.925,0.3023878089383753,-0.4256280868906135,-0.7057494183861901,0.022258073657354115,0.03221164922364961,0.035580388464831816,1.4142503226320167,1.0764801193113014,0.304704413181816,0.576524317424441,1.067485378177647,1.0035494076307037,1.2869909711469054,-18.404631045917736
7,30007,30007,30007,6a22834,ckpt_sac_full_00349944,0,1,0,unsafe,28,427.8025568585589,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,15,0,0.5357142857142857,0.35752758346805297,-0.7040377695299846,-0.43763253305335503,0.024960018505746712,0.0334888329116718,0.09901127120768934,1.3346544716296906,0.7060375639520589,0.30329945040456446,0.693131145610091,0.9560727553657679,0.9293201829393666,1.0404794768795607,-37.84874919253722
8,30008,30008,30008,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,174.7326974724499,nan,nan,-1,0,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,168,0,0.84,0.3800860762147235,-0.3995344694953464,-0.15730713132752738,0.02178009150176172,0.03563518375810096,0.10433376476288106,1.3980335526707786,1.306087036330506,0.33171820696300425,0.23429225782791857,1.0751617073250028,1.0069630585087361,0.9605855114276735,-13.861235405653055
9,30009,30009,30009,6a22834,ckpt_sac_full_00349944,0,1,0,timeout,200,315.64666523697315,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,186,0,0.93,0.3190639441226543,-0.505386229090332,-3.1362692281499998,0.024102039005192765,0.03679471537753926,0.05531370945553771,1.9014358457552272,1.3336196592629497,0.3053927859540511,0.5466226088278759,1.065120195511467,1.0524523659436802,1.1071953703043382,24.619732454579506
10,30010,30010,30010,6a22834,ckpt_sac_full_00349944,1,1,0,success,90,18.497422607585097,69.87948640722121,40.8586800908613,51,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,57,0,0.6333333333333333,0.35433462226681217,-0.1872204239327,1.933099539691371,0.023640255387884796,0.03864155335461733,0.08065749099315048,1.6019791749414867,1.047005268024412,0.35054875299539345,0.6798983678541652,1.0907717557869567,1.046376375253371,0.999449079645053,265.5026380924146
11,30011,30011,30011,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,300.0730795976721,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,188,0,0.94,0.3253338139664903,-0.47747692351906956,-1.1775747172764555,0.027285777490229743,0.03400846877092341,0.05048626616933033,1.413854680635321,0.9817366565663526,0.3404874229874509,0.29551225920761043,0.9839955633319507,1.1353577839148377,1.0930832062350995,-0.3643466137707803
12,30012,30012,30012,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,117.04120074238952,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,185,0,0.925,0.35793653529620784,-0.2299907604238327,-1.8902900004247234,0.02298378545038329,0.036296972913467555,0.043598733716582426,0.9397939809069189,0.9091038567766242,0.34557053691799433,0.2766582014446109,1.039653535204743,1.0483208519171152,1.03965465502178,-16.242358866248086
13,30013,30013,30013,6a22834,ckpt_sac_full_00349944,0,0,0,timeout,200,220.62132065766934,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,147,0,0.735,0.304900879985751,-0.37683371833030427,-2.4081375644067338,0.020928896693662737,0.03166586154385383,0.051059478404410816,1.0011147457359773,0.6851321580056657,0.3109598210393862,0.3928746700747351,1.0829082221496715,1.0025962338576575,0.881442088685968,-15.151612157019121
14,30014,30014,30014,6a22834,ckpt_sac_full_00349944,1,1,1,success,98,5.269450668892518,7.301254146336783,7.5473081404797275,74,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,72,0,0.7346938775510204,0.3834728583352324,-0.3363433872365509,-2.034519335574054,0.02326872444769587,0.03218785747646115,0.08183477193591995,1.7158836977091296,0.6107023951578425,0.3304672029879568,0.47460310138999434,1.0090299835520018,1.0749019914640308,1.1688116746947075,283.77030376595184
15,30015,30015,30015,6a22834,ckpt_sac_full_00349944,0,1,0,unsafe,23,350.93970152941876,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,11,0,0.4782608695652174,0.3507987531122389,-0.4134885929917352,1.8903843587232085,0.024466330567026833,0.032860894164399225,0.03497890269429775,1.418006259871246,1.0965785885336694,0.35121105396300123,0.6321898634469603,1.0565058568210173,1.0133017887230193,1.0023779091903076,-40.53418360643997
