episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,10000,10000,10000,07025ed,solver_extremeB_s0,1,1,1,success,52,17.031717526293008,26.173177870073133,5.140150611439565,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,37,0,0.7115384615384616,0.34650213620974163,-0.49272847459079877,0.4666878438611253,0.02606150019228324,0.03402245796081144,0.06883726493069942,1.7120645961350336,1.1097483906769772,0.3194329216251005,0.2651480908148421,0.9651617991336686,1.0226663909637435,0.9894097406532532,281.7325216767981
1,10001,10001,10001,07025ed,solver_extremeB_s0,1,1,1,success,60,17.775034389543027,19.051696136944333,3.2117805430828787,51,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,47,0,0.7833333333333333,0.36433257808453184,-0.37749666945190546,-1.0148296085048982,0.022380771670345353,0.030048680423544666,0.11926055357156669,1.5848112116268025,0.7596027481016826,0.3327271934073074,0.33978190337530917,1.0030593569454231,1.0351830968973859,1.2141767058202135,284.3657358745718
2,10002,10002,10002,07025ed,solver_extremeB_s0,1,1,1,success,69,11.82885743043377,21.600923579271104,10.348689000616362,63,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,49,0,0.7101449275362319,0.35716673094864143,-0.5899916176647074,0.31051653589388195,0.026786700858515266,0.03328727632500454,0.06381292925654256,1.7423066962920157,0.8136680137316841,0.30073072122250893,0.5319689741382219,0.9875484962401017,1.10017860733879,0.9060650466384069,284.98546039401003
3,10003,10003,10003,07025ed,solver_extremeB_s0,1,1,1,success,54,12.334800603502382,13.287588507597873,5.109539540633716,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,46,0,0.8518518518518519,0.36193456790843387,-0.31665040627234015,3.1294196865011132,0.022645355149495516,0.03346643845896945,0.04963379978759941,1.2961168832267056,1.2267706348243808,0.3221393438358416,0.48557448746656573,1.067374225825383,1.1228845242944299,0.9132262352760283,283.4873714859513
4,10004,10004,10004,07025ed,solver_extremeB_s0,1,1,1,success,58,14.286319555990504,11.72923738809206,14.604389936234444,49,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,41,0,0.7068965517241379,0.37554623838424356,-0.5608707300304765,-0.2539994731586632,0.022119808904799327,0.033565111518183935,0.07951617591907278,1.375982436884838,0.9271810813153938,0.3326868599049136,0.339831398853679,1.016764677820612,0.9891622443944467,0.8895716051960915,288.61633624042383
5,10005,10005,10005,07025ed,solver_extremeB_s0,1,1,1,success,55,13.319577897145908,15.362595124098313,5.183361990161281,49,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,50,0,0.9090909090909091,0.3190150848124592,-0.5461305710478462,2.990276313540086,0.023189532976082845,0.03641315602064107,0.10720293965999607,1.4554165633897775,0.7088857625597678,0.3661223819112738,0.45998867077848893,1.026668211270987,0.8898392042478321,0.9485661851198433,286.25635426913595
6,10006,10006,10006,07025ed,solver_extremeB_s0,1,1,1,success,51,7.455450218790435,25.304638648127714,19.33310272596374,45,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,46,0,0.9019607843137255,0.31256222959199026,-0.3288763908915468,-0.5478255727962629,0.02199750531777666,0.03495041369827978,0.06964300620057373,1.950910915550707,0.7799621585790727,0.366591443998499,0.42386881746346,0.99349677369045,1.1110992659032497,1.1506458475631707,286.3057214037562
7,10007,10007,10007,07025ed,solver_extremeB_s0,1,1,1,success,65,9.18480678583104,13.136295957832699,5.140841090376589,60,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,54,0,0.8307692307692308,0.3740972484679659,-0.7008813566278723,-0.7141752512816559,0.025845966905091625,0.032085664210961394,0.03202874808915681,1.5684357906228228,1.0091631041844344,0.37153997358795054,0.4103982644184369,0.9091088730827211,1.0443350020436912,1.2386227860427668,293.4465618550656
8,10008,10008,10008,07025ed,solver_extremeB_s0,1,1,1,success,63,34.9312386303784,40.69620678285953,6.269241306427936,58,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,46,0,0.7301587301587301,0.3518753770578074,-0.4769654263546926,0.8520480934281047,0.024233957237345335,0.03242840784449996,0.07109149610912678,1.0427321006432626,0.9363347233231514,0.3774056766338583,0.691809265833455,1.0958217876814655,1.041096932498062,0.945617705165698,275.66346318097067
9,10009,10009,10009,07025ed,solver_extremeB_s0,0,1,0,timeout,200,201.20932247074845,nan,nan,-1,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,172,0,0.86,0.34701057551234377,-0.4157367513435309,0.6517915318356415,0.02359430359908683,0.03702366773720943,0.031709411292078,1.061901949164674,1.2863539938571071,0.3393627027520553,0.5959567125958339,0.9995582191277929,1.017157931990154,1.0308019909529644,-22.04740163439238
