episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,40000,40000,900000,6a22834,v2_nested_200x10,1,1,1,success,55,11.62021298407622,27.191020380338,13.930261723196608,49,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,48,0,0.8727272727272727,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,282.75184003175195
1,40001,40000,900001,6a22834,v2_nested_200x10,1,1,1,success,56,14.605154639343835,18.13806356586829,4.959897702399296,51,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,46,0,0.8214285714285714,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,285.6746083328195
2,40002,40000,900002,6a22834,v2_nested_200x10,1,1,1,success,53,9.25590075452244,19.11560440671808,7.839368769489565,46,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,42,0,0.7924528301886793,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,284.3764528966245
3,40003,40000,900003,6a22834,v2_nested_200x10,1,1,1,success,55,4.586521461477707,7.755425643508374,0.9017824149539476,52,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,50,0,0.9090909090909091,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,286.02584671443066
4,40004,40000,900004,6a22834,v2_nested_200x10,1,1,1,success,60,9.60503724382906,22.574040284948627,14.68915383871801,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,50,0,0.8333333333333334,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,284.34193444594393
5,40005,40000,900005,6a22834,v2_nested_200x10,1,1,1,success,64,16.503891230842815,14.978068144919913,8.667816109608705,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,46,0,0.71875,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,281.1619792198228
6,40006,40000,900006,6a22834,v2_nested_200x10,1,1,1,success,54,11.12565235390969,16.988732461162,12.355577401831203,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,42,0,0.7777777777777778,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,286.463326564778
7,40007,40000,900007,6a22834,v2_nested_200x10,1,1,1,success,55,5.283431038418533,23.408905405416878,14.217088405692653,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,44,0,0.8,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,284.7342503806598
8,40008,40000,900008,6a22834,v2_nested_200x10,1,1,1,success,58,10.247100191371278,7.223055243639936,1.033498862036871,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,47,0,0.8103448275862069,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,283.168160052728
9,40009,40000,900009,6a22834,v2_nested_200x10,1,1,1,success,53,13.654337646838686,17.34521500799619,6.992998394826143,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,100,10.0,1.0,0,43,0,0.8113207547169812,0.35349765751035467,-0.2722630512960694,-0.9304878930515779,0.02326634569866219,0.03812986443568967,0.06414604655551637,0.9731766320460976,0.6980253091098743,0.33667871831289614,0.6206084247632884,1.0887172614243632,0.9851615107313023,1.2324250545236994,283.12486747273067
