episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,20000,20000,20000,35ace65,v2_solver_extremeA,1,1,1,success,52,20.968210061748294,18.468176436619352,5.047375606820384,47,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,35,0,0.6730769230769231,0.3474110484282783,-0.2248808133670315,-2.992927166152892,0.0215318372452999,0.0302943970085639,0.0311708078897551,1.4790102422867273,0.6505728288848772,0.3617774888072249,0.553221044270187,1.0058264735349158,0.979034771210902,1.0068289612867285,282.1359995986287
1,20001,20001,20001,35ace65,v2_solver_extremeA,1,1,1,success,49,12.390883290717523,14.607795634344926,6.260429686544772,43,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,39,0,0.7959183673469388,0.3062269708028256,-0.2849828383105404,2.892074387409361,0.0228226785458311,0.035721230882053,0.1140016773924783,1.6032712890213876,1.2572543610793447,0.337332175301131,0.4884081377622979,0.9544063031971912,1.062735744498996,1.0891749215866655,279.4387954660509
2,20002,20002,20002,35ace65,v2_solver_extremeA,1,1,1,success,63,8.248635126691745,7.426061861345501,1.7173896172273513,60,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,51,0,0.8095238095238095,0.3705745377913467,-0.717792457216367,1.7865612530983936,0.0238559641445566,0.0370454599661747,0.0978253293223943,1.9430369836375772,0.7238261602467481,0.3079013259330847,0.2344195670661861,0.9852990289367732,0.9917019533245562,1.0859406203171424,290.55423250417965
3,20003,20003,20003,35ace65,v2_solver_extremeA,0,0,0,timeout,200,218.64647146698243,,,-1,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,185,0,0.925,0.3312793740982412,-0.4986580450083797,2.290420228048643,0.0231473054105183,0.0360924138932614,0.0894356602944455,1.286961032223358,1.1841329524931838,0.3538113286785248,0.2598472772319892,1.0664166669318604,0.9451551336221604,1.0955363878384492,-7.989077073299535
4,20004,20004,20004,35ace65,v2_solver_extremeA,1,1,1,success,61,14.044075950572688,14.748289182982711,0.0088531752743471,58,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,42,0,0.6885245901639344,0.3587775185467205,-0.3710411707197539,-3.036194887059885,0.026126714768515,0.0298073322677388,0.0944303770066821,1.5428162891128028,1.0913316606286534,0.356187830951595,0.6029860859071946,1.0223682466811943,1.0149774282601849,0.9167070033909216,284.9542511111395
5,20005,20005,20005,35ace65,v2_solver_extremeA,1,1,1,success,101,17.283804609475087,23.946506551779024,2.7403114733474507,95,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,78,0,0.7722772277227723,0.3345599115619247,-0.5668271439135467,2.6091757878817043,0.0252947137487495,0.0310899974376083,0.0718163986809363,1.995463083936362,0.9699935812781522,0.3622179463523949,0.561913769760857,0.9470165784887328,0.9294974156072908,1.08710498577009,281.8683872499597
6,20006,20006,20006,35ace65,v2_solver_extremeA,1,1,1,success,57,24.837721282375817,22.15285322027404,2.224878072776137,54,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,42,0,0.7368421052631579,0.3175161176555032,-0.6903909623638597,-2.2630603092208967,0.0229533979611323,0.0311794082701561,0.049281707812712,1.7196025253132647,0.6436483383559161,0.3806241673747191,0.241082695866745,1.025890625926406,1.118790110251128,1.0480395486391612,288.12421921702503
7,20007,20007,20007,35ace65,v2_solver_extremeA,1,1,1,success,81,36.60841232546173,23.493972365706583,26.193771677008723,71,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,57,0,0.7037037037037037,0.3735795635689171,-0.6114608083175758,3.0517696782990216,0.0253030805837368,0.0383586154149382,0.0406036529372848,1.3475430593957396,1.319349972191734,0.3745486645762045,0.3464039398949948,0.9700875517096348,0.989293135885638,1.0888997619524865,287.4276289178269
8,20008,20008,20008,35ace65,v2_solver_extremeA,1,1,1,success,55,19.642156050220724,18.117880520863714,9.933698602420415,44,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,45,0,0.8181818181818182,0.3831813414521932,-0.3565248785997729,1.8798234646220564,0.0244514144924186,0.0385033757657088,0.057525689653307,1.2298579368012788,1.3901898509710024,0.3367886603067758,0.4394634055402187,1.0871621078117115,1.023338679332657,0.9119927592223422,284.45391368115986
9,20009,20009,20009,35ace65,v2_solver_extremeA,1,1,1,success,72,8.655512435295371,15.006020575547351,11.539431553031935,45,1,30.0,0.45,20.0,1.0,50,1,200,0.001,100,10.0,0.5,0,57,0,0.7916666666666666,0.3314806110962521,-0.5135002413416396,-0.0543038823962818,0.0212055825380661,0.0306473787737554,0.0563605722461903,1.91090449617266,1.1811897387935428,0.3177931208026918,0.2974013246648986,1.023330062290422,0.9950413083480856,1.013051245142633,282.5324922410896
