episode,seed,dr_seed,noise_seed,git_hash,cell,success_at_default_tol,grasp,lift,termination,steps,place_err_mm,tcp_err_at_release_mm,scatter_mm,release_step,obj_settled,max_step_dist_mm,action_smoothing,control_hz,max_joint_vel,n_substeps,obs_latency_steps,max_episode_steps,solver_timestep,solver_iterations,solver_impratio,solver_solref_scale,collision_steps,safety_clamped,safety_vetoed,clamp_rate,obj_r,obj_th,obj_yaw,obj_half_w,obj_half_h,obj_mass,mu_obj,mu_table,tgt_r,tgt_th,kp_scale_mean,kv_scale_mean,frictionloss_scale_mean,reward
0,20000,20000,20000,35ace65,v2_solver_iter20,1,1,1,success,54,23.11162202930196,17.99415273640735,0.0419532299551593,51,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,42,0,0.7777777777777778,0.3474110484282783,-0.2248808133670315,-2.992927166152892,0.0215318372452999,0.0302943970085639,0.0311708078897551,1.4790102422867273,0.6505728288848772,0.3617774888072249,0.553221044270187,1.0058264735349158,0.979034771210902,1.0068289612867285,282.8169104232076
1,20001,20001,20001,35ace65,v2_solver_iter20,1,1,1,success,48,11.082509661705624,12.163179671296936,4.648512192547521,43,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,36,0,0.75,0.3062269708028256,-0.2849828383105404,2.892074387409361,0.0228226785458311,0.035721230882053,0.1140016773924783,1.6032712890213876,1.2572543610793447,0.337332175301131,0.4884081377622979,0.9544063031971912,1.062735744498996,1.0891749215866655,281.58228128127774
2,20002,20002,20002,35ace65,v2_solver_iter20,1,1,1,success,63,11.442895542748063,17.759992279141116,9.864718830825112,55,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,51,0,0.8095238095238095,0.3705745377913467,-0.717792457216367,1.7865612530983936,0.0238559641445566,0.0370454599661747,0.0978253293223943,1.9430369836375772,0.7238261602467481,0.3079013259330847,0.2344195670661861,0.9852990289367732,0.9917019533245562,1.0859406203171424,290.88574434052737
3,20003,20003,20003,35ace65,v2_solver_iter20,1,1,1,success,59,2.6425472950589675,28.347673359310207,29.32194360949401,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,43,0,0.7288135593220338,0.3312793740982412,-0.4986580450083797,2.290420228048643,0.0231473054105183,0.0360924138932614,0.0894356602944455,1.286961032223358,1.1841329524931838,0.3538113286785248,0.2598472772319892,1.0664166669318604,0.9451551336221604,1.0955363878384492,284.556337704919
4,20004,20004,20004,35ace65,v2_solver_iter20,1,1,1,success,65,7.293136351292905,13.182070471346655,7.32335325032256,60,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,45,0,0.6923076923076923,0.3587775185467205,-0.3710411707197539,-3.036194887059885,0.026126714768515,0.0298073322677388,0.0944303770066821,1.5428162891128028,1.0913316606286534,0.356187830951595,0.6029860859071946,1.0223682466811943,1.0149774282601849,0.9167070033909216,282.6518540041202
5,20005,20005,20005,35ace65,v2_solver_iter20,1,1,1,success,65,15.847700360298113,8.477080536253103,3.2523112811582524,59,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,43,0,0.6615384615384615,0.3345599115619247,-0.5668271439135467,2.6091757878817043,0.0252947137487495,0.0310899974376083,0.0718163986809363,1.995463083936362,0.9699935812781522,0.3622179463523949,0.561913769760857,0.9470165784887328,0.9294974156072908,1.08710498577009,286.56051434439524
6,20006,20006,20006,35ace65,v2_solver_iter20,1,1,1,success,57,20.87630782948129,16.60127007015914,10.532051267462542,52,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,44,0,0.7719298245614035,0.3175161176555032,-0.6903909623638597,-2.2630603092208967,0.0229533979611323,0.0311794082701561,0.049281707812712,1.7196025253132647,0.6436483383559161,0.3806241673747191,0.241082695866745,1.025890625926406,1.118790110251128,1.0480395486391612,289.7566288368396
7,20007,20007,20007,35ace65,v2_solver_iter20,1,1,1,success,60,13.742083141355993,16.018488630284224,0.610656506390763,57,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,44,0,0.7333333333333333,0.3735795635689171,-0.6114608083175758,3.0517696782990216,0.0253030805837368,0.0383586154149382,0.0406036529372848,1.3475430593957396,1.319349972191734,0.3745486645762045,0.3464039398949948,0.9700875517096348,0.989293135885638,1.0888997619524865,289.4235394211777
8,20008,20008,20008,35ace65,v2_solver_iter20,1,1,1,success,54,14.666814139910722,18.441905113272146,6.550800850428106,45,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,42,0,0.7777777777777778,0.3831813414521932,-0.3565248785997729,1.8798234646220564,0.0244514144924186,0.0385033757657088,0.057525689653307,1.2298579368012788,1.3901898509710024,0.3367886603067758,0.4394634055402187,1.0871621078117115,1.023338679332657,0.9119927592223422,283.04226824818784
9,20009,20009,20009,35ace65,v2_solver_iter20,1,1,1,success,51,6.67851677378695,13.790596466118355,6.670943091852026,46,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,38,0,0.7450980392156863,0.3314806110962521,-0.5135002413416396,-0.0543038823962818,0.0212055825380661,0.0306473787737554,0.0563605722461903,1.91090449617266,1.1811897387935428,0.3177931208026918,0.2974013246648986,1.023330062290422,0.9950413083480856,1.013051245142633,285.41630773261744
10,20010,20010,20010,35ace65,v2_solver_iter20,1,1,1,success,90,32.59680547407056,13.03310674973627,22.959757211749288,59,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,70,0,0.7777777777777778,0.3616882582573844,-0.681091855852489,2.6377982724309605,0.0234020457064071,0.0347441253939025,0.0310241058318016,1.7224303206061289,0.7862397836859581,0.3683852623367993,0.2472880155129802,1.1265783680735468,0.8856354983088401,1.0269599102208358,284.31207679179147
11,20011,20011,20011,35ace65,v2_solver_iter20,1,1,1,success,62,4.285504335749911,24.22355990763745,23.98253047366699,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,49,0,0.7903225806451613,0.3079607240095544,-0.5735862389221651,-2.942709445781796,0.0250183793467724,0.032655171577388,0.1090061820247841,0.915339202582443,1.3947198671285446,0.344981350251621,0.3511978777374453,0.8545821558786886,1.068843870805714,1.2555504151890806,286.8594058194756
12,20012,20012,20012,35ace65,v2_solver_iter20,1,1,1,success,68,16.417842609345666,13.616658560591263,5.433392320466551,63,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,54,0,0.7941176470588235,0.3027787657668338,-0.537469794853997,-0.0994398452672236,0.0214685552011487,0.0333042334479754,0.0713455969351835,1.833483775146874,0.7230168404297517,0.3876077118958098,0.7220612474741727,1.096025635533396,1.0491444152873122,0.9153065268127304,288.53925664098364
13,20013,20013,20013,35ace65,v2_solver_iter20,1,1,1,success,53,7.013795666487717,1.4695921066758997,13.061105133604809,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,37,0,0.6981132075471698,0.3724741676704243,-0.2839067544875526,-2.9437136297151567,0.024013338352617,0.0330117280386679,0.0515166174569932,1.3878070100382844,0.7252994686540178,0.3264878714695701,0.2417221806292682,1.0502836208460624,1.0465087269015014,1.1044841709672275,282.1344461751702
14,20014,20014,20014,35ace65,v2_solver_iter20,1,1,1,success,61,17.854686893787985,27.885418780032605,1.7753506551154663,52,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,45,0,0.7377049180327869,0.3739767445595336,-0.506804665954125,-1.612806258815425,0.0229003184912601,0.0401161365518939,0.0819077022385036,0.8416330589674149,0.9379061479829542,0.3690619602609497,0.4945940594508427,1.096099584794341,1.0888491617245524,0.9473029213254752,288.0841749644395
15,20015,20015,20015,35ace65,v2_solver_iter20,1,1,1,success,63,11.316875937636556,19.685179533974388,11.965811346166166,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,39,0,0.6190476190476191,0.3545723332480724,-0.266064063930073,-2.165457995616669,0.021566604821269,0.0385077648519618,0.1114291200275411,1.4826699952871645,0.9018239289857656,0.3251971351333722,0.5936680640962836,1.0544106975319631,1.0757236961360304,1.0714789212418834,288.1318984114621
16,20016,20016,20016,35ace65,v2_solver_iter20,1,1,1,success,78,31.45720195213096,27.99176487420113,2.7038394663610985,73,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,67,0,0.8589743589743589,0.3396210099974441,-0.7089092419355476,1.8906246449617503,0.0252390624967162,0.0399271714596368,0.0482755229412377,1.49749863766593,0.825392165188036,0.381576525558742,0.2316751497131224,1.0870964777641696,1.0407829478642674,1.1427860502433935,288.1369381831079
17,20017,20017,20017,35ace65,v2_solver_iter20,0,1,0,timeout,200,147.6991506792753,73.41377093062553,110.37037564201972,58,0,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,192,0,0.96,0.3416274558742677,-0.3479323750246245,0.9721865780409392,0.0204048488969985,0.0375160590921437,0.0946984316084563,1.7785698034230877,1.2945995189735893,0.3381920001985616,0.5027446364435085,0.9848852398199668,1.0860327037934498,1.0257780007400683,50.47982543816233
18,20018,20018,20018,35ace65,v2_solver_iter20,1,1,1,success,89,15.159658685531692,14.3956167535996,6.820184325116565,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,73,0,0.8202247191011236,0.3353876302997506,-0.4790975177542969,0.3763281818382538,0.0226529207435073,0.0323184883218662,0.0749561315647199,1.0461426461010033,1.147787815773884,0.3508757337748734,0.6048838602813331,1.0206275976295964,1.1223927938677705,0.9655389581926256,281.30494157043364
19,20019,20019,20019,35ace65,v2_solver_iter20,1,1,1,success,61,35.719523445426375,24.50293324388257,12.059284025651642,57,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,41,0,0.6721311475409836,0.309696521159484,-0.518681064353861,-2.703909571206144,0.0259837424416287,0.0354154101260509,0.0377350212586593,1.545383651341784,0.8607161120738906,0.3651617040093613,0.646753145945102,0.9622151328403512,1.0275721647012237,0.9113677659107976,288.3699818165017
20,20020,20020,20020,35ace65,v2_solver_iter20,1,1,1,success,61,27.23057941268536,16.1002724063047,11.632725230513332,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,46,0,0.7540983606557377,0.3334650170096582,-0.419129876785071,-1.1136627522813298,0.0270039573234825,0.0303829502261012,0.0846173471202447,1.3002420691408691,1.1014000799941297,0.3622281942702139,0.7029002154862343,1.077683315041039,1.0014976378164575,1.0508846399854737,285.2803953718105
21,20021,20021,20021,35ace65,v2_solver_iter20,1,1,1,success,64,12.408997988423458,20.613753814960443,11.661422132516217,58,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,47,0,0.734375,0.3191980901252559,-0.5537455236939821,-1.894139358876947,0.0214937347815124,0.0302678102133422,0.0996091042253425,1.909797528957525,0.789832051914408,0.368476693270323,0.468426539120748,1.0126000123888297,1.013703011740756,1.0299858437380922,289.38470932044913
22,20022,20022,20022,35ace65,v2_solver_iter20,1,1,1,success,58,18.719406589295748,17.129211432344622,10.429219790366508,49,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,44,0,0.7586206896551724,0.3417388845845122,-0.3001289062683206,-1.8961883460951257,0.0206092318760388,0.0327623280264836,0.0512123911086641,1.1122495720509886,0.641149711673943,0.3667840906562841,0.5444236853246154,1.0240879310737958,1.0192749413933422,1.0317024858023562,287.07977666411483
23,20023,20023,20023,35ace65,v2_solver_iter20,1,1,1,success,60,20.69982645743784,23.58970047424731,2.9334904807397115,57,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,53,0,0.8833333333333333,0.3711715956749377,-0.281314510069002,0.3640120496306362,0.0273045459662421,0.0316598133938454,0.0372538270319166,1.964499779751014,1.2907623586333823,0.3169185867732559,0.511647608790335,1.054966272019345,1.0235683325673413,1.2221506885633453,285.491863185898
24,20024,20024,20024,35ace65,v2_solver_iter20,1,1,1,success,54,35.40049558307819,22.447640394979743,11.130378044793952,47,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,41,0,0.7592592592592593,0.301735186476134,-0.2315416829602763,-1.5592964217322551,0.0242521615272016,0.0318349919810588,0.0827699269387053,1.821122350584654,1.2264255442628569,0.3397462012896018,0.6971673644283741,1.0446301524614878,1.0681711253976054,1.035197083164583,270.6007339916143
25,20025,20025,20025,35ace65,v2_solver_iter20,1,1,1,success,64,30.08394149834126,19.16291660443815,3.3156815251406377,57,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,44,0,0.6875,0.3420418002894619,-0.6618531755295733,-0.346124235154305,0.023617897392554,0.0306050977960531,0.0332584642351593,0.9641818955654102,1.1273409958744334,0.3258224348598663,0.5343821194627115,0.9799327699157668,1.0536354215889607,0.797237221419697,290.76016276356484
26,20026,20026,20026,35ace65,v2_solver_iter20,1,1,1,success,60,41.03321738488544,56.77083181278476,9.87551616713144,56,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,52,0,0.8666666666666667,0.3296079359954176,-0.399833875371074,-2.753233765066632,0.0270460342195225,0.0358164717617846,0.063764766575941,1.3582466227146754,0.6120432518508957,0.3779569108393297,0.6659921896490285,1.0303808532805965,0.9929778703868708,1.211087896090353,267.6253997485444
27,20027,20027,20027,35ace65,v2_solver_iter20,1,1,1,success,56,18.912603643595496,23.557634027446124,32.985682079692864,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,49,0,0.875,0.3413486785786675,-0.4422163238398378,-1.6767876830777442,0.0212786616888656,0.0336795116781917,0.0493376980349943,1.1331267853835838,0.8462510298768531,0.3105585337448872,0.3904798592780758,1.028576489693511,1.0349354142123155,0.9983001651072732,285.3205283868672
28,20028,20028,20028,35ace65,v2_solver_iter20,1,1,1,success,58,23.068627238202083,16.28094121759314,6.049434860721743,54,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,51,0,0.8793103448275862,0.3162405961778947,-0.3600195203888907,1.3400735905564014,0.0214486546201303,0.0348644483200345,0.0794581455459127,1.982074656085676,1.2385844329202738,0.3305041246244575,0.1938213764362929,0.9835291345060904,0.9837097338709252,0.8627224318067792,275.23125839467343
29,20029,20029,20029,35ace65,v2_solver_iter20,1,1,1,success,66,24.15193130475864,29.326809233321686,5.429363559740614,60,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,53,0,0.803030303030303,0.3129383319757787,-0.6710880166121812,0.9195391928863348,0.0233049864129892,0.031516919687684,0.0466846100290512,1.5334359978193592,1.1869434626965476,0.3719401751123277,0.3926936371856788,1.0253446369097532,1.0628862907589265,0.9732055755928796,289.6618364132693
30,20030,20030,20030,35ace65,v2_solver_iter20,1,1,1,success,48,22.427561537375507,3.2951905018049703,21.31530946714803,38,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,45,0,0.9375,0.332453648273011,-0.4181614667944143,1.6907822101623928,0.0228123402099731,0.0395371949437047,0.1178023801669295,0.9241569578618632,1.1749548548349906,0.3627007871070931,0.1937986219974584,1.0324855148106444,0.9542083746730876,0.947379243666384,282.3851389694047
31,20031,20031,20031,35ace65,v2_solver_iter20,1,1,1,success,59,15.287394128404625,9.052013074797882,14.93862782761065,53,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,44,0,0.7457627118644068,0.3697571934384323,-0.3474297820681377,1.7967869505964629,0.0249432710518752,0.0345936302422604,0.064838089034203,1.584168711028378,1.1410367626931754,0.3442468555091009,0.668408901111654,1.062355921033572,1.0767139820302716,1.0891015545423732,288.51638797451733
32,20032,20032,20032,35ace65,v2_solver_iter20,1,1,1,success,61,12.488737065415076,23.529337756111588,6.642410559962864,55,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,50,0,0.819672131147541,0.3299871626065654,-0.5991238006357996,-0.0518838649869555,0.0208479195204569,0.0353396988424358,0.1170198705339264,1.8004596956289312,1.387382326195156,0.331286694702562,0.724531533145819,1.0068378001774498,1.0833114265413533,1.013430393007948,291.44451696249564
33,20033,20033,20033,35ace65,v2_solver_iter20,1,1,1,success,99,9.567935142880922,19.34213827865744,1.5044841955004695,96,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,80,0,0.8080808080808081,0.3562543194195947,-0.5764093414146412,-1.4065947545956743,0.0258303249686423,0.0306556559527548,0.0743924503359827,0.9232249508069168,0.9420297587818982,0.387467903575393,0.1901634604633541,1.0735704892771794,1.008704321617642,1.104537322238103,278.8746436288412
34,20034,20034,20034,35ace65,v2_solver_iter20,1,1,1,success,53,12.46047041288586,12.286723815731024,2.377792883547389,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,46,0,0.8679245283018868,0.3000301736149852,-0.4700059350473292,-0.1278702909146565,0.0250886716096788,0.03402158825373,0.1024196354863159,1.10790712584778,1.069772626770524,0.3175995561506313,0.4321936334069056,1.0180140092206602,0.9200519626237764,1.1380137039340912,281.30094879310803
35,20035,20035,20035,35ace65,v2_solver_iter20,1,1,1,success,62,9.300191253901508,18.091265389686967,5.397552763081298,50,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,43,0,0.6935483870967742,0.357426650931662,-0.578451265552722,-2.829907418474223,0.0240951963550598,0.0373813017570155,0.0458346021526784,1.386714667522875,0.8380203760910881,0.310875214495532,0.4049779106015586,1.0446487995436062,1.007368910149108,1.0496716902654009,288.3415429789552
36,20036,20036,20036,35ace65,v2_solver_iter20,1,1,1,success,45,16.593325832820177,18.038681393522616,0.1647393227614709,41,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,34,0,0.7555555555555555,0.3657252335238418,-0.189819377247809,-0.0817709911887818,0.025949284527214,0.0356360925037988,0.1130973531101927,1.3397949953701676,0.604773134946328,0.3326466069558981,0.1754345564788462,1.072335884326793,1.048892902632062,1.2857294933498364,279.8184402074364
37,20037,20037,20037,35ace65,v2_solver_iter20,1,1,1,success,59,28.89306740698011,52.90729701900181,61.73393093523531,44,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,44,0,0.7457627118644068,0.3895127371377926,-0.5578958320736802,1.7067359158343542,0.0263563700668431,0.0367117068841737,0.0336459269141149,1.450140212704171,1.3056436027466507,0.3122030747288574,0.1786271171130584,1.0585373445424175,1.0546861735293456,0.975394661758707,274.12135308533857
38,20038,20038,20038,35ace65,v2_solver_iter20,1,1,1,success,71,25.079970362240893,27.94765819432084,4.282940651928954,62,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,53,0,0.7464788732394366,0.3744468399758505,-0.6645184865263982,0.6118055959300444,0.0211666957686933,0.0379611483691744,0.0806721759289358,0.9674128423520448,0.6903800696031057,0.3887571554589185,0.5310314458275623,1.1290226539597203,0.9529221997230716,1.1168265462462812,294.69228277819144
39,20039,20039,20039,35ace65,v2_solver_iter20,1,1,1,success,52,14.145434085337778,24.191035951909125,17.515485970738354,43,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,42,0,0.8076923076923077,0.3765295086684626,-0.4361071682733664,0.8074845692611561,0.0237992271502084,0.0302111229709823,0.0852375029231362,1.1008442882199532,1.366842054898276,0.3537928410047578,0.313582518756349,1.0033014248742418,1.0235499340310985,0.8831305721283177,283.15180776918737
40,20040,20040,20040,35ace65,v2_solver_iter20,1,1,1,success,64,19.35043182931267,28.563959413040436,6.890620342332861,48,1,30.0,0.45,20.0,1.0,25,1,200,0.002,20,10.0,1.0,0,54,0,0.84375,0.3775023141176331,-0.4604026429173097,-2.843669970993413,0.0227630333955927,0.0363185986690408,0.0350872046374605,1.0805441551519888,0.9453491977845994,0.3679733204140161,0.3165485392745293,1.0027311796604854,1.0406355895979824,1.0334382372820026,282.10132478164945
