#{"t_start": 1785575340.0696106, "env_id": "None"}
r,l,t,is_success
284.071131,55,13.000058,True
274.409278,32,19.212171,True
274.214755,31,25.427377,True
275.982442,87,42.140187,True
285.88788,55,52.936932,True
281.185417,47,62.243,True
272.610697,92,80.707717,True
273.158876,36,87.770451,True
-12.818107,120,111.136781,False
273.08651,32,117.352291,True
290.225562,63,129.570647,True
279.954255,44,138.208751,True
277.879582,50,148.218143,True
269.663229,55,158.86048,True
260.513882,16,161.967348,True
259.249173,18,165.420066,True
283.008672,46,174.399085,True
-9.630193,120,198.16781,False
275.482796,67,211.931957,True
265.000982,58,223.42915,True
56.996095,120,247.455974,False
276.378229,38,255.341089,True
276.850931,69,269.275453,True
273.688907,35,276.123702,True
256.952749,36,283.401432,True
273.926425,71,297.277381,True
278.420002,40,305.388477,True
284.115934,58,316.777993,True
285.165593,61,328.906537,True
273.028291,34,357.865321,True
-16.512103,200,398.185762,False
10.820203,200,437.389212,False
287.008442,59,449.472446,True
276.37159,60,461.54693,True
272.651613,30,467.32931,True
267.420756,22,471.646506,True
286.037003,57,482.906839,True
279.184161,46,492.066306,True
11.653127,120,515.80322,False
279.704064,45,524.786385,True
283.694981,65,537.748458,True
279.566235,41,545.897777,True
260.620145,16,548.979005,True
272.727442,82,564.791654,True
-13.752221,200,603.864596,False
262.234702,14,606.725703,True
262.77134,25,611.683671,True
-17.773752,69,625.149379,False
286.40688,62,637.193004,True
283.22702,68,650.502173,True
270.528084,28,655.958584,True
273.464419,38,663.323019,True
278.903957,57,674.418585,True
262.687141,22,678.713542,True
268.305709,52,710.620343,True
283.841215,59,721.962289,True
257.510756,21,726.008296,True
277.606438,36,733.014347,True
261.853584,20,736.990732,True
264.487495,64,749.471886,True
279.181958,48,758.94083,True
270.093099,22,763.415142,True
260.744867,12,765.950536,True
266.271527,88,783.229588,True
8.421941,200,822.282212,False
270.632877,35,829.151997,True
280.734287,45,838.151804,True
277.495052,39,845.998598,True
34.041497,200,885.46856,False
288.85999,68,898.690732,True
276.452268,28,904.363384,True
275.422472,36,911.627423,True
50.440415,200,951.282286,False
49.899804,200,990.479955,False
282.298099,60,1002.181836,True
17.75057,200,1069.443519,False
261.9193,18,1072.972671,True
271.032503,20,1076.860692,True
260.829327,15,1079.805376,True
-15.47324,22,1084.087756,False
266.518624,42,1092.310505,True
289.303434,65,1104.966111,True
2.490464,200,1143.918656,False
258.598466,35,1150.717703,True
6.383862,200,1190.355971,False
273.634373,39,1198.107009,True
276.481267,36,1205.242629,True
272.707852,40,1213.270928,True
270.848765,28,1218.906149,True
11.938507,200,1258.292344,False
67.278821,120,1281.667676,False
275.65582,29,1287.355358,True
259.956188,18,1290.884505,True
262.019653,31,1297.091966,True
-160.217126,161,1328.396936,False
-40.132805,29,1334.065785,False
283.490699,54,1344.577206,True
259.502477,19,1348.268278,True
276.811089,35,1355.038376,True
262.463693,17,1358.417791,True
64.979129,200,1419.426782,False
266.865417,72,1433.394931,True
276.374502,31,1439.524781,True
3.673603,200,1479.168,False
16.384011,200,1518.367401,False
267.562506,46,1527.605141,True
-185.076768,128,1552.465703,False
287.060524,79,1567.777494,True
13.836018,200,1606.466545,False
273.875705,29,1612.333904,True
259.435435,18,1615.841943,True
272.735349,34,1622.703377,True
-7.214566,200,1662.64345,False
279.875682,45,1671.332221,True
261.506192,16,1674.428815,True
284.755268,61,1686.249516,True
277.23674,68,1699.421083,True
270.096587,28,1704.855554,True
271.998932,26,1709.893664,True
17.794353,200,1770.474908,False
281.575424,50,1780.121546,True
261.117032,16,1783.174263,True
273.385162,28,1788.576005,True
282.636101,56,1799.381194,True
