#{"t_start": 1785568398.6686225, "env_id": "None"}
r,l,t,is_success
321.128902,59,16.793249,True
313.030621,68,30.029078,True
292.559369,55,40.785417,True
-2.7512,200,79.291669,False
331.606018,60,90.869158,True
304.572986,29,96.396155,True
300.282588,14,99.065398,True
313.243528,33,105.328938,True
316.240032,43,113.549305,True
297.146959,34,120.023761,True
315.436062,31,125.923095,True
319.892667,66,138.506755,True
296.361278,79,153.849764,True
310.752052,28,159.308156,True
262.298806,74,173.938596,True
307.862954,31,179.963882,True
9.382706,200,218.641872,False
307.619398,48,227.839822,True
310.14496,76,242.695101,True
334.134647,57,253.793786,True
307.397493,29,259.407172,True
-41.317199,32,265.500059,False
296.542711,34,272.39247,True
292.582161,22,276.962474,True
307.305799,72,291.091954,True
294.291764,27,296.446515,True
321.398881,78,311.902259,True
326.148647,41,319.859611,True
289.542322,18,323.424944,True
339.304238,64,359.226553,True
299.166387,16,362.322514,True
284.734807,84,378.447053,True
334.669818,53,388.570291,True
317.87691,58,399.591811,True
318.059208,64,411.821843,True
291.91737,16,414.92523,True
318.298094,20,418.760155,True
302.624727,17,422.067462,True
299.493636,106,442.404612,True
312.057538,36,449.253497,True
308.702974,51,458.973705,True
329.465789,41,466.723564,True
287.329496,22,470.919385,True
298.447102,46,479.648168,True
15.962433,200,519.636281,False
-15.49707,36,527.05929,False
330.444852,33,534.299671,True
-10.856097,200,573.113851,False
239.424815,104,593.186286,True
301.079647,57,604.115295,True
42.007576,200,643.214338,False
294.904412,13,645.822843,True
332.007832,55,657.296565,True
310.368005,68,670.513999,True
290.777458,28,675.900028,True
313.795087,17,703.146336,True
337.493609,52,713.144424,True
315.477245,59,724.514853,True
-12.393722,200,763.433684,False
328.18862,31,769.360025,True
309.794889,64,781.660298,True
338.398274,51,791.503112,True
313.896184,33,797.8954,True
321.283572,59,809.150074,True
56.158413,200,847.476096,False
324.614777,42,855.581724,True
325.768302,51,865.466662,True
316.987216,42,873.761953,True
297.29153,39,881.359193,True
283.815703,41,889.342008,True
314.868691,71,903.070517,True
317.038144,48,912.407279,True
297.487964,26,917.49922,True
319.617358,77,932.296822,True
309.820598,25,937.138382,True
324.415909,47,946.356048,True
274.318353,42,954.56326,True
13.311744,200,993.145396,False
8.013729,200,1056.538454,False
313.356403,71,1070.568413,True
300.623494,45,1079.297958,True
299.255954,39,1086.727544,True
307.619277,82,1102.457393,True
302.896409,50,1112.192469,True
306.540303,62,1124.511239,True
334.898884,55,1135.84154,True
296.91175,35,1143.091182,True
312.576055,52,1153.40179,True
58.150463,200,1191.96846,False
10.402873,200,1230.373411,False
320.421686,31,1236.412308,True
314.908397,28,1241.896569,True
331.235707,49,1251.377172,True
17.140006,200,1290.126395,False
309.328863,31,1296.174988,True
307.236282,68,1309.357684,True
-30.80452,108,1330.375064,False
-9.33232,200,1369.179373,False
308.898163,29,1398.646868,True
300.369711,27,1403.897041,True
286.572026,47,1413.026618,True
276.130413,27,1418.247323,True
320.278431,59,1429.801023,True
304.83016,32,1436.032499,True
309.155735,19,1439.735813,True
285.616386,36,1446.731283,True
66.31233,200,1486.007246,False
325.484415,53,1496.145323,True
336.160983,72,1510.135729,True
315.540562,16,1513.236738,True
288.326386,36,1520.179714,True
319.927596,20,1524.199761,True
328.954823,42,1532.425976,True
63.630336,100,1552.956108,False
11.880148,200,1591.409811,False
321.992121,29,1596.946423,True
304.563701,177,1630.516298,True
-19.267089,200,1669.733086,False
317.678461,35,1676.55242,True
309.367304,43,1684.93712,True
283.382734,33,1691.313879,True
306.548158,36,1698.310206,True
301.720411,20,1702.395949,True
282.263564,28,1707.952828,True
325.068366,68,1743.69595,True
310.663771,76,1758.313685,True
304.643547,45,1767.005992,True
277.956382,26,1772.210652,True
285.114174,43,1780.65159,True
318.619952,48,1790.616757,True
330.620484,50,1800.848976,True
326.480193,59,1812.641523,True
283.651289,38,1820.207925,True
307.703137,55,1830.88736,True
298.816889,60,1842.670172,True
317.454133,70,1855.938962,True
305.441997,49,1865.299793,True
285.171194,44,1873.843386,True
317.947093,44,1882.391671,True
333.454615,76,1896.87306,True
305.610246,54,1907.10555,True
312.217375,107,1927.397033,True
289.491753,39,1934.764317,True
344.160121,73,1948.828043,True
281.036792,42,1957.304209,True
329.887166,49,1967.322563,True
295.143214,35,1974.74182,True
280.916182,54,1985.233799,True
326.180863,60,1996.905989,True
313.572229,33,2003.318711,True
321.830048,42,2011.389529,True
323.303939,32,2017.63403,True
265.173736,71,2031.393077,True
298.558517,25,2036.228049,True
310.004667,42,2044.267465,True
312.044445,58,2055.337667,True
305.589808,62,2067.986155,True
320.949376,40,2093.506336,True
322.251118,43,2101.932842,True
294.889277,45,2110.621567,True
326.683889,78,2125.653702,True
319.571388,14,2128.379126,True
334.307365,65,2142.1209,True
313.990053,65,2154.642318,True
308.564253,26,2159.661879,True
320.264168,60,2172.925174,True
315.491113,53,2183.690874,True
-42.868979,200,2222.170596,False
296.672551,46,2231.07865,True
-161.151378,135,2256.905305,False
331.528703,48,2266.064609,True
10.037964,200,2304.357586,False
313.901605,66,2316.938067,True
22.157108,100,2336.093495,False
-230.819133,176,2370.321808,False
313.816592,60,2381.797299,True
303.182632,41,2389.660107,True
337.526955,59,2400.963307,True
322.634406,58,2433.295238,True
307.429456,38,2441.592827,True
337.32721,68,2454.909309,True
281.266895,22,2459.319175,True
317.661313,38,2466.788503,True
308.995884,32,2472.82288,True
297.381157,16,2475.83654,True
316.346307,75,2490.087653,True
302.580332,20,2493.91158,True
303.22318,46,2502.68603,True
321.92355,33,2509.011479,True
296.080773,44,2517.386861,True
326.470707,83,2533.169723,True
337.613183,67,2546.05349,True
305.628024,77,2560.908637,True
302.46427,47,2569.914661,True
301.490467,47,2579.010471,True
310.406235,101,2598.46691,True
320.303856,64,2610.747893,True
321.074537,32,2617.169505,True
314.805201,23,2622.139743,True
59.704127,100,2641.546978,False
316.231906,33,2647.825386,True
336.64246,65,2661.723983,True
290.406202,34,2668.355849,True
-3.870151,200,2707.452207,False
327.775415,67,2720.486973,True
318.546719,68,2733.435772,True
322.83826,58,2744.45823,True
319.456038,15,2747.330967,True
316.878589,48,2775.606156,True
321.848794,31,2781.520692,True
298.263977,63,2793.556279,True
323.06384,55,2804.685767,True
318.279074,89,2821.802958,True
332.201653,67,2834.580919,True
325.74271,59,2845.994864,True
297.368316,54,2856.721499,True
307.03468,46,2865.872741,True
321.427114,55,2876.672232,True
293.535217,62,2888.513725,True
308.240639,39,2895.986117,True
314.452213,60,2907.856901,True
294.902816,43,2916.215526,True
288.421158,30,2922.130517,True
290.996564,12,2924.477175,True
309.224396,69,2937.906155,True
309.32984,48,2947.277878,True
309.6913,41,2955.056485,True
315.012446,68,2968.052357,True
260.403377,21,2972.091712,True
294.855374,32,2978.246167,True
333.766445,55,2988.94289,True
339.720388,57,3000.032807,True
301.0609,55,3010.788441,True
-18.631455,41,3018.723032,False
309.95001,68,3031.794864,True
338.133363,69,3045.344306,True
314.053646,61,3057.133637,True
318.807184,57,3068.141539,True
327.002747,54,3078.477942,True
23.806448,70,3091.83442,False
331.773002,56,3118.724558,True
-16.450161,200,3156.841796,False
321.356289,57,3167.735134,True
323.51148,43,3175.957756,True
300.953175,45,3184.558594,True
328.749021,54,3194.865882,True
314.054922,56,3205.527318,True
331.030008,58,3216.583925,True
311.216528,50,3226.159503,True
304.658175,45,3234.860807,True
288.052107,34,3241.368433,True
318.515504,58,3252.411131,True
332.733878,59,3263.921983,True
312.622565,57,3274.758035,True
305.849105,29,3280.540358,True
299.594002,62,3292.411211,True
317.0764,63,3304.438604,True
313.831581,37,3311.515649,True
312.262475,71,3325.693706,True
324.889648,60,3338.00405,True
309.955279,71,3352.636486,True
315.116027,31,3358.590865,True
324.306128,67,3371.43378,True
292.811771,33,3377.820581,True
330.878295,65,3390.296306,True
302.691536,46,3399.240447,True
306.435357,28,3404.657192,True
301.264962,31,3410.633168,True
22.345194,200,3468.287761,False
287.76934,29,3473.902018,True
232.474819,163,3504.872036,True
332.089934,69,3518.043793,True
279.05035,39,3525.706662,True
301.722783,52,3535.721135,True
310.026525,18,3539.210644,True
329.374369,62,3551.171181,True
337.834503,55,3561.884072,True
303.288409,16,3565.001628,True
320.956473,61,3576.900842,True
293.466994,30,3583.086918,True
308.469945,42,3591.196216,True
332.816533,62,3603.273295,True
49.361107,200,3641.973535,False
316.099059,15,3645.159384,True
306.731152,66,3658.207947,True
326.569077,54,3668.578327,True
331.489141,59,3679.834971,True
288.420641,20,3683.584192,True
300.063424,36,3690.364474,True
308.620143,37,3697.495908,True
308.354322,37,3704.771816,True
306.06204,34,3711.352479,True
324.941661,76,3726.936137,True
332.203845,56,3737.821521,True
316.658372,51,3747.486789,True
345.091577,76,3761.975043,True
301.17785,56,3772.679959,True
327.091661,68,3802.45486,True
302.252877,25,3807.226615,True
315.973396,41,3815.063717,True
328.857747,51,3824.87872,True
292.46894,39,3832.30849,True
285.282099,46,3841.113742,True
315.221345,47,3850.166188,True
346.898994,71,3864.647559,True
322.936794,56,3876.537007,True
319.131474,54,3886.932379,True
292.726866,36,3893.86428,True
323.606356,58,3904.990984,True
290.395757,31,3910.926497,True
343.855463,59,3922.29249,True
329.69701,79,3937.455275,True
320.103306,71,3951.181282,True
320.380388,38,3958.514118,True
318.082148,42,3966.530048,True
333.122841,62,3978.355561,True
291.833729,55,3989.204734,True
300.187282,26,3994.177477,True
313.885983,58,4005.709252,True
322.074702,39,4013.20503,True
309.447655,26,4018.186507,True
330.154906,61,4029.87145,True
307.458149,73,4043.875419,True
299.460912,33,4050.198415,True
324.366939,54,4060.646617,True
314.337095,51,4070.46776,True
299.222273,16,4073.543265,True
298.452295,42,4081.789716,True
295.220678,53,4092.099882,True
307.92943,67,4105.353443,True
315.720557,49,4114.88422,True
325.731252,41,4143.046083,True
329.101607,55,4153.649737,True
290.782077,14,4156.362611,True
339.15757,55,4167.386494,True
297.779273,54,4177.740829,True
272.985557,13,4180.485443,True
326.811643,58,4192.553624,True
312.193851,74,4206.860793,True
326.6006,55,4217.347044,True
41.001135,200,4255.236732,False
315.683536,34,4261.691335,True
315.037992,20,4265.438756,True
308.361938,63,4277.283136,True
