#{"t_start": 1785357583.4957528, "env_id": "None"}
r,l,t,is_success
268.485343,48,12.310045,True
230.857834,22,16.617013,True
-27.146461,200,56.318853,False
271.024777,54,67.023258,True
-79.178445,200,105.796127,False
273.236367,36,112.646099,True
-16.822268,200,150.965512,False
-40.104491,25,155.748264,False
11.511111,200,194.409609,False
-23.234173,200,232.891516,False
20.368835,120,256.23869,False
264.792157,53,266.841051,True
13.004835,120,290.39817,False
259.426006,10,292.595849,True
17.792754,70,306.749886,False
-23.630681,200,358.848374,False
-4.097491,200,397.259617,False
260.652757,21,401.269626,True
18.898508,120,423.99053,False
12.895915,200,461.946249,False
-26.299959,94,479.632207,False
-9.21716,200,518.108831,False
-29.695268,96,536.518086,False
265.874378,41,544.368916,True
265.874865,43,552.582924,True
271.896445,43,560.736214,True
261.078505,17,563.956184,True
257.72226,13,566.45411,True
-13.833943,200,605.356024,False
246.30776,24,609.913264,True
-191.958637,83,625.651851,False
-43.323025,29,631.237472,False
33.655866,100,650.485629,False
268.653275,57,672.38761,True
37.277755,120,695.841368,False
-30.788154,200,734.566121,False
262.487246,14,737.276128,True
10.412702,200,775.286243,False
271.49685,36,782.202672,True
-31.274717,83,798.428417,False
257.437401,28,803.916389,True
260.713272,26,809.023931,True
267.560635,30,814.872788,True
-17.303726,200,853.494144,False
274.551738,43,861.771535,True
-48.428021,18,865.260515,False
273.167627,35,872.062196,True
258.081332,22,876.325781,True
-2.51107,200,914.505438,False
-10.2362,200,951.942956,False
275.582884,41,959.697912,True
-17.938982,200,1011.614255,False
275.774048,76,1026.162181,True
-15.197573,200,1064.421667,False
269.849872,28,1069.799304,True
-49.329773,16,1072.855119,False
257.233845,32,1079.043256,True
15.858713,200,1118.024326,False
272.084625,55,1128.665287,True
271.48827,31,1134.600903,True
267.15016,129,1159.470652,True
230.331039,48,1168.846452,True
17.837685,200,1207.752894,False
273.368562,56,1218.72532,True
-8.87544,200,1257.591207,False
258.585195,21,1261.635317,True
258.434527,26,1266.615726,True
264.042762,47,1275.568433,True
43.286202,200,1313.598791,False
278.593152,61,1325.081712,True
271.622636,30,1343.525948,True
271.6692,112,1364.738549,True
13.174749,120,1387.582122,False
274.222868,68,1400.669212,True
273.758427,35,1407.414511,True
280.676679,68,1420.550566,True
15.430506,120,1443.832478,False
259.610323,28,1449.314392,True
246.221906,109,1470.07189,True
290.456242,90,1487.228265,True
260.04963,15,1490.103514,True
278.437677,73,1503.997775,True
15.575418,120,1526.7251,False
88.154969,100,1545.737388,False
15.53376,200,1583.307004,False
276.480167,64,1595.414429,True
269.303103,25,1600.121386,True
270.659971,138,1626.702454,True
-170.996915,141,1654.563529,False
282.430974,68,1679.213337,True
246.798313,60,1690.528556,True
12.937525,120,1713.146867,False
69.047813,200,1751.53948,False
275.004947,37,1758.678175,True
272.308963,47,1767.861423,True
-158.947405,83,1784.133073,False
7.698671,200,1822.946736,False
-14.111676,200,1861.977186,False
272.898781,30,1867.666104,True
279.479815,68,1880.603104,True
258.373657,19,1884.253777,True
257.134602,74,1898.355601,True
285.750259,66,1911.116703,True
270.171614,93,1929.475288,True
-12.239265,120,1952.8949,False
277.136466,71,1966.774117,True
272.503799,34,1973.43099,True
11.475848,200,2021.927811,False
281.885943,60,2033.245767,True
280.213384,65,2046.062437,True
274.974911,39,2053.629274,True
255.954193,86,2070.14209,True
285.693853,64,2082.54146,True
271.660556,99,2101.795425,True
-45.993966,48,2111.41206,False
257.689777,18,2114.891342,True
231.565008,83,2131.740745,True
-6.37939,200,2170.653184,False
-16.107017,200,2208.788666,False
271.415604,33,2215.131136,True
58.60016,100,2234.709066,False
271.493149,79,2249.856691,True
-13.643632,120,2273.01251,False
55.277673,200,2311.397346,False
-7.049126,200,2361.11167,False
212.29346,197,2398.825649,True
278.801935,84,2414.751364,True
269.523519,119,2437.273574,True
270.441562,27,2442.40203,True
24.631434,200,2480.73305,False
283.238805,64,2493.008637,True
256.861969,18,2496.523946,True
-3.097637,200,2534.86681,False
-6.067075,200,2572.776758,False
273.976555,43,2581.020911,True
-3.561471,200,2619.232846,False
269.248801,71,2632.763509,True
10.725777,120,2663.904087,False
273.682223,28,2669.325705,True
277.882093,64,2681.476111,True
-11.886836,200,2719.412915,False
-15.95519,120,2742.266843,False
-66.731215,200,2780.508697,False
274.705754,42,2788.525795,True
13.791637,120,2811.306045,False
260.157339,15,2814.166032,True
12.8633,120,2837.964631,False
269.970209,65,2850.507497,True
259.678483,24,2855.15732,True
-9.183508,200,2893.770553,False
-15.540825,200,2932.230071,False
13.381738,200,2970.561858,False
259.714956,15,2973.430413,True
250.088201,74,2996.138611,True
283.540209,66,3009.027101,True
13.558603,200,3047.960524,False
-12.351515,120,3071.27382,False
275.89883,61,3083.155152,True
272.465376,34,3089.812238,True
-17.309371,200,3129.069908,False
-43.103738,32,3135.050864,False
62.146115,200,3172.694945,False
275.587027,72,3186.538456,True
284.951542,82,3202.396328,True
259.328493,15,3205.313759,True
267.48133,25,3210.170517,True
267.839377,36,3217.232754,True
288.994371,78,3232.483347,True
279.514358,50,3242.177115,True
9.433999,200,3280.697979,False
235.805906,23,3285.116696,True
272.464872,76,3299.74255,True
279.552804,152,3337.445756,True
266.187277,37,3344.408312,True
13.607472,200,3382.608613,False
268.708362,31,3388.511925,True
260.103115,33,3394.965774,True
266.542018,61,3406.738554,True
271.688961,40,3414.501869,True
38.822514,120,3437.518379,False
274.573542,39,3444.804775,True
283.850737,74,3458.75731,True
-43.304577,33,3465.054444,False
54.151597,120,3488.04112,False
267.090494,25,3492.850789,True
274.048227,35,3499.575022,True
281.549664,73,3513.618074,True
13.124643,200,3552.281549,False
272.708787,31,3558.118601,True
13.160832,200,3597.426381,False
276.585345,53,3607.702709,True
-11.635141,200,3656.271527,False
8.411692,120,3679.426642,False
270.170473,36,3686.360406,True
274.403018,73,3700.30369,True
280.2708,62,3712.08345,True
265.518083,48,3721.276977,True
284.196427,62,3733.308378,True
65.713982,120,3756.042733,False
269.526554,39,3763.440413,True
285.097121,63,3775.338237,True
-9.404103,200,3813.919816,False
22.948229,200,3851.920135,False
273.776628,78,3866.912891,True
260.104721,16,3869.990108,True
258.978982,22,3874.189558,True
230.75106,29,3879.725904,True
-11.418557,120,3902.64958,False
272.708688,43,3910.879831,True
272.526653,41,3918.636601,True
274.887249,30,3924.36265,True
272.465483,22,3928.57145,True
287.455474,68,3941.456434,True
290.481926,68,3954.343863,True
268.266967,43,3962.755264,True
270.274839,36,3977.82442,True
282.406823,81,3993.494233,True
289.140404,72,4007.496877,True
270.58991,35,4014.313391,True
272.325382,25,4019.174308,True
259.949217,14,4021.88161,True
278.625155,55,4032.661209,True
14.25387,200,4071.324618,False
